timestamp;selectedObject;intendedObject;1;2;3;4;5;6;7;8;9;10
92.2038391;0;0;15;0;2;4;0;0;2;1;0;0
104.0818526;8;8;0;0;0;0;0;0;0;15;0;0
114.1089554;10;10;0;4;0;1;0;8;0;0;15;1
124.204252;3;3;11;0;15;0;0;0;0;1;4;0
139.2386935;7;7;0;2;3;3;8;15;2;0;0;0
147.2203704;13;13;0;0;2;0;0;0;12;0;15;11
154.3160249;11;11;0;0;0;0;8;0;15;0;0;0
161.5722767;4;4;0;0;15;8;0;0;2;1;0;0
171.3853289;5;5;5;0;15;0;1;0;0;0;1;9
184.9979434;9;9;0;0;2;15;3;0;0;0;0;0
195.4677205;12;12;0;0;5;15;3;4;0;0;0;0
206.1234906;2;2;6;15;0;0;0;0;0;6;0;12
244.0446074;18;18;1;2;0;0;1;8;15;0;0;0
