large (2)Cube2Timestamp;large (2)Cube2XPos;large (2)Cube2YPos;large (2)Cube2newCorr;large (2)Cube2smoothCorr
0;;;0;0
0.4085832;;;0;0
0.7088795;;;0;0
1.0101781;;;0;0
1.3109759;;;0;0
1.6127763;;;0;0
1.9145766;;;0;0
2.2163768;;;0;0
2.24;1.525686;-2.5;;
2.241;1.525686;-2.5;;
2.242;1.525686;-2.5;;
2.26;1.491652;-2.5;;
2.262;1.45594;-2.5;;
2.283;1.39417;-2.5;;
2.284;1.393123;-2.5;;
2.305;1.313089;-2.5;;
2.306;1.311088;-2.5;;
2.308;1.309976;-2.5;;
2.309;1.309441;-2.5;;
2.329;1.258063;-2.5;;
2.33;1.257167;-2.5;;
2.331;1.256867;-2.5;;
2.332;1.256804;-2.5;;
2.351;1.19121;-2.5;;
2.352;1.190519;-2.5;;
2.353;1.190379;-2.5;;
2.353;1.190356;-2.5;;
2.373;1.124309;-2.5;;
2.374;1.123643;-2.5;;
2.375;1.123514;-2.5;;
2.376;1.123493;-2.5;;
2.395;1.057772;-2.5;;
2.396;1.056671;-2.5;;
2.397;1.056214;-2.5;;
2.398;1.05608;-2.5;;
2.418;0.9903839;-2.5;;
2.418;0.9900556;-2.5;;
2.427;0.9895836;-2.5;;
2.428;0.9895599;-2.5;;
2.44;0.9190066;-2.5;;
2.441;0.9167896;-2.5;;
2.442;0.9148713;-2.5;;
2.443;0.9145454;-2.5;;
2.462;0.8396559;-2.5;;
2.463;0.838919;-2.5;;
2.464;0.8387396;-2.5;;
2.465;0.8386961;-2.5;;
2.486;0.789051;-2.5;;
2.487;0.7882419;-2.5;;
2.488;0.7878717;-2.5;;
2.489;0.7878717;-2.5;;
2.489;0.7878717;-2.5;;
2.509;0.7213088;-2.5;;
2.51;0.720652;-2.5;;
2.51;0.7205395;-2.5;;
2.5181766;;;-0.260905563591697;-0.130452781795848
2.509;0.7213088;-2.5;;
2.51;0.720652;-2.5;;
2.51;0.7205395;-2.5;;
2.53;0.6545591;-2.5;;
2.53;0.6540232;-2.5;;
2.531;0.6537737;-2.5;;
2.532;0.6537372;-2.5;;
2.552;0.5873822;-2.5;;
2.553;0.5867156;-2.5;;
2.554;0.586584;-2.5;;
2.555;0.5865581;-2.5;;
2.574;0.5205723;-2.5;;
2.575;0.5198689;-2.5;;
2.576;0.5197546;-2.5;;
2.576;0.5197427;-2.5;;
2.596;0.4866116;-2.5;;
2.597;0.4585344;-2.5;;
2.598;0.4523413;-2.5;;
2.599;0.4523413;-2.5;;
2.621;0.3754383;-2.5;;
2.623;0.3720536;-2.5;;
2.625;0.3696356;-2.5;;
2.626;0.3694084;-2.5;;
2.645;0.3200973;-2.5;;
2.646;0.3192265;-2.5;;
2.647;0.3189026;-2.5;;
2.647;0.3188478;-2.5;;
2.668;0.2525214;-2.5;;
2.669;0.2519086;-2.5;;
2.67;0.2517659;-2.5;;
2.67;0.2517414;-2.5;;
2.671;0.2517257;-2.5;;
2.691;0.1854091;-2.5;;
2.692;0.1845742;-2.5;;
2.693;0.1845742;-2.5;;
2.712;0.1187355;-2.5;;
2.712;0.1182478;-2.5;;
2.713;0.1169696;-2.5;;
2.714;0.1169696;-2.5;;
2.714;0.1169696;-2.5;;
2.735;0.05127581;-2.5;;
2.736;0.05073975;-2.5;;
2.737;0.05056118;-2.5;;
2.756;-0.01491399;-2.5;;
2.757;-0.01599191;-2.5;;
2.758;-0.01665907;-2.5;;
2.759;-0.01665907;-2.5;;
2.778;-0.04894602;-2.5;;
2.78;-0.04962275;-2.5;;
2.781;-0.04973799;-2.5;;
2.781;-0.04976629;-2.5;;
2.802;-0.15616;-2.5;;
2.803;-0.1571025;-2.5;;
2.804;-0.1573561;-2.5;;
