small (2)Cube2Timestamp;small (2)Cube2XPos;small (2)Cube2YPos;small (2)Cube2newCorr;small (2)Cube2smoothCorr
0;;;0;0
0.3368935;;;0;0
0.6381931;;;0;0
0.939993;;;0;0
1.2412913;;;0;0
1.5430917;;;0;0
1.8448921;;;0;0
2.1472249;;;0;0
2.148;1.623203;-1;;
2.169;1.590364;-1;;
2.171;1.56062;-1;;
2.191;1.522736;-1;;
2.192;1.49933;-1;;
2.193;1.492361;-1;;
2.212;1.45605;-1;;
2.213;1.455707;-1;;
2.233;1.389189;-1;;
2.234;1.388579;-1;;
2.234;1.388482;-1;;
2.235;1.388362;-1;;
2.255;1.321616;-1;;
2.255;1.321616;-1;;
2.256;1.321616;-1;;
2.257;1.321616;-1;;
2.276;1.255858;-1;;
2.277;1.255005;-1;;
2.298;1.188304;-1;;
2.298;1.188304;-1;;
2.299;1.188304;-1;;
2.3;1.188304;-1;;
2.3;1.188304;-1;;
2.3;1.188304;-1;;
2.319;1.121808;-1;;
2.32;1.120927;-1;;
2.34;1.053425;-1;;
2.341;1.053425;-1;;
2.341;1.053425;-1;;
2.342;1.053425;-1;;
2.362;0.987241;-1;;
2.362;0.986393;-1;;
2.363;0.986393;-1;;
2.364;0.986393;-1;;
2.383;0.9204549;-1;;
2.384;0.9197502;-1;;
2.384;0.9195901;-1;;
2.404;0.8520047;-1;;
2.405;0.8520047;-1;;
2.427;0.7861454;-1;;
2.428;0.7861454;-1;;
2.4485235;;;-0.277741825486454;-0.138870912743227
2.449;0.7190865;-1;;
2.45;0.7190865;-1;;
2.47;0.6849229;-1;;
2.471;0.651597;-1;;
2.492;0.6181346;-1;;
2.493;0.6181346;-1;;
2.513;0.5491956;-1;;
2.514;0.5491956;-1;;
2.537;0.4845503;-1;;
2.538;0.4845503;-1;;
2.555;0.4164406;-1;;
2.577;0.3493703;-1;;
2.578;0.3493703;-1;;
2.599;0.2830082;-1;;
2.6;0.2830082;-1;;
2.621;0.2160627;-1;;
2.644;0.1487448;-1;;
2.645;0.1487448;-1;;
2.666;0.08225082;-1;;
2.667;0.08225082;-1;;
2.688;0.01475507;-1;;
2.689;0.01475507;-1;;
2.709;-0.05208151;-1;;
2.71;-0.05208151;-1;;
2.73;-0.1187679;-1;;
2.731;-0.1187679;-1;;
2.7498223;;;0.490389993350702;0.106324083932124
2.752;-0.1852511;-1;;
2.772;-0.2192201;-1;;
2.773;-0.2534344;-1;;
2.794;-0.2869082;-1;;
2.795;-0.2869082;-1;;
2.818;-0.3564704;-1;;
2.818;-0.3868722;-1;;
2.819;-0.3868722;-1;;
2.838;-0.4213057;-1;;
2.84;-0.4213057;-1;;
2.859;-0.4881063;-1;;
2.859;-0.4881063;-1;;
2.86;-0.4881063;-1;;
2.86;-0.4881063;-1;;
2.88;-0.5545313;-1;;
2.881;-0.5553675;-1;;
2.901;-0.6213948;-1;;
2.902;-0.6213948;-1;;
2.902;-0.6213948;-1;;
2.903;-0.6213948;-1;;
2.923;-0.6879912;-1;;
2.923;-0.6880872;-1;;
2.924;-0.6888468;-1;;
2.947;-0.7552863;-1;;
2.948;-0.7552863;-1;;
2.949;-0.7552863;-1;;
2.965;-0.8227568;-1;;
2.965;-0.8227568;-1;;
2.966;-0.8227568;-1;;
2.986;-0.8882915;-1;;
2.987;-0.8889059;-1;;
2.987;-0.889004;-1;;
2.988;-0.8891258;-1;;
3.008;-0.9225675;-1;;
3.009;-0.9568285;-1;;
3.009;-0.9568285;-1;;
3.029;-0.9918468;-1;;
3.03;-1.016238;-1;;
3.031;-1.021983;-1;;
3.05;-1.056976;-1;;
3.051;-1.057358;-1;;
3.0521239;;;0.482209083024604;0.486299538187653
3.052;-1.082993;-1;;
3.053;-1.086457;-1;;
3.072;-1.124819;-1;;
3.074;-1.154011;-1;;
3.075;-1.157796;-1;;
3.094;-1.191491;-1;;
3.095;-1.191491;-1;;
3.116;-1.25764;-1;;
3.116;-1.257759;-1;;
3.117;-1.258315;-1;;
3.137;-1.325121;-1;;
3.138;-1.325799;-1;;
3.139;-1.325908;-1;;
3.139;-1.325954;-1;;
3.14;-1.325954;-1;;
3.159;-1.39187;-1;;
3.159;-1.392211;-1;;
3.16;-1.392756;-1;;
3.18;-1.459983;-1;;
3.181;-1.459983;-1;;
3.181;-1.459983;-1;;
3.182;-1.459983;-1;;
3.202;-1.525854;-1;;
3.202;-1.525854;-1;;
3.203;-1.525854;-1;;
3.203;-1.525854;-1;;
3.222;-1.592303;-1;;
3.223;-1.592965;-1;;
3.223;-1.593078;-1;;
3.224;-1.593145;-1;;
3.243;-1.660599;-1;;
3.244;-1.661338;-1;;
3.245;-1.661442;-1;;
3.245;-1.66146;-1;;
3.265;-1.726782;-1;;
3.266;-1.727603;-1;;
3.266;-1.727603;-1;;
3.267;-1.727603;-1;;
3.286;-1.794578;-1;;
3.287;-1.794578;-1;;
3.287;-1.794578;-1;;
3.288;-1.794578;-1;;
3.308;-1.828142;-1;;
3.314;-1.828142;-1;;
3.315;-1.85107;-1;;
3.316;-1.858093;-1;;
3.329;-1.911778;-1;;
3.33;-1.912505;-1;;
3.331;-1.912717;-1;;
3.35;-1.962315;-1;;
3.351;-1.962315;-1;;
3.351;-1.962315;-1;;
3.352;-1.962315;-1;;
3.3534223;;;0.496408206738437;0.48930864488152
3.35;-1.962315;-1;;
3.351;-1.962315;-1;;
3.351;-1.962315;-1;;
3.352;-1.962315;-1;;
3.371;-2.028389;-1;;
3.372;-2.029028;-1;;
3.372;-2.02925;-1;;
3.393;-2.096012;-1;;
3.393;-2.096012;-1;;
3.394;-2.096012;-1;;
3.395;-2.096012;-1;;
3.414;-2.163461;-1;;
3.415;-2.163461;-1;;
3.415;-2.163461;-1;;
3.416;-2.163461;-1;;
3.436;-2.229908;-1;;
3.437;-2.229908;-1;;
3.437;-2.229908;-1;;
3.438;-2.229908;-1;;
3.458;-2.29709;-1;;
3.458;-2.29709;-1;;
3.458;-2.29709;-1;;
3.459;-2.29709;-1;;
3.479;-2.364028;-1;;
3.479;-2.364028;-1;;
3.48;-2.364028;-1;;
3.48;-2.364028;-1;;
3.5;-2.43091;-1;;
3.501;-2.43091;-1;;
3.501;-2.43091;-1;;
3.502;-2.43091;-1;;
3.521;-2.497661;-1;;
3.522;-2.498376;-1;;
3.523;-2.49849;-1;;
3.524;-2.498523;-1;;
3.544;-2.564303;-1;;
3.545;-2.564977;-1;;
3.566;-2.631659;-1;;
3.567;-2.632261;-1;;
3.567;-2.632361;-1;;
3.568;-2.632439;-1;;
3.568;-2.632465;-1;;
3.588;-2.666566;-1;;
3.589;-2.691347;-1;;
3.589;-2.69558;-1;;
3.59;-2.698568;-1;;
3.612;-2.765959;-1;;
