verticalCube2Timestamp;verticalCube2XPos;verticalCube2YPos;verticalCube2newCorr;verticalCube2smoothCorr
0;;;0;0
0.383018;;;0;0
0.6908368;;;0;0
0.9921373;;;0;0
1.2934381;;;0;0
1.5952401;;;0;0
1.8965406;;;0;0
2.157;1.770987;3;;
2.177;1.725587;3;;
2.1983432;;;-0.5;-0.166666666666667
2.199;1.675866;3;;
2.2;1.675866;3;;
2.223;1.636056;3;;
2.225;1.636056;3;;
2.245;1.591982;3;;
2.247;1.591982;3;;
2.269;1.569932;3;;
2.271;1.549568;3;;
2.273;1.547884;3;;
2.273;1.547842;3;;
2.292;1.502832;3;;
2.293;1.502382;3;;
2.294;1.502248;3;;
2.313;1.458495;3;;
2.315;1.457995;3;;
2.335;1.414008;3;;
2.337;1.41353;3;;
2.337;1.413491;3;;
2.359;1.370275;3;;
2.36;1.369062;3;;
2.38;1.324126;3;;
2.382;1.323641;3;;
2.401;1.279694;3;;
2.403;1.279195;3;;
2.423;1.257444;3;;
2.424;1.257167;3;;
2.445;1.190535;3;;
2.446;1.189931;3;;
2.468;1.146485;3;;
2.47;1.145737;3;;
2.49;1.10105;3;;
2.491;1.100612;3;;
2.5001452;;;-0.302888882110217;-0.267629627370072
2.49;1.10105;3;;
2.491;1.100612;3;;
2.513;1.055319;3;;
2.513;1.055319;3;;
2.534;1.011475;3;;
2.536;1.01102;3;;
2.558;0.967306;3;;
2.58;0.9468181;3;;
2.581;0.9468181;3;;
2.582;0.9468181;3;;
2.602;0.8804243;3;;
2.604;0.8797067;3;;
2.649;0.7904321;3;;
2.65;0.7900534;3;;
2.652;0.7899485;3;;
2.673;0.7450246;3;;
2.674;0.7446066;3;;
2.694;0.7017051;3;;
2.696;0.7012395;3;;
2.716;0.6567022;3;;
2.717;0.6562579;3;;
2.739;0.6142257;3;;
2.742;0.6115441;3;;
2.761;0.5676666;3;;
2.763;0.5672137;3;;
2.784;0.5227183;3;;
2.785;0.5221905;3;;
2.7999422;;;0.47225062213875;-0.110212753323823
2.806;0.4784131;3;;
2.807;0.4775454;3;;
2.829;0.433807;3;;
2.83;0.4334265;3;;
2.85;0.3873017;3;;
2.851;0.3867329;3;;
2.871;0.3440905;3;;
2.873;0.3435661;3;;
2.893;0.3213889;3;;
2.894;0.321174;3;;
2.914;0.2549542;3;;
2.915;0.25426;3;;
2.936;0.2102363;3;;
2.937;0.209712;3;;
2.958;0.165268;3;;
2.959;0.1647399;3;;
2.981;0.120546;3;;
2.982;0.1201733;3;;
3.005;0.07986335;3;;
3.008;0.07578258;3;;
3.029;0.03120027;3;;
3.03;0.03079078;3;;
3.05;0.008932471;3;;
3.071;-0.05945586;3;;
3.072;-0.06013626;3;;
3.074;-0.06025666;3;;
3.093;-0.1026555;3;;
3.094;-0.1031009;3;;
3.1022465;;;0.334883866684045;0.168081868904193
3.093;-0.1026555;3;;
3.094;-0.1031009;3;;
3.115;-0.1474585;3;;
3.116;-0.1478265;3;;
3.137;-0.1703171;3;;
3.138;-0.1885177;3;;
3.159;-0.2370042;3;;
3.16;-0.2375928;3;;
3.181;-0.2808738;3;;
3.182;-0.281731;3;;
3.204;-0.304158;3;;
3.205;-0.3043528;3;;
3.225;-0.3688247;3;;
3.248;-0.4154799;3;;
3.271;-0.4605228;3;;
3.272;-0.4609333;3;;
3.293;-0.5055398;3;;
3.315;-0.5499108;3;;
3.316;-0.5504279;3;;
3.317;-0.5504279;3;;
3.338;-0.5944657;3;;
3.339;-0.5949882;3;;
3.383;-0.6836029;3;;
3.4035465;;;0.496009698593968;0.434381395805588
3.405;-0.7275823;3;;
3.428;-0.7736568;3;;
3.429;-0.7741618;3;;
3.43;-0.7741618;3;;
3.45;-0.818556;3;;
3.472;-0.8615318;3;;
3.474;-0.862808;3;;
3.495;-0.9073055;3;;
3.54;-0.9961725;3;;
3.563;-1.041326;3;;
3.564;-1.04174;3;;
3.565;-1.04181;3;;
3.585;-1.085852;3;;
3.586;-1.086307;3;;
3.617;-1.130905;3;;
3.651;-1.220065;3;;
3.652;-1.220714;3;;
3.653;-1.220714;3;;
3.674;-1.242405;3;;
3.697;-1.308021;3;;
3.7053486;;;0.491755534331577;0.440883033203197
3.697;-1.308021;3;;
3.741;-1.398582;3;;
3.743;-1.398991;3;;
3.812;-1.53272;3;;
3.813;-1.533206;3;;
3.877;-1.667449;3;;
3.898;-1.711909;3;;
3.921;-1.757221;3;;
3.922;-1.757221;3;;
3.943;-1.801276;3;;
3.943;-1.801276;3;;
3.965;-1.843657;3;;
3.966;-1.844895;3;;
3.968;-1.845948;3;;
3.968;-1.846028;3;;
3.988;-1.867889;3;;
3.989;-1.868116;3;;
4.0071509;;;0.433538495342835;0.473767909422794
4.009;-1.934498;3;;
4.033;-1.979512;3;;
4.034;-1.979824;3;;
4.035;-1.979914;3;;
4.036;-1.979973;3;;
4.037;-1.979981;3;;
4.056;-2.024204;3;;
4.057;-2.0246;3;;
4.057;-2.024786;3;;
