verticalCube1Timestamp;verticalCube1XPos;verticalCube1YPos;verticalCube1newCorr;verticalCube1smoothCorr
0;;;0;0
0.3740254;;;0;0
0.6788612;;;0;0
0.9801868;;;0;0
1.2820142;;;0;0
1.5838411;;;0;0
1.8851675;;;0;0
2.1869947;;;0;0
2.226;-0.6186792;-2;;
2.227;-0.6186792;-2;;
2.245;-0.6636815;-2;;
2.246;-0.6636815;-2;;
2.267;-0.6859284;-2;;
2.268;-0.6859284;-2;;
2.289;-0.7529262;-2;;
2.29;-0.7529262;-2;;
2.312;-0.7975467;-2;;
2.313;-0.7975467;-2;;
2.313;-0.7975467;-2;;
2.334;-0.8410515;-2;;
2.337;-0.8419211;-2;;
2.338;-0.8420712;-2;;
2.357;-0.8860026;-2;;
2.357;-0.8865911;-2;;
2.358;-0.8865911;-2;;
2.359;-0.8865911;-2;;
2.379;-0.9317487;-2;;
2.38;-0.9317487;-2;;
2.401;-0.976704;-2;;
2.401;-0.976704;-2;;
2.402;-0.976704;-2;;
2.422;-0.9992158;-2;;
2.423;-0.9995302;-2;;
2.424;-0.9997222;-2;;
2.446;-1.066894;-2;;
2.447;-1.067549;-2;;
2.468;-1.109481;-2;;
2.469;-1.10984;-2;;
2.471;-1.109962;-2;;
2.471;-1.109963;-2;;
2.472;-1.109978;-2;;
2.4883201;;;-0.364342601496519;-0.121447533832173
2.494;-1.154214;-2;;
2.495;-1.154566;-2;;
2.496;-1.154688;-2;;
2.497;-1.154704;-2;;
2.499;-1.154711;-2;;
2.519;-1.2151;-2;;
2.52;-1.215718;-2;;
2.521;-1.215828;-2;;
2.522;-1.215847;-2;;
2.536;-1.243406;-2;;
2.537;-1.243778;-2;;
2.537;-1.243911;-2;;
2.538;-1.243911;-2;;
2.557;-1.288586;-2;;
2.558;-1.289023;-2;;
2.559;-1.289131;-2;;
2.56;-1.289161;-2;;
2.579;-1.311221;-2;;
2.58;-1.31153;-2;;
2.581;-1.311738;-2;;
2.601;-1.377634;-2;;
2.602;-1.378196;-2;;
2.603;-1.378335;-2;;
2.604;-1.37842;-2;;
2.604;-1.378435;-2;;
2.623;-1.422186;-2;;
2.624;-1.422667;-2;;
2.625;-1.422732;-2;;
2.625;-1.422744;-2;;
2.646;-1.467753;-2;;
2.647;-1.468112;-2;;
2.647;-1.46829;-2;;
2.648;-1.46829;-2;;
2.668;-1.511659;-2;;
2.669;-1.512321;-2;;
2.67;-1.512651;-2;;
2.691;-1.55659;-2;;
2.692;-1.556971;-2;;
2.692;-1.557023;-2;;
2.693;-1.557105;-2;;
2.713;-1.601056;-2;;
2.713;-1.601295;-2;;
2.714;-1.601615;-2;;
2.715;-1.601615;-2;;
2.735;-1.624561;-2;;
2.736;-1.624561;-2;;
2.757;-1.691051;-2;;
2.758;-1.691051;-2;;
2.759;-1.691051;-2;;
2.759;-1.691051;-2;;
2.78;-1.734829;-2;;
2.78;-1.735035;-2;;
2.781;-1.735761;-2;;
2.7906493;;;0.48124931056623;0.0389689030232369
2.78;-1.734829;-2;;
2.78;-1.735035;-2;;
2.781;-1.735761;-2;;
2.802;-1.781143;-2;;
2.803;-1.781595;-2;;
2.804;-1.781673;-2;;
2.824;-1.825246;-2;;
2.825;-1.825246;-2;;
2.825;-1.825246;-2;;
2.826;-1.825246;-2;;
2.827;-1.825246;-2;;
2.847;-1.869195;-2;;
2.847;-1.869295;-2;;
2.848;-1.86967;-2;;
2.869;-1.915109;-2;;
2.87;-1.915648;-2;;
2.871;-1.915648;-2;;
2.871;-1.915648;-2;;
2.872;-1.915648;-2;;
2.913;-2.001948;-2;;
2.914;-2.002472;-2;;
2.916;-2.002472;-2;;
2.96;-2.0915;-2;;
2.984;-2.137517;-2;;
3.006;-2.182316;-2;;
3.008;-2.183647;-2;;
3.03;-2.226841;-2;;
3.052;-2.250061;-2;;
3.074;-2.316607;-2;;
3.075;-2.316607;-2;;
3.0919754;;;-0.184142621840654;-0.0224119709236479
3.095;-2.360023;-2;;
3.096;-2.360929;-2;;
3.118;-2.405174;-2;;
3.12;-2.406521;-2;;
3.164;-2.494176;-2;;
3.186;-2.539737;-2;;
3.187;-2.540182;-2;;
3.229;-2.628664;-2;;
3.23;-2.629094;-2;;
3.231;-2.629191;-2;;
3.232;-2.629191;-2;;
3.251;-2.673356;-2;;
3.252;-2.673831;-2;;
3.253;-2.673934;-2;;
3.253;-2.673934;-2;;
3.273;-2.719093;-2;;
