Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
verticalCube3;4.0019927;0.826655684855087;0;300;900;0.3;Pearson;BothEyes
verticalCube4;4.0019927;0.826655748149411;0;300;900;0.3;Pearson;BothEyes
verticalCube1;4.3033183;-0.774364580716499;0;300;900;0.3;Pearson;BothEyes
verticalCube2;4.3033183;0.774494512847811;0;300;900;0.3;Pearson;BothEyes
verticalCube3;4.3033183;-0.774494744249142;0;300;900;0.3;Pearson;BothEyes
verticalCube4;4.3033183;-0.774494501344086;0;300;900;0.3;Pearson;BothEyes
verticalCube1;4.6056473;-0.792012023064578;0;300;900;0.3;Pearson;BothEyes
verticalCube2;4.6056473;0.96036688577381;0;300;900;0.3;Pearson;BothEyes
verticalCube3;4.6056473;-0.960366894037123;0;300;900;0.3;Pearson;BothEyes
verticalCube4;4.6056473;-0.846222794619321;0;300;900;0.3;Pearson;BothEyes
verticalCube1;4.9069732;0.911481450186125;0;300;900;0.3;Pearson;BothEyes
verticalCube2;4.9069732;0.911241966289992;0;300;900;0.3;Pearson;BothEyes
verticalCube3;4.9069732;-0.911241982173834;0;300;900;0.3;Pearson;BothEyes
verticalCube4;4.9069732;0.911241942228664;0;300;900;0.3;Pearson;BothEyes
verticalCube1;5.2088006;0.991589333396557;0;300;900;0.3;Pearson;BothEyes
verticalCube2;5.2088006;0.991246544972894;0;300;900;0.3;Pearson;BothEyes
verticalCube3;5.2088006;-0.991246563415121;0;300;900;0.3;Pearson;BothEyes
verticalCube4;5.2088006;0.991246476030118;0;300;900;0.3;Pearson;BothEyes
verticalCube1;5.5101263;0.943126085824142;0;300;900;0.3;Pearson;BothEyes
verticalCube2;5.5101263;0.943277883393891;0;300;900;0.3;Pearson;BothEyes
verticalCube3;5.5101263;-0.943278051611413;0;300;900;0.3;Pearson;BothEyes
verticalCube4;5.5101263;0.94327783233329;0;300;900;0.3;Pearson;BothEyes
verticalCube1;5.8119539;0.982743625556767;0;300;900;0.3;Pearson;BothEyes
verticalCube2;5.8119539;0.983889980051204;0;300;900;0.3;Pearson;BothEyes
verticalCube3;5.8119539;0.98311292671826;0;300;900;0.3;Pearson;BothEyes
verticalCube4;5.8119539;0.983836851949627;0;300;900;0.3;Pearson;BothEyes
verticalCube1;6.1132798;0.844798754329507;0;300;900;0.3;Pearson;BothEyes
verticalCube2;6.1132798;0.846813932468683;0;300;900;0.3;Pearson;BothEyes
verticalCube3;6.1132798;0.846814000790086;0;300;900;0.3;Pearson;BothEyes
verticalCube4;6.1132798;0.846814020050597;0;300;900;0.3;Pearson;BothEyes
verticalCube1;6.415107;0.863018966828478;0;300;900;0.3;Pearson;BothEyes
verticalCube2;6.415107;0.86385481758727;0;300;900;0.3;Pearson;BothEyes
verticalCube3;6.415107;0.863854876836324;0;300;900;0.3;Pearson;BothEyes
verticalCube4;6.415107;0.863854876964653;0;300;900;0.3;Pearson;BothEyes
verticalCube1;6.7164329;1;0;300;900;0.3;Pearson;BothEyes
verticalCube2;6.7164329;-1;0;300;900;0.3;Pearson;BothEyes
verticalCube3;6.7164329;1;0;300;900;0.3;Pearson;BothEyes
verticalCube4;6.7164329;1;0;300;900;0.3;Pearson;BothEyes
verticalCube1;7.0187621;1;0;300;900;0.3;Pearson;BothEyes
verticalCube2;7.0187621;-1;0;300;900;0.3;Pearson;BothEyes
verticalCube3;7.0187621;1;0;300;900;0.3;Pearson;BothEyes
verticalCube4;7.0187621;1;0;300;900;0.3;Pearson;BothEyes
verticalCube1;7.3200875;-0.871984279538617;0;300;900;0.3;Pearson;BothEyes
verticalCube2;7.3200875;0.872945096307853;0;300;900;0.3;Pearson;BothEyes
verticalCube3;7.3200875;-0.872945821139194;0;300;900;0.3;Pearson;BothEyes
verticalCube4;7.3200875;-0.872947282551666;0;300;900;0.3;Pearson;BothEyes
verticalCube1;7.6214225;-0.530533934037178;0;300;900;0.3;Pearson;BothEyes
verticalCube2;7.6214225;0.668760855220803;0;300;900;0.3;Pearson;BothEyes
verticalCube3;7.6214225;-0.66876082946609;0;300;900;0.3;Pearson;BothEyes
verticalCube4;7.6214225;-0.554659185817343;0;300;900;0.3;Pearson;BothEyes
verticalCube1;7.9232497;0.947840733053825;0;300;900;0.3;Pearson;BothEyes
verticalCube2;7.9232497;0.945317975881178;0;300;900;0.3;Pearson;BothEyes
verticalCube3;7.9232497;-0.945317969442042;0;300;900;0.3;Pearson;BothEyes
verticalCube4;7.9232497;0.945318061641435;0;300;900;0.3;Pearson;BothEyes
verticalCube1;8.2295892;0.950408277284098;0;300;900;0.3;Pearson;BothEyes
verticalCube2;8.2295892;0.941280911802278;0;300;900;0.3;Pearson;BothEyes
verticalCube3;8.2295892;-0.941281045150222;0;300;900;0.3;Pearson;BothEyes
verticalCube4;8.2295892;0.941280991259051;0;300;900;0.3;Pearson;BothEyes
verticalCube1;8.5429483;0.677286731324389;0;300;900;0.3;Pearson;BothEyes
verticalCube2;8.5429483;0.675846180068721;0;300;900;0.3;Pearson;BothEyes
verticalCube3;8.5429483;-0.675846191110121;0;300;900;0.3;Pearson;BothEyes
verticalCube4;8.5429483;0.6758462613888;0;300;900;0.3;Pearson;BothEyes
verticalCube1;8.8558056;0.974059133724458;0;300;900;0.3;Pearson;BothEyes
verticalCube2;8.8558056;0.980150263243079;0;300;900;0.3;Pearson;BothEyes
verticalCube3;8.8558056;-0.974282592351662;0;300;900;0.3;Pearson;BothEyes
verticalCube4;8.8558056;0.974282597639883;0;300;900;0.3;Pearson;BothEyes
verticalCube1;9.169666;0.923340809811334;0;300;900;0.3;Pearson;BothEyes
verticalCube2;9.169666;-0.923341669640327;0;300;900;0.3;Pearson;BothEyes
verticalCube3;9.169666;-0.923343138425662;0;300;900;0.3;Pearson;BothEyes
verticalCube4;9.169666;0.923340705228621;0;300;900;0.3;Pearson;BothEyes
verticalCube1;9.4810193;-0.996939574388747;0;300;900;0.3;Pearson;BothEyes
verticalCube2;9.4810193;0.996987492569868;0;300;900;0.3;Pearson;BothEyes
verticalCube3;9.4810193;0.990154360949559;0;300;900;0.3;Pearson;BothEyes
verticalCube4;9.4810193;-0.996987495026941;0;300;900;0.3;Pearson;BothEyes
verticalCube1;9.7933758;0.436039599139801;0;300;900;0.3;Pearson;BothEyes
verticalCube2;9.7933758;-0.43903704867283;0;300;900;0.3;Pearson;BothEyes
verticalCube3;9.7933758;0.439037340576113;0;300;900;0.3;Pearson;BothEyes
verticalCube4;9.7933758;0.439037042165104;0;300;900;0.3;Pearson;BothEyes
verticalCube1;10.1062331;0.191492472096826;0;300;900;0.3;Pearson;BothEyes
verticalCube2;10.1062331;-0.20600432341398;0;300;900;0.3;Pearson;BothEyes
verticalCube3;10.1062331;0.206004062000669;0;300;900;0.3;Pearson;BothEyes
