Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject
63627885285.4465;1;0;45;0;;
63627885285.4721;1;0;45;0;;
63627885285.4721;2;0;45;0;;
63627885285.4721;3;0;45;0;;
63627885285.4721;4;0;45;0;;
63627885285.4721;5;0;45;0;;
63627885285.4831;1;0;45;0;;
63627885285.4831;2;0;45;0;;
63627885285.4831;3;0;45;0;;
63627885285.4831;4;0;45;0;;
63627885285.4831;5;0;45;0;;
63627885285.4946;1;0;45;0;;
63627885285.4946;2;0;45;0;;
63627885285.4946;3;0;45;0;;
63627885285.4946;4;0;45;0;;
63627885285.4946;5;0;45;0;;
