Timestamp;SelectionTime;aim;selection;correct?;smoothCorrelation;speedInDeg;widthInDeg;radiusInDeg;counterDifference;differenceAtSelection;pearsonThreshold;w;averageWindow;correlationFrequency
26.8176016;4.8152664;3;3;True;0.8259721;224.5995;4.860331;9.016361;15;15;0.600000023841858;300;900;0.2
32.2675505;4.4252321;1;1;True;0.839976;134.0721;4.792508;9.016356;15;16;0.600000023841858;300;900;0.2
39.1162243;5.8229537;3;3;True;0.6811581;14.8969;5.104899;26.61586;15;16;0.600000023841858;300;900;0.2
46.5860292;6.4455883;2;2;True;0.6294299;44.91989;5.56051;43.03138;15;17;0.600000023841858;300;900;0.2
57.6578839;10.0561616;2;2;True;0.2302061;26.81442;5.615788;43.03138;15;7;0.600000023841858;300;900;0.2
64.537826;5.8552247;1;1;True;0.6856509;44.91989;4.805097;43.03138;15;16;0.600000023841858;300;900;0.2
75.6241788;10.0611344;2;2;True;0.8195485;8.938142;5.615049;43.03139;15;9;0.600000023841858;300;900;0.2
81.5052714;4.8523651;2;2;True;0.7003125;134.0721;4.85533;9.016356;15;15;0.600000023841858;300;900;0.2
89.1786153;6.6511337;4;4;True;0.8607225;74.86649;4.771778;26.61586;15;16;0.600000023841858;300;900;0.2
100.0669838;9.8636517;1;1;True;0.8514694;224.5995;4.787281;9.016368;15;18;0.600000023841858;300;900;0.2
108.3654904;7.2717842;4;4;True;0.9398211;26.81442;5.609671;43.03138;15;16;0.600000023841858;300;900;0.2
119.4809689;10.0897591;4;4;True;0.3599508;44.69071;5.142323;26.61586;15;13;0.600000023841858;300;900;0.2
127.7735439;7.2688599;4;4;True;0.8701866;74.86649;5.32669;26.61586;15;16;0.600000023841858;300;900;0.2
133.6220503;4.8267975;3;3;True;0.8483749;44.69071;4.910111;26.61586;15;15;0.600000023841858;300;900;0.2
139.0845327;4.4377655;4;4;True;0.7878207;44.69071;4.90312;9.016361;15;15;0.600000023841858;300;900;0.2
146.9248197;6.8145663;2;2;True;0.8844359;14.8969;5.348151;26.61585;15;15;0.600000023841858;300;900;0.2
158.0302694;10.0787276;4;3;False;-0.09021533;44.69071;4.778628;9.016361;15;5;0.600000023841858;300;900;0.2
169.1076574;10.0556788;3;3;True;0.9584669;8.938142;5.407384;43.03139;15;16;0.600000023841858;300;900;0.2
180.2677457;10.1373766;1;1;True;0.8978476;14.8969;5.348982;26.61586;15;6;0.600000023841858;300;900;0.2
186.5323568;5.2323743;4;4;True;0.935876;44.69071;5.396793;26.61586;15;16;0.600000023841858;300;900;0.2
192.79496;5.2363838;3;3;True;0.9167366;44.69071;4.758705;9.016361;15;15;0.600000023841858;300;900;0.2
203.9264719;10.1002783;2;3;False;0.5965703;224.5995;4.847245;9.016356;15;16;0.600000023841858;300;900;0.2
212.8170502;7.8693706;1;1;True;0.6615279;134.0721;4.884146;9.016361;15;16;0.600000023841858;300;900;0.2
223.9395733;10.0998113;1;1;True;0;8.938142;4.758705;43.03139;15;0;0.600000023841858;300;900;0.2
235.0360178;10.0682191;4;4;True;0.8059359;26.81442;5.415409;43.03139;15;17;0.600000023841858;300;900;0.2
246.1339413;10.077217;1;1;True;0.7453437;44.91989;4.757559;43.03138;15;16;0.600000023841858;300;900;0.2
257.2388839;10.0787217;1;1;True;0.7589578;74.86649;5.324347;26.61585;15;13;0.600000023841858;300;900;0.2
