large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
0;;;0;0
0.4802759;;;0;0
0.7870919;;;0;0
1.0888939;;;0;0
1.3901945;;;0;0
1.6919965;;;0;0
1.9932975;;;0;0
2.2951001;;;0;0
2.426;0.5964541;0;;
2.427;0.5964541;0;;
2.447;0.5427347;0;;
2.447;0.5427347;0;;
2.448;0.5427347;0;;
2.469;0.4929205;0;;
2.47;0.4919276;0;;
2.472;0.4895974;0;;
2.474;0.4651567;0;;
2.492;0.4362622;0;;
2.493;0.4356485;0;;
2.495;0.4192771;0;;
2.496;0.4135505;0;;
2.519;0.3822136;0;;
2.52;0.3815519;0;;
2.522;0.3812085;0;;
2.526;0.3386034;0;;
2.527;0.3386034;0;;
2.528;0.3386034;0;;
2.546;0.3014642;0;;
2.548;0.3014642;0;;
2.572;0.2489971;0;;
2.574;0.2254747;0;;
2.576;0.2211241;0;;
2.576;0.220933;0;;
2.577;0.2204408;0;;
2.578;0.2204408;0;;
2.5969021;;;-0.363640693996214;-0.121213564665405
2.597;0.1694667;0;;
2.601;0.1673204;0;;
2.603;0.1668329;0;;
2.604;0.1668329;0;;
2.624;0.1136794;0;;
2.625;0.1136794;0;;
2.626;0.1136794;0;;
2.647;0.06103031;0;;
2.648;0.06005581;0;;
2.65;0.05978348;0;;
2.672;0.006570119;0;;
2.672;0.006213401;0;;
2.675;0.006000607;0;;
2.676;0.005978143;0;;
2.695;-0.04838429;0;;
2.697;-0.04900493;0;;
2.717;-0.1002382;0;;
2.72;-0.1236563;0;;
2.721;-0.1262087;0;;
2.722;-0.127959;0;;
2.743;-0.1554972;0;;
2.744;-0.1554972;0;;
2.745;-0.1554972;0;;
2.746;-0.1816216;0;;
2.749;-0.1903764;0;;
2.766;-0.2330335;0;;
2.771;-0.2346949;0;;
2.772;-0.234916;0;;
2.773;-0.2349566;0;;
2.794;-0.2871925;0;;
2.795;-0.2880051;0;;
2.796;-0.2884441;0;;
2.798;-0.3155942;0;;
2.799;-0.3155942;0;;
2.816;-0.341308;0;;
2.818;-0.3418376;0;;
2.82;-0.36154;0;;
2.873;-0.4763379;0;;
2.881;-0.5017674;0;;
2.8977021;;;0.484066854927896;0.0401420536438939
2.905;-0.5547935;0;;
2.907;-0.5558456;0;;
2.909;-0.577282;0;;
2.911;-0.5831804;0;;
2.93;-0.609771;0;;
2.932;-0.6280588;0;;
2.933;-0.6325831;0;;
2.953;-0.6629276;0;;
2.954;-0.6832431;0;;
2.955;-0.6887417;0;;
2.956;-0.6902274;0;;
2.957;-0.690616;0;;
2.959;-0.6907547;0;;
2.977;-0.7432246;0;;
2.977;-0.7438883;0;;
2.979;-0.7446097;0;;
2.981;-0.7446844;0;;
3.006;-0.8130422;0;;
3.008;-0.8170249;0;;
3.013;-0.8242388;0;;
3.015;-0.8245484;0;;
3.039;-0.8734422;0;;
3.046;-0.8964825;0;;
3.05;-0.9036914;0;;
3.052;-0.9049304;0;;
3.055;-0.9232503;0;;
3.073;-0.9562477;0;;
3.088;-1.000617;0;;
3.093;-1.018949;0;;
3.103;-1.0373;0;;
3.109;-1.059171;0;;
3.11;-1.061271;0;;
3.111;-1.062796;0;;
3.113;-1.066063;0;;
3.117;-1.066699;0;;
3.132;-1.112162;0;;
3.133;-1.114498;0;;
3.137;-1.119787;0;;
3.139;-1.12033;0;;
3.143;-1.120414;0;;
3.143;-1.120416;0;;
3.161;-1.169811;0;;
3.162;-1.171483;0;;
3.166;-1.174561;0;;
3.169;-1.195029;0;;
3.183;-1.22601;0;;
3.186;-1.227341;0;;
3.187;-1.227521;0;;
3.188;-1.227638;0;;
3.2005067;;;-0.305816984284221;-0.0617969411175132
3.211;-1.30359;0;;
3.212;-1.3052;0;;
3.214;-1.307262;0;;
3.217;-1.307685;0;;
3.235;-1.359889;0;;
3.236;-1.360699;0;;
3.237;-1.361222;0;;
3.238;-1.361341;0;;
3.24;-1.361362;0;;
3.241;-1.361369;0;;
3.258;-1.410899;0;;
3.259;-1.412788;0;;
3.261;-1.41427;0;;
3.283;-1.467384;0;;
3.284;-1.46789;0;;
3.285;-1.467958;0;;
3.286;-1.467972;0;;
3.287;-1.467975;0;;
3.309;-1.537755;0;;
3.31;-1.540721;0;;
3.315;-1.547981;0;;
3.315;-1.548271;0;;
3.335;-1.599756;0;;
3.336;-1.601218;0;;
3.338;-1.602104;0;;
3.339;-1.602241;0;;
3.34;-1.602277;0;;
3.358;-1.654169;0;;
3.359;-1.655227;0;;
3.36;-1.655551;0;;
3.361;-1.655607;0;;
3.362;-1.655616;0;;
3.39;-1.706453;0;;
3.393;-1.729707;0;;
3.396;-1.741306;0;;
3.404;-1.761545;0;;
3.406;-1.763155;0;;
3.409;-1.76336;0;;
3.41;-1.763374;0;;
3.426;-1.815949;0;;
3.427;-1.81663;0;;
3.428;-1.816736;0;;
3.429;-1.816755;0;;
3.43;-1.816755;0;;
3.448;-1.869824;0;;
3.451;-1.870489;0;;
3.452;-1.870534;0;;
3.473;-1.922939;0;;
3.474;-1.923438;0;;
3.474;-1.923522;0;;
3.475;-1.923559;0;;
3.479;-1.923565;0;;
3.495;-1.975294;0;;
3.496;-1.976341;0;;
3.497;-1.977798;0;;
3.498;-1.977798;0;;
3.5013057;;;0.474313945258476;0.217521271967383
3.495;-1.975294;0;;
3.496;-1.976341;0;;
3.497;-1.977798;0;;
3.498;-1.977798;0;;
3.518;-2.029527;0;;
3.519;-2.030678;0;;
3.521;-2.031357;0;;
3.525;-2.057123;0;;
3.542;-2.084493;0;;
3.544;-2.084769;0;;
3.576;-2.160497;0;;
3.58;-2.181704;0;;
3.584;-2.189656;0;;
3.584;-2.190133;0;;
3.607;-2.243702;0;;
3.609;-2.246301;0;;
3.61;-2.246535;0;;
3.611;-2.246569;0;;
3.612;-2.246577;0;;
3.613;-2.246578;0;;
3.619;-2.246579;0;;
3.632;-2.294409;0;;
3.635;-2.312633;0;;
3.637;-2.32478;0;;
3.638;-2.326028;0;;
3.639;-2.326296;0;;
3.66;-2.377975;0;;
3.661;-2.379353;0;;
3.663;-2.38027;0;;
3.664;-2.380392;0;;
3.665;-2.380464;0;;
3.685;-2.432663;0;;
3.686;-2.433316;0;;
3.689;-2.433316;0;;
3.691;-2.448535;0;;
3.692;-2.454152;0;;
3.714;-2.512346;0;;
3.715;-2.514069;0;;
3.72;-2.517963;0;;
3.72;-2.518067;0;;
3.727;-2.537682;0;;
3.728;-2.539035;0;;
3.749;-2.592712;0;;
3.751;-2.593754;0;;
3.752;-2.59393;0;;
3.753;-2.593957;0;;
3.754;-2.593964;0;;
3.754;-2.593965;0;;
3.773;-2.620351;0;;
3.777;-2.655798;0;;
3.778;-2.658975;0;;
3.781;-2.671607;0;;
3.802607;;;0.46992756735434;0.212808176109532
3.801;-2.720421;0;;
