largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
0;;;0;0
0.4802759;;;0;0
0.7870919;;;0;0
1.0888939;;;0;0
1.3901945;;;0;0
1.6919965;;;0;0
1.9932975;;;0;0
2.2951001;;;0;0
2.426;2.909181;2.5;;
2.427;2.909181;2.5;;
2.447;2.865943;2.5;;
2.447;2.865943;2.5;;
2.448;2.865943;2.5;;
2.469;2.815612;2.5;;
2.47;2.814609;2.5;;
2.472;2.812255;2.5;;
2.474;2.788746;2.5;;
2.492;2.759652;2.5;;
2.493;2.759034;2.5;;
2.495;2.742154;2.5;;
2.496;2.736249;2.5;;
2.519;2.705592;2.5;;
2.52;2.704945;2.5;;
2.522;2.704609;2.5;;
2.526;2.67745;2.5;;
2.527;2.67745;2.5;;
2.528;2.67745;2.5;;
2.546;2.620462;2.5;;
2.548;2.620462;2.5;;
2.572;2.571618;2.5;;
2.574;2.54898;2.5;;
2.576;2.544793;2.5;;
2.576;2.544609;2.5;;
2.577;2.544135;2.5;;
2.578;2.544135;2.5;;
2.5969021;;;-0.358134151762648;-0.119378050587549
2.597;2.492963;2.5;;
2.601;2.490808;2.5;;
2.603;2.490319;2.5;;
2.604;2.490319;2.5;;
2.624;2.436806;2.5;;
2.625;2.436806;2.5;;
2.626;2.436806;2.5;;
2.647;2.384336;2.5;;
2.648;2.383365;2.5;;
2.65;2.383093;2.5;;
2.672;2.33005;2.5;;
2.673;2.32958;2.5;;
2.675;2.329475;2.5;;
2.676;2.329457;2.5;;
2.695;2.261217;2.5;;
2.697;2.260437;2.5;;
2.717;2.222034;2.5;;
2.72;2.199514;2.5;;
2.721;2.197059;2.5;;
2.722;2.195376;2.5;;
2.743;2.168282;2.5;;
2.744;2.168282;2.5;;
2.745;2.168282;2.5;;
2.746;2.148412;2.5;;
2.749;2.141754;2.5;;
2.766;2.090984;2.5;;
2.771;2.089007;2.5;;
2.772;2.088743;2.5;;
2.773;2.088695;2.5;;
2.794;2.035515;2.5;;
2.795;2.034688;2.5;;
2.796;2.034241;2.5;;
2.798;2.007797;2.5;;
2.799;2.007797;2.5;;
2.816;1.981425;2.5;;
2.818;1.980882;2.5;;
2.82;1.96222;2.5;;
2.873;1.848493;2.5;;
2.881;1.82091;2.5;;
2.8977021;;;0.483696919702253;0.0418542559798685
2.905;1.768051;2.5;;
2.907;1.767002;2.5;;
2.909;1.746112;2.5;;
2.911;1.740364;2.5;;
2.93;1.712829;2.5;;
2.932;1.695702;2.5;;
2.933;1.691465;2.5;;
2.953;1.658776;2.5;;
2.954;1.639642;2.5;;
2.955;1.634463;2.5;;
2.956;1.633064;2.5;;
2.957;1.632698;2.5;;
2.959;1.632567;2.5;;
2.977;1.580146;2.5;;
2.977;1.579483;2.5;;
2.979;1.578763;2.5;;
2.981;1.578688;2.5;;
3.006;1.509245;2.5;;
3.008;1.505199;2.5;;
3.013;1.497871;2.5;;
3.015;1.497556;2.5;;
3.039;1.449879;2.5;;
3.046;1.426542;2.5;;
3.05;1.41924;2.5;;
3.052;1.417985;2.5;;
3.055;1.399893;2.5;;
3.073;1.366705;2.5;;
3.088;1.341295;2.5;;
3.093;1.296342;2.5;;
3.103;1.277141;2.5;;
3.109;1.261251;2.5;;
3.11;1.259725;2.5;;
3.111;1.258617;2.5;;
3.113;1.256244;2.5;;
3.117;1.255782;2.5;;
3.132;1.210965;2.5;;
3.133;1.208662;2.5;;
3.137;1.203448;2.5;;
3.139;1.202913;2.5;;
3.143;1.20283;2.5;;
3.143;1.202828;2.5;;
3.161;1.140951;2.5;;
3.162;1.138856;2.5;;
3.166;1.134999;2.5;;
3.169;1.124114;2.5;;
3.183;1.096936;2.5;;
3.186;1.095769;2.5;;
3.187;1.095611;2.5;;
3.188;1.095509;2.5;;
3.2005067;;;-0.307206913844921;-0.0605480486351052
3.211;1.019263;2.5;;
3.212;1.017138;2.5;;
3.214;1.015476;2.5;;
3.217;1.015135;2.5;;
3.235;0.9634227;2.5;;
3.236;0.9626202;2.5;;
3.237;0.962102;2.5;;
3.238;0.9619842;2.5;;
3.24;0.9619629;2.5;;
3.241;0.9619559;2.5;;
3.258;0.9120452;2.5;;
3.259;0.910141;2.5;;
3.261;0.9086478;2.5;;
3.283;0.8546636;2.5;;
3.284;0.8541492;2.5;;
3.285;0.8540797;2.5;;
3.286;0.8540655;2.5;;
3.287;0.8540624;2.5;;
3.309;0.7732057;2.5;;
3.31;0.769769;2.5;;
3.315;0.7613559;2.5;;
3.315;0.76102;2.5;;
3.335;0.7223924;2.5;;
3.336;0.7212952;2.5;;
3.338;0.7206311;2.5;;
3.339;0.7205282;2.5;;
3.34;0.7205008;2.5;;
3.358;0.6687236;2.5;;
3.359;0.6676674;2.5;;
3.36;0.6673446;2.5;;
3.361;0.667288;2.5;;
3.362;0.6672792;2.5;;
3.39;0.6164159;2.5;;
3.393;0.598187;2.5;;
3.396;0.589095;2.5;;
3.404;0.5548922;2.5;;
3.406;0.5521712;2.5;;
3.409;0.5518239;2.5;;
3.41;0.5518003;2.5;;
3.426;0.5069766;2.5;;
3.427;0.5063964;2.5;;
3.428;0.5063061;2.5;;
3.429;0.5062894;2.5;;
3.43;0.5062894;2.5;;
3.448;0.4531067;2.5;;
3.451;0.4524401;2.5;;
3.452;0.4523951;2.5;;
3.473;0.3859167;2.5;;
3.474;0.3852836;2.5;;
3.474;0.3851773;2.5;;
3.475;0.3851302;2.5;;
3.479;0.3851227;2.5;;
3.495;0.3470092;2.5;;
3.496;0.3462381;2.5;;
3.497;0.3451642;2.5;;
3.498;0.3451642;2.5;;
3.5013057;;;0.473345358951702;0.216611788269678
3.495;0.3470092;2.5;;
3.496;0.3462381;2.5;;
3.497;0.3451642;2.5;;
3.498;0.3451642;2.5;;
3.518;0.2942531;2.5;;
3.519;0.2931205;2.5;;
3.521;0.2924522;2.5;;
3.525;0.266366;2.5;;
3.542;0.2379641;2.5;;
3.544;0.2376782;2.5;;
3.576;0.1629058;2.5;;
3.58;0.1416266;2.5;;
3.584;0.1336477;2.5;;
3.584;0.1331691;2.5;;
3.607;0.08013122;2.5;;
3.609;0.07755839;2.5;;
3.61;0.07732638;2.5;;
3.611;0.07729303;2.5;;
3.612;0.07728472;2.5;;
3.613;0.07728366;2.5;;
3.619;0.07728321;2.5;;
3.632;0.01806163;2.5;;
3.635;0.004484343;2.5;;
3.637;-0.004564844;2.5;;
3.638;-0.005494741;2.5;;
3.639;-0.005694142;2.5;;
3.66;-0.05441255;2.5;;
3.661;-0.05571124;2.5;;
3.663;-0.05657551;2.5;;
3.664;-0.05669086;2.5;;
3.665;-0.05675797;2.5;;
3.685;-0.1091959;2.5;;
3.686;-0.1098516;2.5;;
3.69;-0.1098516;2.5;;
3.691;-0.1182462;2.5;;
3.692;-0.1268884;2.5;;
3.714;-0.1847378;2.5;;
