lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
3.935;0.07971295;1.402091
3.68;0.08108497;1.400541;;
3.681;0.08092169;1.400835;;
3.701;0.08071627;1.40114;;
3.744;0.08034185;1.402027;;
3.765;0.08189446;1.382935;;
3.771;0.08390093;1.36277;;
3.786;0.08607067;1.342041;;
3.807;0.08812897;1.322201;;
3.809;0.08755122;1.3262;;
3.85;0.08734831;1.32846;;
3.851;0.08497169;1.34808;;
3.871;0.08277348;1.367378;;
3.872;0.08133156;1.382592;;
3.892;0.07940204;1.400502;;
3.893;0.07963031;1.401419;;
3.935;0.07971295;1.402091;;
3.978;0.08199206;1.388105
4.022;0.0831382;1.377928
4.043;0.08309923;1.368879
4.044;0.08303919;1.36001
4.065;0.08074225;1.366795
4.109;0.0794341;1.369595
3.809;0.08755122;1.3262;;
3.85;0.08734831;1.32846;;
3.851;0.08497169;1.34808;;
3.871;0.08277348;1.367378;;
3.872;0.08133156;1.382592;;
3.892;0.07940204;1.400502;;
3.893;0.07963031;1.401419;;
3.935;0.07971295;1.402091;;
3.978;0.08199206;1.388105;;
4.022;0.0831382;1.377928;;
4.043;0.08309923;1.368879;;
4.044;0.08303919;1.36001;;
4.065;0.08074225;1.366795;;
4.109;0.0794341;1.369595;;
4.129;0.07899576;1.37596
4.13;0.07916255;1.384354
4.15;0.07936008;1.39216
4.151;0.0796807;1.399462
4.171;0.0804098;1.401645
4.172;0.08059589;1.401361
4.192;0.08070502;1.40107
4.193;0.08084846;1.400597
4.213;0.08088757;1.400913
4.214;0.08080837;1.400446
4.235;0.0807188;1.400596
4.236;0.0805517;1.401348
4.256;0.08038241;1.4013
3.978;0.08199206;1.388105;;
4.022;0.0831382;1.377928;;
4.043;0.08309923;1.368879;;
4.044;0.08303919;1.36001;;
4.065;0.08074225;1.366795;;
4.109;0.0794341;1.369595;;
4.129;0.07899576;1.37596;;
4.13;0.07916255;1.384354;;
4.15;0.07936008;1.39216;;
4.151;0.0796807;1.399462;;
4.171;0.0804098;1.401645;;
4.172;0.08059589;1.401361;;
4.192;0.08070502;1.40107;;
4.193;0.08084846;1.400597;;
4.213;0.08088757;1.400913;;
4.214;0.08080837;1.400446;;
4.235;0.0807188;1.400596;;
4.236;0.0805517;1.401348;;
4.256;0.08038241;1.4013;;
4.321;0.08180671;1.389758
4.405;0.08125405;1.389249
4.406;0.08252146;1.372176
4.109;0.0794341;1.369595;;
4.129;0.07899576;1.37596;;
4.13;0.07916255;1.384354;;
4.15;0.07936008;1.39216;;
4.151;0.0796807;1.399462;;
4.171;0.0804098;1.401645;;
4.172;0.08059589;1.401361;;
4.192;0.08070502;1.40107;;
4.193;0.08084846;1.400597;;
4.213;0.08088757;1.400913;;
4.214;0.08080837;1.400446;;
4.235;0.0807188;1.400596;;
4.236;0.0805517;1.401348;;
4.256;0.08038241;1.4013;;
4.321;0.08180671;1.389758;;
4.405;0.08125405;1.389249;;
4.406;0.08252146;1.372176;;
4.426;0.08373002;1.355584
4.448;0.08432125;1.348416
4.469;0.08444017;1.346006
4.512;0.0835547;1.362144
4.513;0.08246084;1.37851
4.555;0.08051369;1.39779
4.556;0.08137059;1.39957
4.576;0.08100439;1.400086
4.321;0.08180671;1.389758;;
4.405;0.08125405;1.389249;;
4.406;0.08252146;1.372176;;
4.426;0.08373002;1.355584;;
4.448;0.08432125;1.348416;;
4.469;0.08444017;1.346006;;
4.512;0.0835547;1.362144;;
4.513;0.08246084;1.37851;;
4.555;0.08051369;1.39779;;
4.556;0.08137059;1.39957;;
4.576;0.08100439;1.400086;;
4.64;0.08081029;1.400564
4.64;0.08047533;1.400892
4.682;0.07964548;1.402524
4.703;0.08033897;1.401868
4.724;0.08030984;1.400901
4.726;0.08057494;1.400712
4.426;0.08373002;1.355584;;
4.448;0.08432125;1.348416;;
4.469;0.08444017;1.346006;;
4.512;0.0835547;1.362144;;
