Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject
0;1;0;45;0;;
0;2;0;2;0;;
0;3;0;2;0;;
0.3769974;1;0;45;0;;
0.3769974;2;0;2;0;;
0.3769974;3;0;2;0;;
0.5299035;1;0;45;0;;
0.5299035;2;0;2;0;;
0.5299035;3;0;2;0;;
0.6863159;1;0;45;0;;
0.6863159;2;0;-2;0;;
0.6863159;3;0;2;0;;
0.8427322;1;0;45;0;;
0.8427322;2;0;-2;0;;
0.8427322;3;0;2;0;;
0.9991441;1;0;45;0;;
0.9991441;2;0;-2;0;;
0.9991441;3;0;2;0;;
1.1555892;1;0;45;0;;
1.1555892;2;0;-2;0;;
1.1555892;3;0;2;0;;
1.3120031;1;0;45;0;;
1.3120031;2;0;-2;0;;
1.3120031;3;0;-2;0;;
1.4679156;1;0;45;0;;
1.4679156;2;0;-2;0;;
1.4679156;3;0;-2;0;;
1.624831;1;0;45;0;;
1.624831;2;0;-2;0;;
1.624831;3;0;-2;0;;
1.7807432;1;0;45;0;;
1.7807432;2;0;-2;0;;
1.7807432;3;0;-2;0;;
1.9371576;1;0;45;0;;
1.9371576;2;0;-2;0;;
1.9371576;3;0;-2;0;;
2.0940726;1;0;45;0;;
2.0940726;2;0;-2;0;;
2.0940726;3;0;-2;0;;
2.250487;1;0;45;0;;
2.250487;2;0;-2;0;;
2.250487;3;0;-2;0;;
2.4069005;1;0;45;0;;
2.4069005;2;0;-2;0;;
2.4069005;3;0;-2;0;;
2.5633152;1;0;45;0;;
2.5633152;2;0;-2;0;;
2.5633152;3;0;-2;0;;
2.7197286;1;0;45;0;;
2.7197286;2;0;-2;0;;
2.7197286;3;0;-2;0;;
2.8761443;1;0;45;0;;
2.8761443;2;0;-2;0;;
2.8761443;3;0;-2;0;;
3.032055;1;0;45;0;;
3.032055;2;0;-2;0;;
3.032055;3;0;-2;0;;
3.1889707;1;0;45;0;;
3.1889707;2;0;-2;0;;
3.1889707;3;0;-2;0;;
3.3448829;1;0;45;0;;
3.3448829;2;0;-2;0;;
3.3448829;3;0;-2;0;;
3.5012978;1;0;45;0;;
3.5012978;2;0;-2;0;;
3.5012978;3;0;-2;0;;
3.6577108;1;0;45;0;;
3.6577108;2;0;2;0;;
3.6577108;3;0;-2;0;;
3.8141249;1;0;45;0;;
3.8141249;2;0;2;0;;
3.8141249;3;0;-2;0;;
3.9705389;1;0;45;0;;
3.9705389;2;0;2;0;;
3.9705389;3;0;-2;0;;
4.1269531;1;0;45;0;;
4.1269531;2;0;2;0;;
4.1269531;3;0;-2;0;;
4.2833673;1;0;45;0;;
4.2833673;2;0;2;0;;
4.2833673;3;0;2;0;;
4.4397807;1;0;45;0;;
4.4397807;2;0;2;0;;
4.4397807;3;0;2;0;;
4.5961949;1;0;45;0;;
4.5961949;2;0;2;0;;
4.5961949;3;0;2;0;;
4.7526086;1;0;45;0;;
4.7526086;2;0;2;0;;
4.7526086;3;0;2;0;;
4.9050122;1;0;45;0;;
4.9050122;2;0;2;0;;
4.9050122;3;0;2;0;;
5.0654332;1;0;45;0;;
5.0654332;2;0;2;0;;
5.0654332;3;0;2;0;;
5.2213453;1;0;45;0;;
5.2213453;2;0;2;0;;
5.2213453;3;0;2;0;;
5.3777593;1;0;45;0;;
5.3777593;2;0;2;0;;
5.3777593;3;0;2;0;;
5.5346747;1;0;45;0;;
5.5346747;2;0;2;0;;
5.5346747;3;0;2;0;;
5.6900856;1;0;45;0;;
5.6900856;2;0;2;0;;
5.6900856;3;0;2;0;;
5.8464998;1;0;45;0;;
5.8464998;2;0;2;0;;
5.8464998;3;0;2;0;;
6.0034153;1;0;45;0;;
6.0034153;2;0;2;0;;
6.0034153;3;0;2;0;;
6.1598287;1;0.08256102;45;0;;
6.1598287;2;0.07944698;2;0;;
6.1598287;3;-0.07944701;2;0;;
6.3162434;1;0.1338543;45;0;;
6.3162434;2;0.1217335;2;0;;
6.3162434;3;-0.1217335;2;0;;
6.4726571;1;0.1604292;45;0;;
6.4726571;2;0.1353123;2;0;;
6.4726571;3;-0.1353123;2;0;;
6.6290708;1;0.05689719;45;0;;
6.6290708;2;0.04253028;2;0;;
6.6290708;3;0.1024499;2;0;;
6.7849843;1;-0.3632378;45;0;;
6.7849843;2;-0.3233087;-2;0;;
6.7849843;3;0.2043675;2;0;;
6.9413972;1;0.1452322;45;0;;
6.9413972;2;-0.3917242;-2;0;;
6.9413972;3;0.01634929;2;0;;
7.0978193;1;0.8178981;45;0;1;
7.0978193;2;-0.4716297;-2;0;1;
7.0978193;3;-0.07851098;2;0;1;
7.2432042;1;-0.03634513;45;0;;
7.2432042;2;0.04976235;-2;0;;
7.2432042;3;-0.1724308;2;0;;
7.3996181;1;-0.5169538;45;0;;
7.3996181;2;0.5234801;-2;0;;
7.3996181;3;-0.2734191;-2;0;;
7.5555308;1;-0.1976742;45;0;;
7.5555308;2;0.1873965;-2;0;;
7.5555308;3;-0.253354;-2;0;;
7.7124463;1;-0.4400949;45;0;;
7.7124463;2;0.4402293;-2;0;;
7.7124463;3;-0.4402291;-2;0;;
7.8683584;1;-0.7900761;45;0;;
7.8683584;2;0.793488;-2;0;;
7.8683584;3;-0.7934881;-2;0;;
8.0247726;1;-0.9177974;45;0;;
8.0247726;2;0.9148454;-2;0;2;
8.0247726;3;-0.9148454;-2;0;2;
8.1811868;1;-0.6211118;45;0;;
8.1811868;2;0.989642;-2;0;2;
8.1811868;3;-0.989642;-2;0;2;
8.338111;1;-0.1329857;45;0;;
8.338111;2;0.930291;-2;0;2;
8.338111;3;-0.9302909;-2;0;2;
8.4940236;1;-0.02099853;45;0;;
8.4940236;2;0.902968;-2;0;2;
8.4940236;3;-0.9029679;-2;0;2;
8.6504371;1;-0.02101345;45;0;;
8.6504371;2;0.9629254;-2;0;2;
8.6504371;3;-0.734235;-2;0;2;
8.8068523;1;-0.0004294353;45;0;;
8.8068523;2;0.9935071;-2;0;2;
8.8068523;3;-0.2660691;-2;0;2;
8.9522364;1;0.01154209;45;0;;
8.9522364;2;0.8577678;-2;0;2;
8.9522364;3;0.007805058;-2;0;2;
9.1086501;1;0.006439908;45;0;;
9.1086501;2;0.3697581;-2;0;;
9.1086501;3;0.007213334;-2;0;;
9.2680721;1;0.05058684;45;0;;
9.2680721;2;0.06003954;-2;0;;
9.2680721;3;0.05078214;-2;0;;
9.4214777;1;0.3628877;45;0;;
9.4214777;2;0.3650844;-2;0;;
9.4214777;3;0.3650843;-2;0;;
9.5773904;1;0.7856277;45;0;;
9.5773904;2;0.7888837;-2;0;;
9.5773904;3;0.7888837;-2;0;;
9.7343056;1;0.9616998;45;0;1;
9.7343056;2;0.9525101;2;0;1;
9.7343056;3;0.9586527;-2;0;1;
9.8902183;1;0.5280475;45;0;;
9.8902183;2;0.07308893;2;0;;
9.8902183;3;0.5251482;-2;0;;
10.0476353;1;0.1805581;45;0;;
10.0476353;2;-0.2510908;2;0;;
10.0476353;3;0.215881;-2;0;;
10.2030464;1;-0.2601186;45;0;;
10.2030464;2;0.6470795;2;0;;
10.2030464;3;0.1692835;-2;0;;
10.3594601;1;-0.89169;45;0;;
10.3594601;2;0.9894683;2;0;2;
10.3594601;3;-0.03452057;2;0;2;
10.5158746;1;-0.9874632;45;0;;
10.5158746;2;0.9916856;2;0;2;
10.5158746;3;-0.4850203;2;0;2;
10.6722883;1;-0.9873846;45;0;;
10.6722883;2;0.9920348;2;0;2;
10.6722883;3;-0.6321468;2;0;2;
10.8287024;1;-0.9928829;45;0;;
10.8287024;2;0.9950611;2;0;2;
10.8287024;3;-0.1752335;2;0;2;
10.9851159;1;-0.98835;45;0;;
10.9851159;2;0.9021825;2;0;2;
10.9851159;3;0.00600848;2;0;2;
11.1305015;1;-0.9742712;45;0;;
11.1305015;2;0.4181152;2;0;;
11.1305015;3;0.01894771;2;0;;
11.2869147;1;-0.5158746;45;0;;
11.2869147;2;0.4690873;2;0;;
11.2869147;3;0.4684126;2;0;;
11.4317981;1;-0.02247749;45;0;;
11.4317981;2;0.9407302;2;0;;
11.4317981;3;0.9407303;2;0;3;
11.5882123;1;-0.004718928;45;0;;
11.5882123;2;0.9577488;2;0;;
11.5882123;3;0.9577488;2;0;3;
11.7446259;1;-0.03073585;45;0;;
11.7446259;2;0.9491998;2;0;2;
11.7446259;3;0.9491997;2;0;2;
11.9005384;1;-0.01636081;45;0;;
11.9005384;2;0.9373568;2;0;2;
11.9005384;3;0.9373567;2;0;2;
12.0574541;1;-0.01104194;45;0;;
