linear2Timestamp;linear2XPos;linear2YPos;linear2newCorr;linear2smoothCorr
0;;;0;0
0.3053081;;;0;0
0.4557061;;;0;0
0.6121203;;;0;0
0.7685343;;;0;0
0.9249475;;;0;0
1.0818627;;;0;0
1.2372743;;;0;0
1.3936878;;;0;0
1.5496004;;;0;0
1.7060146;;;0;0
1.8624286;;;0;0
2.018843;;;0;0
2.1752562;;;0;0
2.3316707;;;0;0
2.4880846;;;0;0
2.6449998;;;0;0
2.8004107;;;0;0
2.947;-2.242185;-0.1760706;;
2.9573262;;;0;0
2.947;-2.242185;-0.1760706;;
3.1137399;;;0;0
2.947;-2.242185;-0.1760706;;
3.2706556;;;0;0
2.947;-2.242185;-0.1760706;;
3.4270698;;;0;0
3.449;-2.797957;-0.4217064;;
3.539;-2.599018;-0.4718233;;
3.54;-2.598111;-0.4720518;;
3.56;-2.575447;-0.4777181;;
3.561;-2.558833;-0.4818717;;
3.583;-2.530844;-0.4888687;;
3.5834835;;;0.98895250679233;0.164825417798722
3.449;-2.797957;-0.4217064;;
3.539;-2.599018;-0.4718233;;
3.54;-2.598111;-0.4720518;;
3.56;-2.575447;-0.4777181;;
3.561;-2.558833;-0.4818717;;
3.583;-2.530844;-0.4888687;;
3.585;-2.513099;-0.4933052;;
3.606;-2.4652;-0.4998404;;
3.607;-2.464591;-0.4999235;;
3.627;-2.441636;-0.494396;;
3.629;-2.424384;-0.4900872;;
3.65;-2.375774;-0.477936;;
3.651;-2.375119;-0.4777721;;
3.652;-2.374836;-0.4777015;;
3.653;-2.374622;-0.477648;;
3.673;-2.329318;-0.4663218;;
3.695;-2.307974;-0.4609859;;
3.696;-2.285071;-0.4552602;;
3.7398977;;;0.68982274741247;0.2797958757008
3.583;-2.530844;-0.4888687;;
3.585;-2.513099;-0.4933052;;
3.606;-2.4652;-0.4998404;;
3.607;-2.464591;-0.4999235;;
3.627;-2.441636;-0.494396;;
3.629;-2.424384;-0.4900872;;
3.65;-2.375774;-0.477936;;
