linear3Timestamp;linear3XPos;linear3YPos;linear3newCorr;linear3smoothCorr
0;;;0;0
0.3734884;;;0;0
0.5253907;;;0;0
0.6813029;;;0;0
0.8377183;;;0;0
0.994061;;;0;0
1.1514767;;;0;0
1.3068884;;;0;0
1.4633013;;;0;0
1.6197152;;;0;0
1.7761292;;;0;0
1.9310398;;;0;0
2.0869518;;;0;0
2.143;-1.897547;1.58338;;
2.204;-1.863168;1.720896;;
2.204;-1.863168;1.720896;;
2.226;-1.853132;1.761039;;
2.2433657;;;0.969492682459002;0.484746341229501
2.143;-1.897547;1.58338;;
2.204;-1.863168;1.720896;;
2.204;-1.863168;1.720896;;
2.226;-1.853132;1.761039;;
2.269;-1.828447;1.859778;;
2.269;-1.828303;1.860358;;
2.29;-1.819842;1.8942;;
2.313;-1.808403;1.939956;;
2.334;-1.797231;1.984645;;
2.356;-1.78615;2.028966;;
2.357;-1.786051;2.029365;;
2.377;-1.780438;2.051816;;
2.378;-1.775528;2.071454;;
2.4002814;;;0.587319229597094;0.778405956028048
2.269;-1.828447;1.859778;;
2.269;-1.828303;1.860358;;
2.29;-1.819842;1.8942;;
2.313;-1.808403;1.939956;;
2.334;-1.797231;1.984645;;
2.356;-1.78615;2.028966;;
2.357;-1.786051;2.029365;;
2.377;-1.780438;2.051816;;
2.378;-1.775528;2.071454;;
2.401;-1.763735;2.118627;;
2.468;-1.730264;2.252513;;
2.469;-1.73016;2.252927;;
2.532;-1.702209;2.364733;;
2.5561936;;;0.585160915909459;0.586240072753277
2.356;-1.78615;2.028966;;
2.357;-1.786051;2.029365;;
2.377;-1.780438;2.051816;;
2.378;-1.775528;2.071454;;
2.401;-1.763735;2.118627;;
2.468;-1.730264;2.252513;;
2.469;-1.73016;2.252927;;
2.532;-1.702209;2.364733;;
2.575;-1.679922;2.453882;;
2.596;-1.668795;2.498389;;
2.638;-1.646446;2.587784;;
2.639;-1.646348;2.588175;;
2.7131088;;;0.0225077739863976;0.303834344947928
2.575;-1.679922;2.453882;;
2.596;-1.668795;2.498389;;
2.638;-1.646446;2.587784;;
2.639;-1.646348;2.588175;;
