timestamp;radius;velocity;walking
66.5696492;1.5;0.39;True
82.6097663;0.5;1.17;True
93.2624502;1.5;0.39;True
109.3275652;1.5;1.17;True
118.7199177;0.5;0.39;True
134.7709926;1.5;1.96;True
141.1935288;1.5;0.39;True
157.2781737;2.5;1.17;True
166.5602836;2.5;1.17;True
174.6133037;2.5;0.39;True
190.7100061;2.5;0.39;True
206.7710994;0.5;1.96;True
212.4245883;1.5;1.96;True
217.6514462;2.5;1.96;True
225.8947121;1.5;1.96;True
231.7364114;2.5;1.96;True
239.3880399;2.5;0.39;True
255.4501337;0.5;0.39;True
271.5011003;0.5;0.39;True
287.5417283;0.5;1.96;True
294.3432607;2.5;1.96;True
301.403318;1.5;1.17;True
314.6725085;0.5;1.17;True
321.1045621;0.5;1.96;True
326.7470218;0.5;1.17;True
333.783177;1.5;1.17;True
345.2089807;2.5;1.17;True
