Timestamp;SelectionTime;aim;selection;correct?;smoothCorrelation;speedInDeg;widthInDeg;radiusInDeg;counterDifference;differenceAtSelection;pearsonThreshold;w;averageWindow;correlationFrequency
82.594225;15.0198503;2;2;True;0.480333;14.8969;5.476002;26.82513;15;2;0.600000023841858;300;900;0.2
93.2459062;9.6334811;4;4;True;0.6042707;134.0721;4.926271;9.088973;15;16;0.600000023841858;300;900;0.2
109.3155333;15.0474164;3;3;True;0.4259699;14.8969;4.782413;26.82512;15;5;0.600000023841858;300;900;0.2
118.7028721;8.3721471;1;1;True;0.6894304;44.69071;5.354808;26.82513;15;17;0.600000023841858;300;900;0.2
134.7534462;15.0288654;3;3;True;0.1732268;44.69071;4.980068;9.088979;15;3;0.600000023841858;300;900;0.2
141.176985;5.4008273;2;2;True;0.7227364;74.86649;5.307885;26.82513;15;16;0.600000023841858;300;900;0.2
157.264638;15.0664455;3;3;True;0.2749718;14.8969;4.776529;26.82513;15;3;0.600000023841858;300;900;0.2
166.5437393;8.2604002;2;2;True;0.8885137;26.81442;5.754058;43.35467;15;17;0.600000023841858;300;900;0.2
174.5937513;7.0283028;3;3;True;0.6641576;26.81442;5.438588;43.35468;15;17;0.600000023841858;300;900;0.2
190.6914564;15.072487;3;3;True;0.1265758;8.938142;5.511339;43.35468;15;1;0.600000023841858;300;900;0.2
206.7510457;15.0363762;2;2;True;0.1003189;8.938142;5.252974;43.35467;15;5;0.600000023841858;300;900;0.2
212.4130572;4.6357906;4;4;True;0.7430213;224.5995;4.801443;9.088967;15;15;0.600000023841858;300;900;0.2
217.6338996;4.2051489;3;3;True;0.9220298;74.86649;5.545809;26.82513;15;15;0.600000023841858;300;900;0.2
225.8751597;7.2185486;1;1;True;0.8801954;44.91989;5.475327;43.35468;15;16;0.600000023841858;300;900;0.2
231.7208701;4.8209938;3;3;True;0.6579008;74.86649;5.428124;26.82512;15;15;0.600000023841858;300;900;0.2
239.3714959;6.6294183;2;2;True;0.7364711;44.91989;5.653919;43.35468;15;16;0.600000023841858;300;900;0.2
255.4320854;15.0393823;1;1;True;0.1065808;8.938142;5.646944;43.35468;15;5;0.600000023841858;300;900;0.2
271.4850583;15.0297602;2;2;True;0.2878619;44.69071;4.808612;9.088962;15;4;0.600000023841858;300;900;0.2
287.5256855;15.0189188;2;1;False;0.1725671;44.69071;4.820263;9.088967;15;0;0.600000023841858;300;900;0.2
294.3257139;5.7793222;4;4;True;0.771637;224.5995;4.928181;9.088979;15;16;0.600000023841858;300;900;0.2
301.3842674;6.0355252;4;4;True;0.8237231;44.91989;5.35177;43.35468;15;16;0.600000023841858;300;900;0.2
314.6549619;12.2464687;3;3;True;0.7352404;44.69071;5.229778;26.82513;15;16;0.600000023841858;300;900;0.2
321.0890206;5.4113469;1;1;True;0.6084409;134.0721;4.927786;9.088967;15;15;0.600000023841858;300;900;0.2
326.7304777;4.6202494;3;3;True;0.6352261;224.5995;4.983757;9.088979;15;15;0.600000023841858;300;900;0.2
333.7641261;6.0114382;4;4;True;0.8111462;134.0721;4.868992;9.088967;15;15;0.600000023841858;300;900;0.2
345.1929374;10.4071021;2;2;True;0.6164516;44.69071;5.291964;26.82513;15;15;0.600000023841858;300;900;0.2
353.2307681;7.0191288;3;3;True;0.6490715;26.81442;5.440299;43.35467;15;15;0.600000023841858;300;900;0.2
