linearCube1Timestamp;linearCube1XPos;linearCube1YPos;linearCube1newCorr;linearCube1smoothCorr
0;;;0;0
0.085;1.072898;-0.7;;
0.085;1.072898;-0.7;;
0.086;1.072898;-0.7;;
0.107;1.072898;-0.7;;
0.108;1.072898;-0.7;;
0.109;1.072898;-0.7;;
0.11;1.072898;-0.7;;
0.113;1.072898;-0.7;;
0.129;1.072898;-0.7;;
0.13;1.072898;-0.7;;
0.261;1.072898;-0.7;;
0.263;1.072898;-0.7;;
0.265;1.072898;-0.7;;
0.281;1.072898;-0.7;;
0.281;1.072898;-0.7;;
0.282;1.072898;-0.7;;
0.302;1.072898;-0.7;;
0.303;1.072898;-0.7;;
0.303;1.072898;-0.7;;
0.304;1.072898;-0.7;;
0.323;1.072898;-0.7;;
0.324;1.072898;-0.7;;
0.325;1.072898;-0.7;;
0.326;1.072898;-0.7;;
0.346;1.072898;-0.7;;
0.347;1.072898;-0.7;;
0.347;1.072898;-0.7;;
0.348;1.072898;-0.7;;
0.367;1.072898;-0.7;;
0.368;1.072898;-0.7;;
0.368;1.072898;-0.7;;
0.369;1.072898;-0.7;;
0.3855272;;;0;0
0.388;1.120266;-0.7;;
0.388;1.120602;-0.7;;
0.389;1.12085;-0.7;;
0.41;1.944256;-0.7;;
0.411;1.954153;-0.7;;
0.412;1.954153;-0.7;;
0.413;1.954153;-0.7;;
0.431;1.986716;-0.7;;
0.432;1.987642;-0.7;;
0.433;1.987642;-0.7;;
0.433;1.987642;-0.7;;
0.452;2.039526;-0.7;;
0.453;2.040056;-0.7;;
0.453;2.040146;-0.7;;
0.454;2.040184;-0.7;;
0.474;2.093319;-0.7;;
0.475;2.093777;-0.7;;
0.475;2.09379;-0.7;;
0.496;2.146527;-0.7;;
0.497;2.146964;-0.7;;
0.497;2.147155;-0.7;;
0.498;2.147155;-0.7;;
0.499;2.147155;-0.7;;
0.518;2.208156;-0.7;;
0.519;2.208809;-0.7;;
0.52;2.208913;-0.7;;
0.54;2.253896;-0.7;;
0.54;2.254142;-0.7;;
0.541;2.254412;-0.7;;
0.542;2.254453;-0.7;;
0.542;2.254468;-0.7;;
0.563;2.308429;-0.7;;
0.57;2.308429;-0.7;;
0.571;2.328102;-0.7;;
0.571;2.331429;-0.7;;
0.584;2.363721;-0.7;;
0.585;2.364204;-0.7;;
0.585;2.364286;-0.7;;
0.606;2.414816;-0.7;;
0.607;2.415276;-0.7;;
0.608;2.415379;-0.7;;
0.608;2.415397;-0.7;;
0.628;2.468258;-0.7;;
0.629;2.468769;-0.7;;
0.63;2.468907;-0.7;;
0.631;2.468907;-0.7;;
0.649;2.521872;-0.7;;
0.65;2.522486;-0.7;;
0.672;2.575711;-0.7;;
0.673;2.576199;-0.7;;
0.674;2.576316;-0.7;;
0.675;2.576316;-0.7;;
0.675;2.576316;-0.7;;
0.676;2.576316;-0.7;;
0.6923447;;;0.371942949705212;0.123980983235071
0.695;2.630048;-0.7;;
0.695;2.630048;-0.7;;
0.696;2.630048;-0.7;;
0.715;2.682199;-0.7;;
0.716;2.683067;-0.7;;
0.717;2.683546;-0.7;;
0.718;2.683546;-0.7;;
0.737;2.7361;-0.7;;
0.738;2.736608;-0.7;;
0.738;2.736786;-0.7;;
0.739;2.736786;-0.7;;
0.817;2.923025;-0.7;;
0.818;2.924822;-0.7;;
0.819;2.924822;-0.7;;
0.821;2.924822;-0.7;;
0.821;2.924822;-0.7;;
0.839;2.978522;-0.7;;
0.839;2.978522;-0.7;;
0.84;2.978522;-0.7;;
0.84;2.978522;-0.7;;
0.841;2.978522;-0.7;;
0.86;2.99972;-0.7;;
0.861;2.999912;-0.7;;
0.862;2.999972;-0.7;;
0.882;2.973984;-0.7;;
0.883;2.946943;-0.7;;
0.884;2.946943;-0.7;;
0.884;2.946943;-0.7;;
0.885;2.946943;-0.7;;
0.904;2.893892;-0.7;;
0.905;2.89332;-0.7;;
0.906;2.893231;-0.7;;
0.926;2.866958;-0.7;;
0.927;2.847136;-0.7;;
0.928;2.842006;-0.7;;
0.928;2.840222;-0.7;;
0.95;2.786169;-0.7;;
0.95;2.786169;-0.7;;
0.95;2.786169;-0.7;;
0.951;2.786169;-0.7;;
0.952;2.786169;-0.7;;
0.971;2.759622;-0.7;;
0.972;2.741024;-0.7;;
0.973;2.734423;-0.7;;
0.994;2.705442;-0.7;;
0.9946503;;;0.354397178473623;0.242113376059612
0.994;2.705442;-0.7;;
0.995;2.684342;-0.7;;
0.995;2.682562;-0.7;;
1.017;2.625555;-0.7;;
1.018;2.624904;-0.7;;
1.038;2.598478;-0.7;;
1.039;2.576701;-0.7;;
1.04;2.572398;-0.7;;
1.061;2.517873;-0.7;;
1.062;2.517873;-0.7;;
1.083;2.490881;-0.7;;
1.084;2.469377;-0.7;;
1.106;2.410874;-0.7;;
1.107;2.410874;-0.7;;
1.128;2.357682;-0.7;;
1.129;2.357147;-0.7;;
1.151;2.304059;-0.7;;
1.152;2.303592;-0.7;;
1.172;2.276969;-0.7;;
1.173;2.253858;-0.7;;
1.217;2.169986;-0.7;;
1.218;2.147667;-0.7;;
1.219;2.142854;-0.7;;
1.239;2.11541;-0.7;;
1.24;2.088441;-0.7;;
1.248;2.088441;-0.7;;
1.249;2.088441;-0.7;;
1.249;2.088441;-0.7;;
1.262;2.061541;-0.7;;
1.263;2.041852;-0.7;;
1.263;2.039319;-0.7;;
1.264;2.034831;-0.7;;
1.283;2.008677;-0.7;;
1.284;1.986174;-0.7;;
1.285;1.982208;-0.7;;
1.286;1.981511;-0.7;;
1.2954515;;;-0.429870728770211;0.0988231331362078
1.306;1.954904;-0.7;;
1.307;1.932555;-0.7;;
1.308;1.929169;-0.7;;
1.308;1.928015;-0.7;;
1.329;1.900544;-0.7;;
1.33;1.87343;-0.7;;
1.331;1.87343;-0.7;;
1.331;1.87343;-0.7;;
1.332;1.87343;-0.7;;
1.351;1.821056;-0.7;;
1.352;1.820483;-0.7;;
1.353;1.820377;-0.7;;
1.397;1.714215;-0.7;;
1.419;1.660592;-0.7;;
1.42;1.660177;-0.7;;
1.421;1.660044;-0.7;;
1.421;1.660036;-0.7;;
1.441;1.607039;-0.7;;
1.442;1.606501;-0.7;;
1.443;1.606415;-0.7;;
1.444;1.606378;-0.7;;
1.444;1.606378;-0.7;;
1.463;1.554054;-0.7;;
1.464;1.553058;-0.7;;
1.465;1.552766;-0.7;;
1.485;1.499659;-0.7;;
1.486;1.499114;-0.7;;
1.487;1.49903;-0.7;;
1.487;1.499001;-0.7;;
1.488;1.499001;-0.7;;
1.508;1.446529;-0.7;;
1.509;1.445842;-0.7;;
1.509;1.445498;-0.7;;
1.529;1.418993;-0.7;;
1.53;1.418736;-0.7;;
1.531;1.398118;-0.7;;
1.552;1.365551;-0.7;;
1.553;1.350294;-0.7;;
1.554;1.340919;-0.7;;
1.554;1.339309;-0.7;;
1.555;1.338436;-0.7;;
1.556;1.338314;-0.7;;
1.575;1.282141;-0.7;;
1.576;1.282141;-0.7;;
1.576;1.282141;-0.7;;
1.597;1.231343;-0.7;;
1.5972561;;;0.439637361885807;0.121387937196406
1.599;1.230738;-0.7;;
1.6;1.230738;-0.7;;
1.6;1.230738;-0.7;;
1.62;1.177958;-0.7;;
1.621;1.177424;-0.7;;
1.622;1.177298;-0.7;;
1.622;1.177298;-0.7;;
1.642;1.151387;-0.7;;
1.642;1.141791;-0.7;;
1.643;1.126148;-0.7;;
1.664;1.096953;-0.7;;
1.665;1.076426;-0.7;;
1.666;1.070928;-0.7;;
1.666;1.068928;-0.7;;
1.686;1.042676;-0.7;;
1.687;1.022965;-0.7;;
1.687;1.019679;-0.7;;
1.688;1.016888;-0.7;;
1.71;0.9624104;-0.7;;
1.711;0.9617842;-0.7;;
1.712;0.9617842;-0.7;;
1.712;0.9617842;-0.7;;
1.713;0.9617842;-0.7;;
1.732;0.9096653;-0.7;;
1.733;0.9091281;-0.7;;
1.734;0.9090076;-0.7;;
1.755;0.8561239;-0.7;;
1.756;0.8554901;-0.7;;
1.756;0.8554901;-0.7;;
1.757;0.8554901;-0.7;;
1.777;0.8025795;-0.7;;
1.777;0.8021408;-0.7;;
1.778;0.8019605;-0.7;;
1.779;0.801924;-0.7;;
1.779;0.8019179;-0.7;;
1.799;0.7489724;-0.7;;
1.8;0.748438;-0.7;;
1.823;0.6952873;-0.7;;
1.823;0.6946978;-0.7;;
1.824;0.6946978;-0.7;;
1.825;0.6946978;-0.7;;
1.826;0.6946978;-0.7;;
1.826;0.6946978;-0.7;;
1.845;0.6416674;-0.7;;
1.846;0.6411632;-0.7;;
1.846;0.640974;-0.7;;
1.847;0.640974;-0.7;;
1.867;0.5880945;-0.7;;
1.867;0.5877765;-0.7;;
1.889;0.5346729;-0.7;;
1.898;0.5340773;-0.7;;
1.9000627;;;-0.428275370761915;-0.139502912548773
1.889;0.5346729;-0.7;;
1.898;0.5340773;-0.7;;
