largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
4.124;-0.2654139;2.5;;
4.125;-0.2647692;2.5;;
4.146;-0.2111776;2.5;;
4.146;-0.2109733;2.5;;
4.147;-0.210608;2.5;;
4.148;-0.2105496;2.5;;
4.148;-0.210526;2.5;;
4.167;-0.1587399;2.5;;
4.168;-0.1578729;2.5;;
4.169;-0.157485;2.5;;
4.17;-0.1574247;2.5;;
4.19;-0.1044177;2.5;;
4.191;-0.103557;2.5;;
4.213;-0.05203351;2.5;;
4.214;-0.05113789;2.5;;
4.216;-0.05039814;2.5;;
4.257;0.03135806;2.5;;
4.258;0.03175217;2.5;;
4.258;0.03181942;2.5;;
4.259;0.03185083;2.5;;
4.259;0.03185619;2.5;;
4.2676977;;;0.0196198299413342;-0.0146503679423834
4.278;0.09590116;2.5;;
4.279;0.1082519;2.5;;
4.28;0.1099185;2.5;;
4.281;0.1102578;2.5;;
4.302;0.1639557;2.5;;
4.303;0.1646106;2.5;;
4.303;0.1646106;2.5;;
4.304;0.1646106;2.5;;
4.324;0.1920949;2.5;;
4.325;0.2184656;2.5;;
4.325;0.2184656;2.5;;
4.334;0.2184656;2.5;;
4.335;0.2184656;2.5;;
4.346;0.2759346;2.5;;
4.347;0.2776405;2.5;;
4.367;0.2985153;2.5;;
4.368;0.3250117;2.5;;
4.369;0.3250117;2.5;;
4.391;0.3524481;2.5;;
4.391;0.3668242;2.5;;
4.392;0.3794001;2.5;;
4.393;0.3794001;2.5;;
4.393;0.3794001;2.5;;
4.411;0.4056457;2.5;;
4.412;0.4059297;2.5;;
4.413;0.4059949;2.5;;
4.432;0.4702219;2.5;;
4.433;0.4709264;2.5;;
4.435;0.4710523;2.5;;
4.459;0.5397877;2.5;;
4.46;0.5397877;2.5;;
4.461;0.5397877;2.5;;
4.462;0.5397877;2.5;;
4.482;0.5925554;2.5;;
4.483;0.5930169;2.5;;
4.483;0.5930454;2.5;;
4.484;0.5932325;2.5;;
4.503;0.6454321;2.5;;
4.504;0.6465629;2.5;;
4.524;0.6733769;2.5;;
4.525;0.6956592;2.5;;
4.526;0.6996382;2.5;;
4.527;0.7005008;2.5;;
4.548;0.7545312;2.5;;
4.571;0.7824796;2.5;;
4.573;0.7824796;2.5;;
4.5755414;;;0.451445835103565;0.28063264362571
4.571;0.7824796;2.5;;
4.573;0.7824796;2.5;;
4.592;0.8706201;2.5;;
4.594;0.8706201;2.5;;
4.594;0.8706201;2.5;;
4.616;0.9147796;2.5;;
4.637;0.9683035;2.5;;
4.638;0.9683035;2.5;;
4.659;1.022439;2.5;;
4.66;1.022439;2.5;;
4.682;1.0754;2.5;;
4.683;1.0754;2.5;;
4.684;1.0754;2.5;;
4.704;1.128268;2.5;;
4.706;1.128839;2.5;;
4.725;1.156268;2.5;;
4.727;1.156589;2.5;;
4.748;1.23527;2.5;;
4.756;1.236192;2.5;;
4.771;1.292545;2.5;;
4.772;1.293276;2.5;;
4.794;1.343472;2.5;;
4.795;1.34392;2.5;;
4.816;1.397044;2.5;;
4.817;1.397547;2.5;;
4.817;1.397632;2.5;;
4.818;1.397672;2.5;;
4.819;1.397678;2.5;;
4.839;1.450266;2.5;;
4.867;1.505099;2.5;;
4.868;1.505449;2.5;;
4.8878979;;;0.481253227836717;0.317439630960539
4.839;1.450266;2.5;;
4.867;1.505099;2.5;;
4.868;1.505449;2.5;;
4.889;1.559815;2.5;;
4.89;1.560292;2.5;;
4.892;1.560456;2.5;;
4.91;1.617834;2.5;;
4.911;1.618623;2.5;;
4.912;1.618623;2.5;;
4.931;1.665007;2.5;;
4.932;1.665462;2.5;;
4.932;1.665539;2.5;;
4.952;1.718566;2.5;;
4.954;1.719141;2.5;;
4.974;1.772834;2.5;;
4.996;1.825991;2.5;;
4.997;1.826471;2.5;;
4.998;1.826572;2.5;;
5.018;1.878877;2.5;;
5.04;1.906101;2.5;;
5.041;1.906351;2.5;;
5.042;1.906392;2.5;;
5.065;1.973257;2.5;;
5.086;2.055364;2.5;;
5.107;2.067318;2.5;;
5.109;2.090968;2.5;;
5.13;2.146608;2.5;;
5.1852125;;;0.458882611482954;0.463860558141079
5.264;2.468771;2.5;;
5.285;2.523377;2.5;;
5.286;2.52387;2.5;;
5.307;2.575848;2.5;;
5.374;2.736406;2.5;;
5.396;2.791088;2.5;;
5.397;2.79171;2.5;;
5.398;2.79171;2.5;;
5.399;2.79171;2.5;;
5.472;2.951407;2.5;;
5.474;2.970455;2.5;;
5.476;2.976581;2.5;;
5.478;2.978416;2.5;;
5.479;2.978586;2.5;;
5.48;2.978614;2.5;;
5.4850342;;;-0.476414509690918;0.154573776542917
5.472;2.951407;2.5;;
5.474;2.970455;2.5;;
5.476;2.976581;2.5;;
5.478;2.978416;2.5;;
5.479;2.978586;2.5;;
5.48;2.978614;2.5;;
5.498;2.999711;2.5;;
5.499;2.999954;2.5;;
5.5;2.999993;2.5;;
5.521;2.932199;2.5;;
5.542;2.892976;2.5;;
5.543;2.892605;2.5;;
5.566;2.839511;2.5;;
5.567;2.839048;2.5;;
5.568;2.83897;2.5;;
5.588;2.786306;2.5;;
5.609;2.732664;2.5;;
5.618;2.73203;2.5;;
5.619;2.732011;2.5;;
5.631;2.664857;2.5;;
5.652;2.652065;2.5;;
5.653;2.628698;2.5;;
5.674;2.596921;2.5;;
5.675;2.56455;2.5;;
5.696;2.544458;2.5;;
5.697;2.544291;2.5;;
5.718;2.490736;2.5;;
5.719;2.490231;2.5;;
5.719;2.490145;2.5;;
5.72;2.46796;2.5;;
5.74;2.437171;2.5;;
5.74;2.436916;2.5;;
5.741;2.436804;2.5;;
5.7868618;;;-0.361300205555618;-0.126277367921194
5.869;2.116233;2.5;;
5.891;2.061784;2.5;;
5.892;2.061784;2.5;;
5.913;2.00829;2.5;;
5.936;1.95449;2.5;;
5.957;1.900107;2.5;;
5.958;1.900107;2.5;;
5.979;1.874033;2.5;;
5.98;1.874033;2.5;;
6.001;1.794382;2.5;;
6.002;1.794382;2.5;;
6.023;1.740326;2.5;;
6.024;1.740326;2.5;;
6.045;1.686532;2.5;;
6.053;1.686532;2.5;;
6.067;1.630332;2.5;;
6.088;1.606793;2.5;;
6.088188;;;-0.37997251716558;-0.405895744137372
6.088;1.606793;2.5;;
6.089;1.579136;2.5;;
6.09;1.579136;2.5;;
6.091;1.579136;2.5;;
6.134;1.500384;2.5;;
6.153;1.433018;2.5;;
6.154;1.43139;2.5;;
6.174;1.393286;2.5;;
6.175;1.392597;2.5;;
6.195;1.339954;2.5;;
6.216;1.286952;2.5;;
6.217;1.28574;2.5;;
6.218;1.285293;2.5;;
6.239;1.231347;2.5;;
6.24;1.230846;2.5;;
6.241;1.230699;2.5;;
6.262;1.177293;2.5;;
6.263;1.177293;2.5;;
6.263;1.177293;2.5;;
6.264;1.177293;2.5;;
6.283;1.124375;2.5;;
6.284;1.123792;2.5;;
6.285;1.123713;2.5;;
6.304;1.057976;2.5;;
6.305;1.057279;2.5;;
6.326;1.017235;2.5;;
6.327;1.016848;2.5;;
6.348;0.9636386;2.5;;
6.349;0.9631725;2.5;;
6.35;0.9630429;2.5;;
6.369;0.9083133;2.5;;
6.37;0.9075984;2.5;;
6.371;0.9075984;2.5;;
6.3895138;;;-0.156470843893571;-0.299247855538256
6.391;0.8564944;2.5;;
6.392;0.8560057;2.5;;
6.392;0.855923;2.5;;
6.413;0.8025952;2.5;;
6.414;0.8021023;2.5;;
6.434;0.7752699;2.5;;
6.477;0.6684464;2.5;;
6.485;0.6425179;2.5;;
6.674;0.1859497;2.5;;
6.675;0.1855338;2.5;;
6.676;0.1854029;2.5;;
6.6913408;;;0.358733561194592;-0.0592365999548528
6.676;0.1854029;2.5;;
6.695;0.1324;2.5;;
6.696;0.1318332;2.5;;
6.697;0.1317422;2.5;;
6.717;0.07977795;2.5;;
6.719;0.07864121;2.5;;
6.739;0.02657241;2.5;;
6.741;0.02463654;2.5;;
6.76;-0.001417803;2.5;;
6.761;-0.001701421;2.5;;
6.782;-0.08126222;2.5;;
6.784;-0.0822186;2.5;;
6.803;-0.1089575;2.5;;
6.804;-0.1318687;2.5;;
6.869;-0.2705967;2.5;;
6.911;-0.3769009;2.5;;
6.975;-0.5375124;2.5;;
6.9931682;;;0.424326407873216;0.208863041724746
6.975;-0.5375124;2.5;;
6.997;-0.5909655;2.5;;
6.999;-0.5920349;2.5;;
7.019;-0.6451457;2.5;;
7.02;-0.6457021;2.5;;
7.021;-0.6457819;2.5;;
7.041;-0.6985292;2.5;;
7.043;-0.699097;2.5;;
7.063;-0.7520239;2.5;;
7.064;-0.7525623;2.5;;
7.065;-0.7526613;2.5;;
7.066;-0.7526771;2.5;;
7.066;-0.7526792;2.5;;
7.085;-0.8176821;2.5;;
7.086;-0.8183825;2.5;;
7.087;-0.8184916;2.5;;
7.107;-0.8590792;2.5;;
7.108;-0.8594636;2.5;;
7.128;-0.9127981;2.5;;
7.128;-0.9131598;2.5;;
7.129;-0.9134225;2.5;;
7.13;-0.9134611;2.5;;
7.15;-0.9664643;2.5;;
7.171;-0.9941984;2.5;;
7.191;-1.047208;2.5;;
7.192;-1.047723;2.5;;
7.193;-1.04783;2.5;;
7.193;-1.047848;2.5;;
7.213;-1.101063;2.5;;
7.214;-1.101598;2.5;;
7.235;-1.154877;2.5;;
7.235;-1.155526;2.5;;
7.236;-1.155526;2.5;;
7.2944943;;;0.48319955518008;0.422086508082629
7.3;-1.315547;2.5;;
7.3;-1.315547;2.5;;
7.301;-1.315547;2.5;;
7.32;-1.368678;2.5;;
7.321;-1.369258;2.5;;
7.322;-1.369342;2.5;;
7.322;-1.369357;2.5;;
7.342;-1.422321;2.5;;
7.343;-1.422841;2.5;;
7.344;-1.422989;2.5;;
7.371;-1.476678;2.5;;
7.387;-1.503578;2.5;;
