large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
3.36;-1.183473;0;;
3.379;-1.210214;0;;
3.38;-1.231452;0;;
3.38;-1.238716;0;;
3.401;-1.264074;0;;
3.402;-1.278105;0;;
3.403;-1.284866;0;;
3.404;-1.291106;0;;
3.405;-1.291106;0;;
3.423;-1.317225;0;;
3.424;-1.340869;0;;
3.425;-1.345254;0;;
3.446;-1.398998;0;;
3.447;-1.398998;0;;
3.448;-1.398998;0;;
3.448;-1.398998;0;;
3.468;-1.423917;0;;
3.469;-1.445927;0;;
3.47;-1.450449;0;;
3.47;-1.45121;0;;
3.471;-1.451531;0;;
3.491;-1.504916;0;;
3.492;-1.505454;0;;
3.493;-1.505584;0;;
3.5133382;;;0.465430378939937;0.28228119318726
3.513;-1.559943;0;;
3.514;-1.559943;0;;
3.515;-1.559943;0;;
3.521;-1.559943;0;;
3.521;-1.559943;0;;
3.535;-1.610832;0;;
3.536;-1.612136;0;;
3.538;-1.612542;0;;
3.558;-1.639039;0;;
3.559;-1.659744;0;;
3.58;-1.718756;0;;
3.581;-1.719699;0;;
3.582;-1.719936;0;;
3.583;-1.720164;0;;
3.584;-1.720164;0;;
3.603;-1.77268;0;;
3.604;-1.773439;0;;
3.605;-1.773945;0;;
3.625;-1.827978;0;;
3.627;-1.828487;0;;
3.628;-1.828574;0;;
3.629;-1.828628;0;;
3.649;-1.879953;0;;
3.65;-1.880598;0;;
3.651;-1.880598;0;;
3.651;-1.880598;0;;
3.652;-1.880598;0;;
3.671;-1.933537;0;;
3.672;-1.934017;0;;
3.693;-1.986699;0;;
3.694;-1.987619;0;;
3.695;-1.987872;0;;
3.696;-1.98795;0;;
3.697;-1.987963;0;;
3.715;-2.041096;0;;
3.716;-2.041698;0;;
3.717;-2.041832;0;;
3.74;-2.095934;0;;
3.742;-2.095934;0;;
3.743;-2.095934;0;;
3.744;-2.095934;0;;
3.745;-2.095934;0;;
3.765;-2.149101;0;;
3.766;-2.149608;0;;
3.767;-2.149734;0;;
3.788;-2.202273;0;;
3.789;-2.202805;0;;
3.79;-2.20289;0;;
3.792;-2.202904;0;;
3.794;-2.218653;0;;
3.804111;;;0.409901642932549;0.45340269318802
3.81;-2.255033;0;;
3.812;-2.258027;0;;
3.813;-2.258365;0;;
3.815;-2.278129;0;;
3.833;-2.313336;0;;
3.834;-2.314306;0;;
3.838;-2.314306;0;;
3.838;-2.330589;0;;
3.855;-2.36374;0;;
3.856;-2.364215;0;;
3.857;-2.364215;0;;
3.858;-2.364215;0;;
3.877;-2.416281;0;;
3.879;-2.417446;0;;
3.88;-2.417597;0;;
3.882;-2.435435;0;;
3.899;-2.469789;0;;
3.903;-2.470683;0;;
3.904;-2.481545;0;;
3.908;-2.505266;0;;
3.921;-2.524472;0;;
3.921;-2.524472;0;;
3.922;-2.524472;0;;
3.923;-2.524472;0;;
3.944;-2.577852;0;;
3.945;-2.578376;0;;
3.946;-2.578465;0;;
3.966;-2.630801;0;;
3.966;-2.631158;0;;
3.967;-2.63139;0;;
3.987;-2.68481;0;;
3.988;-2.685318;0;;
3.989;-2.685468;0;;
3.989;-2.685468;0;;
3.99;-2.685468;0;;
4.009;-2.738074;0;;
4.01;-2.738771;0;;
4.01;-2.738771;0;;
4.03;-2.791907;0;;
4.031;-2.792424;0;;
4.032;-2.792558;0;;
4.032;-2.792558;0;;
4.033;-2.792558;0;;
4.052;-2.845909;0;;
4.053;-2.845909;0;;
4.054;-2.845909;0;;
4.073;-2.898692;0;;
4.074;-2.899176;0;;
4.075;-2.899386;0;;
4.075;-2.899386;0;;
4.095;-2.951643;0;;
4.096;-2.952464;0;;
4.097;-2.952928;0;;
4.104911;;;0.436046501332121;0.439615236581254
4.117;-3.006618;0;;
4.118;-3.006618;0;;
4.119;-3.006618;0;;
4.119;-3.006618;0;;
4.139;-2.97366;0;;
4.14;-2.973346;0;;
4.141;-2.973267;0;;
4.141;-2.973254;0;;
4.161;-2.946023;0;;
4.162;-2.921845;0;;
4.163;-2.917972;0;;
4.164;-2.917352;0;;
4.184;-2.865124;0;;
4.185;-2.86458;0;;
4.186;-2.864496;0;;
4.187;-2.864484;0;;
4.207;-2.812286;0;;
4.208;-2.811646;0;;
4.209;-2.811646;0;;
4.229;-2.757566;0;;
4.23;-2.757566;0;;
4.251;-2.704823;0;;
4.253;-2.704282;0;;
4.274;-2.651139;0;;
4.274;-2.650493;0;;
4.3;-2.584339;0;;
4.302;-2.584339;0;;
4.317;-2.570767;0;;
4.318;-2.550229;0;;
4.319;-2.544949;0;;
4.338;-2.516521;0;;
4.338;-2.51632;0;;
4.339;-2.516171;0;;
4.34;-2.495685;0;;
4.359;-2.46322;0;;
4.359;-2.462973;0;;
4.36;-2.462831;0;;
4.361;-2.462802;0;;
