large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
0;;;0;0
0.3399316;;;0;0
0.6482769;;;0;0
0.9496027;;;0;0
1.2514302;;;0;0
1.5527571;;;0;0
1.8540824;;;0;0
2.1559091;;;0;0
2.189;2.783198;0;;
2.19;2.806961;0;;
2.208;2.836831;0;;
2.209;2.83724;0;;
2.231;2.903832;0;;
2.232;2.904595;0;;
2.252;2.943913;0;;
2.252;2.944225;0;;
2.253;2.944408;0;;
2.273;2.997267;0;;
2.274;2.997795;0;;
2.274;2.997884;0;;
2.295;2.999975;0;;
2.317;2.947405;0;;
2.34;2.89402;0;;
2.361;2.84052;0;;
2.362;2.84004;0;;
2.382;2.812985;0;;
2.383;2.812706;0;;
2.405;2.733712;0;;
2.407;2.732932;0;;
2.425;2.679755;0;;
2.427;2.679115;0;;
2.447;2.626522;0;;
2.448;2.625972;0;;
2.4572355;;;0.0145573880345053;0.00485246267816842
2.425;2.679755;0;;
2.427;2.679115;0;;
2.447;2.626522;0;;
2.448;2.625972;0;;
2.47;2.572114;0;;
2.471;2.57169;0;;
2.492;2.518759;0;;
2.494;2.518215;0;;
2.515;2.465086;0;;
2.516;2.464622;0;;
2.536;2.437746;0;;
2.537;2.437463;0;;
2.559;2.356876;0;;
2.561;2.356081;0;;
2.583;2.304394;0;;
2.583;2.304057;0;;
2.603;2.250346;0;;
2.671;2.089337;0;;
2.714;1.982269;0;;
2.7590624;;;0.470048781933888;0.161535389989464
2.803;1.794806;0;;
2.848;1.687461;0;;
2.868;1.634509;0;;
2.869;1.634028;0;;
2.889;1.580236;0;;
2.91;1.525595;0;;
2.911;1.525059;0;;
2.932;1.473067;0;;
2.934;1.47253;0;;
2.954;1.4193;0;;
2.955;1.418747;0;;
2.975;1.365394;0;;
2.976;1.364838;0;;
2.977;1.364754;0;;
2.978;1.364742;0;;
2.997;1.31176;0;;
2.998;1.311204;0;;
3.019;1.259055;0;;
3.02;1.258623;0;;
3.021;1.258538;0;;
3.022;1.258488;0;;
3.04;1.206425;0;;
3.041;1.204805;0;;
3.043;1.20428;0;;
3.043;1.204259;0;;
3.0608901;;;-0.484209069108356;0.000132366953345675
3.04;1.206425;0;;
3.041;1.204805;0;;
3.043;1.20428;0;;
3.043;1.204259;0;;
3.063;1.151096;0;;
3.072;1.150435;0;;
3.073;1.15042;0;;
3.074;1.150418;0;;
3.084;1.098248;0;;
3.085;1.097187;0;;
3.086;1.097024;0;;
3.086;1.096966;0;;
3.107;1.042974;0;;
3.107;1.042638;0;;
3.108;1.042375;0;;
3.109;1.042336;0;;
3.128;0.9904826;0;;
3.129;0.9899164;0;;
3.13;0.9898342;0;;
3.15;0.9367802;0;;
3.151;0.9361108;0;;
3.152;0.9361108;0;;
3.172;0.8987662;0;;
3.173;0.8891191;0;;
3.174;0.8814556;0;;
3.175;0.8814556;0;;
3.194;0.8559053;0;;
3.195;0.840158;0;;
3.196;0.8334211;0;;
3.197;0.8284039;0;;
3.216;0.8019457;0;;
3.217;0.801448;0;;
3.218;0.7813036;0;;
3.24;0.7477131;0;;
3.241;0.747434;0;;
3.241;0.7372385;0;;
3.242;0.7182597;0;;
3.261;0.6943527;0;;
3.262;0.6717848;0;;
3.263;0.6682994;0;;
3.264;0.6673721;0;;
3.264;0.6672251;0;;
3.282;0.641609;0;;
3.282;0.6414295;0;;
3.283;0.6412776;0;;
3.303;0.587458;0;;
3.304;0.5869001;0;;
3.305;0.5868102;0;;
3.326;0.5242571;0;;
3.327;0.5236733;0;;
3.328;0.5235569;0;;
3.329;0.5119867;0;;
3.3622157;;;0.497921444240761;0.161253719022097
3.374;0.4000705;0;;
3.375;0.3993186;0;;
3.397;0.3468873;0;;
3.418;0.3196522;0;;
3.419;0.3016662;0;;
3.44;0.2658287;0;;
3.441;0.2441493;0;;
3.462;0.2117145;0;;
3.464;0.1871915;0;;
3.489;0.123425;0;;
3.491;0.1217602;0;;
3.505;0.09739118;0;;
3.547;-0.002627447;0;;
3.548;-0.003642588;0;;
3.549;-0.003789972;0;;
3.659;-0.2714574;0;;
3.659;-0.2714574;0;;
3.6645449;;;0.436417081192707;0.150043152108371
3.659;-0.2714574;0;;
3.659;-0.2714574;0;;
3.68;-0.325562;0;;
3.7;-0.3794924;0;;
3.722;-0.4320403;0;;
3.901;-0.8606836;0;;
3.925;-0.9137278;0;;
3.927;-0.9148467;0;;
3.952;-0.9421476;0;;
3.953;-0.9423738;0;;
3.954;-0.9424163;0;;
3.956;-0.9424247;0;;
3.9678765;;;-0.37109953822644;0.187746329069009
3.968;-1.02273;0;;
3.969;-1.024888;0;;
3.97;-1.02577;0;;
3.971;-1.026021;0;;
3.991;-1.074932;0;;
3.991;-1.075555;0;;
3.992;-1.075555;0;;
3.993;-1.075555;0;;
4.012;-1.128611;0;;
4.013;-1.129142;0;;
4.014;-1.12932;0;;
4.015;-1.12932;0;;
4.034;-1.182547;0;;
4.035;-1.183089;0;;
4.035;-1.183181;0;;
4.036;-1.183256;0;;
4.057;-1.235699;0;;
4.057;-1.236075;0;;
4.058;-1.236329;0;;
4.059;-1.236329;0;;
4.079;-1.289467;0;;
4.079;-1.28989;0;;
4.08;-1.290099;0;;
4.1;-1.317558;0;;
4.101;-1.317846;0;;
4.102;-1.317894;0;;
4.103;-1.317894;0;;
4.103;-1.317894;0;;
4.124;-1.397943;0;;
4.124;-1.398117;0;;
4.125;-1.398766;0;;
4.146;-1.450292;0;;
4.146;-1.450488;0;;
4.147;-1.45084;0;;
4.148;-1.450896;0;;
4.148;-1.450918;0;;
4.167;-1.503432;0;;
4.168;-1.504311;0;;
4.169;-1.504704;0;;
4.17;-1.504766;0;;
4.19;-1.557975;0;;
4.191;-1.558839;0;;
4.213;-1.611036;0;;
4.214;-1.611944;0;;
4.216;-1.612693;0;;
4.257;-1.692271;0;;
4.258;-1.692655;0;;
4.258;-1.69272;0;;
4.259;-1.692751;0;;
4.259;-1.692756;0;;
4.2676977;;;-0.0160966974851092;0.0164069484937192
4.278;-1.744263;0;;
4.279;-1.76953;0;;
4.28;-1.77294;0;;
4.281;-1.773634;0;;
4.302;-1.826709;0;;
4.303;-1.827357;0;;
4.303;-1.827357;0;;
4.304;-1.827357;0;;
4.324;-1.853727;0;;
4.325;-1.880955;0;;
4.325;-1.880955;0;;
4.334;-1.880955;0;;
4.335;-1.880955;0;;
4.346;-1.931945;0;;
4.347;-1.933459;0;;
4.367;-1.959632;0;;
4.368;-1.98771;0;;
