small (2)Cube2Timestamp;small (2)Cube2XPos;small (2)Cube2YPos;small (2)Cube2newCorr;small (2)Cube2smoothCorr
0;;;0;0
0.3434411;;;0;0
0.6537923;;;0;0
0.9551177;;;0;0
1.2569453;;;0;0
1.5587723;;;0;0
1.8600979;;;0;0
2.133;2.185223;-1;;
2.152;2.230115;-1;;
2.1614243;;;0.5;0.166666666666667
2.173;2.274474;-1;;
2.174;2.274474;-1;;
2.198;2.319963;-1;;
2.199;2.319963;-1;;
2.218;2.364016;-1;;
2.219;2.364016;-1;;
2.22;2.364016;-1;;
2.24;2.408715;-1;;
2.241;2.409144;-1;;
2.242;2.409238;-1;;
2.261;2.430657;-1;;
2.262;2.446683;-1;;
2.263;2.452395;-1;;
2.264;2.453235;-1;;
2.284;2.475092;-1;;
2.286;2.497877;-1;;
2.287;2.497877;-1;;
2.306;2.520869;-1;;
2.307;2.521085;-1;;
2.308;2.536309;-1;;
2.309;2.540939;-1;;
2.328;2.564966;-1;;
2.328;2.565077;-1;;
2.329;2.565251;-1;;
2.33;2.587199;-1;;
2.349;2.609546;-1;;
2.359;2.631653;-1;;
2.372;2.668203;-1;;
2.373;2.668802;-1;;
2.394;2.699492;-1;;
2.396;2.699492;-1;;
2.415;2.743322;-1;;
2.416;2.743905;-1;;
2.436;2.787596;-1;;
2.458;2.83249;-1;;
2.4632514;;;0.352590024411458;0.284196674803819
2.458;2.83249;-1;;
2.481;2.87727;-1;;
2.481;2.877352;-1;;
2.482;2.877687;-1;;
2.502;2.922143;-1;;
2.525;2.967003;-1;;
2.526;2.967364;-1;;
2.546;3.012038;-1;;
2.548;3.012522;-1;;
2.569;2.978564;-1;;
2.57;2.977735;-1;;
2.59;2.933804;-1;;
2.592;2.933327;-1;;
2.612;2.888318;-1;;
2.613;2.887751;-1;;
2.634;2.843518;-1;;
2.635;2.843077;-1;;
2.656;2.800006;-1;;
2.657;2.79917;-1;;
2.677;2.754993;-1;;
2.678;2.754441;-1;;
2.699;2.710048;-1;;
2.7;2.709722;-1;;
2.722;2.66458;-1;;
2.723;2.664148;-1;;
2.744;2.621583;-1;;
2.745;2.621065;-1;;
2.746;2.62069;-1;;
2.7650786;;;-0.308900380621169;0.18122988126343
2.766;2.576374;-1;;
2.767;2.575814;-1;;
2.789;2.53127;-1;;
2.81;2.487054;-1;;
2.821;2.486578;-1;;
2.832;2.438831;-1;;
2.834;2.435931;-1;;
2.855;2.391595;-1;;
2.856;2.391068;-1;;
2.876;2.375037;-1;;
2.878;2.355745;-1;;
2.898;2.330289;-1;;
2.9;2.310529;-1;;
2.92;2.285561;-1;;
2.921;2.285323;-1;;
2.941;2.240362;-1;;
2.942;2.240362;-1;;
2.962;2.196986;-1;;
2.983;2.15225;-1;;
2.984;2.151805;-1;;
2.985;2.151743;-1;;
2.986;2.151727;-1;;
3.006;2.107223;-1;;
3.026;2.062973;-1;;
3.027;2.06242;-1;;
3.048;2.017052;-1;;
3.049;2.016661;-1;;
3.0664045;;;0.47805949175906;0.17391637851645
3.049;2.016661;-1;;
3.069;1.973174;-1;;
3.07;1.972718;-1;;
3.09;1.928438;-1;;
3.091;1.92789;-1;;
3.111;1.883603;-1;;
3.113;1.883122;-1;;
3.133;1.861377;-1;;
3.134;1.842097;-1;;
3.155;1.816483;-1;;
3.177;1.771731;-1;;
3.178;1.752506;-1;;
3.199;1.726692;-1;;
3.2;1.726692;-1;;
3.22;1.681497;-1;;
3.221;1.681497;-1;;
3.241;1.637244;-1;;
3.262;1.593104;-1;;
3.263;1.59272;-1;;
3.283;1.548721;-1;;
3.292;1.52611;-1;;
3.304;1.500223;-1;;
3.306;1.49976;-1;;
3.326;1.458767;-1;;
3.327;1.458365;-1;;
3.347;1.414146;-1;;
3.348;1.413719;-1;;
3.3687337;;;0.491614499951972;0.220257870363288
3.369;1.369424;-1;;
3.37;1.368982;-1;;
3.391;1.324859;-1;;
3.392;1.324424;-1;;
3.414;1.280317;-1;;
3.415;1.279955;-1;;
3.436;1.235443;-1;;
3.437;1.234999;-1;;
3.457;1.212589;-1;;
3.459;1.189649;-1;;
3.479;1.167868;-1;;
3.481;1.147954;-1;;
3.502;1.123506;-1;;
3.504;1.101202;-1;;
3.523;1.078797;-1;;
3.545;1.033633;-1;;
3.545;1.033633;-1;;
3.546;1.033633;-1;;
3.587;0.9449502;-1;;
3.587;0.9444024;-1;;
3.608;0.9005528;-1;;
3.609;0.8996902;-1;;
3.63;0.8554082;-1;;
3.631;0.8549746;-1;;
3.652;0.8108174;-1;;
3.652;0.8105457;-1;;
3.6700593;;;0.467129521177662;0.478934504296231
3.673;0.7658793;-1;;
3.675;0.7653412;-1;;
3.695;0.7208662;-1;;
3.695;0.7208662;-1;;
3.715;0.6762462;-1;;
3.717;0.6757611;-1;;
3.738;0.6321601;-1;;
3.748;0.6316779;-1;;
3.76;0.5862634;-1;;
3.761;0.5853192;-1;;
3.782;0.5429583;-1;;
3.784;0.5420771;-1;;
3.804;0.4991902;-1;;
3.827;0.453077;-1;;
3.828;0.4525796;-1;;
3.829;0.4525796;-1;;
3.849;0.4084629;-1;;
3.85;0.4084629;-1;;
3.851;0.4084629;-1;;
3.851;0.4084629;-1;;
3.871;0.3636601;-1;;
3.872;0.3631938;-1;;
3.873;0.3631273;-1;;
3.874;0.363108;-1;;
3.875;0.363108;-1;;
3.893;0.3417773;-1;;
3.894;0.3286245;-1;;
3.894;0.3261041;-1;;
3.895;0.3188134;-1;;
3.916;0.2961076;-1;;
3.917;0.2781989;-1;;
3.937;0.2514558;-1;;
3.938;0.2512214;-1;;
3.939;0.2361196;-1;;
3.939;0.2350302;-1;;
3.959;0.2072858;-1;;
3.96;0.1906503;-1;;
3.961;0.1861535;-1;;
3.962;0.1847986;-1;;
3.9718865;;;0.453868538512998;0.470870853214211
3.959;0.2072858;-1;;
