Gameobject;Timestamp;rx;ry;w;corrWindow;corrFreq;corrMethod;eye
small (2)Cube2;6.4727497;0.995186246239712;0;300;900;0.3;Pearson;BothEyes
smallCube3;6.4727497;0.995186227080743;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;6.7740488;0.996619642649814;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;6.7740488;0.996619634107364;0;300;900;0.3;Pearson;BothEyes
smallCube3;6.7740488;0.0387168022567438;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;7.0758492;0.986031312190025;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;7.0758492;0.986031402319851;0;300;900;0.3;Pearson;BothEyes
smallCube3;7.0758492;-0.986031386974309;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;7.3781506;0.990867864067465;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;7.3781506;0.990868095722196;0;300;900;0.3;Pearson;BothEyes
smallCube3;7.3781506;-0.990868088002074;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;7.6794494;0.99662666097229;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;7.6794494;0.996626653266831;0;300;900;0.3;Pearson;BothEyes
smallCube3;7.6794494;-0.996626662896953;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;7.9812503;0.995969844497684;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;7.9812503;0.995969843051823;0;300;900;0.3;Pearson;BothEyes
smallCube3;7.9812503;-0.995969847395534;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;8.2830502;0.864611494507458;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;8.2830502;0.987544392416162;0;300;900;0.3;Pearson;BothEyes
smallCube3;8.2830502;-0.987544457073553;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;8.5778313;-0.986087765606415;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;8.5778313;0.986087765606415;0;300;900;0.3;Pearson;BothEyes
smallCube3;8.5778313;-0.986087751072642;0;300;900;0.3;Pearson;BothEyes
small (1)Cube1;8.8751197;0.54938350064341;0;300;900;0.3;Pearson;BothEyes
small (2)Cube2;8.8751197;0.553197911580156;0;300;900;0.3;Pearson;BothEyes
