smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
3.7580515;;;-0.469603380180204;-0.0319582434358836
3.767;-2.687173;1;;
3.767;-2.686999;1;;
3.768;-2.686887;1;;
3.769;-2.68687;1;;
3.788;-2.642268;1;;
3.789;-2.641819;1;;
3.79;-2.641691;1;;
3.81;-2.597652;1;;
3.81;-2.597652;1;;
3.811;-2.597652;1;;
3.812;-2.597652;1;;
3.831;-2.553509;1;;
3.832;-2.553056;1;;
3.832;-2.55298;1;;
3.834;-2.552942;1;;
3.854;-2.507891;1;;
3.854;-2.507891;1;;
3.855;-2.507891;1;;
3.856;-2.507891;1;;
3.88;-2.464106;1;;
3.881;-2.463734;1;;
3.882;-2.463666;1;;
3.897;-2.405526;1;;
3.898;-2.404802;1;;
3.898;-2.404692;1;;
3.899;-2.404575;1;;
3.919;-2.374639;1;;
3.919;-2.374457;1;;
3.92;-2.374292;1;;
3.941;-2.330399;1;;
3.942;-2.330006;1;;
3.943;-2.329882;1;;
3.944;-2.329882;1;;
3.944;-2.329882;1;;
3.964;-2.285279;1;;
3.965;-2.284715;1;;
3.966;-2.284715;1;;
3.986;-2.240504;1;;
3.986;-2.24016;1;;
3.987;-2.23998;1;;
3.988;-2.239955;1;;
4.011;-2.196051;1;;
4.011;-2.195738;1;;
4.012;-2.195606;1;;
4.032;-2.150843;1;;
4.033;-2.150463;1;;
4.033;-2.150283;1;;
4.034;-2.150283;1;;
4.035;-2.150283;1;;
4.054;-2.097159;1;;
4.054;-2.096443;1;;
4.055;-2.096443;1;;
4.055;-2.096443;1;;
4.0598524;;;-0.490163470033449;-0.074641110857489
4.054;-2.097159;1;;
4.054;-2.096443;1;;
4.055;-2.096443;1;;
4.055;-2.096443;1;;
4.075;-2.061584;1;;
4.076;-2.061584;1;;
4.076;-2.061584;1;;
4.077;-2.061584;1;;
4.096;-2.01674;1;;
4.097;-2.01674;1;;
4.098;-2.01674;1;;
4.118;-1.972775;1;;
4.119;-1.972355;1;;
4.119;-1.972285;1;;
4.12;-1.972234;1;;
4.14;-1.926501;1;;
4.14;-1.926179;1;;
4.142;-1.925923;1;;
4.142;-1.925923;1;;
4.161;-1.883464;1;;
4.162;-1.883037;1;;
4.163;-1.882914;1;;
4.164;-1.882914;1;;
4.183;-1.838692;1;;
4.19;-1.838126;1;;
4.191;-1.83811;1;;
4.205;-1.815219;1;;
4.206;-1.814891;1;;
4.206;-1.814837;1;;
4.207;-1.814814;1;;
4.227;-1.761674;1;;
4.228;-1.75309;1;;
4.229;-1.750388;1;;
4.229;-1.750181;1;;
4.25;-1.725946;1;;
4.25;-1.71914;1;;
4.251;-1.707848;1;;
4.252;-1.704552;1;;
4.252;-1.704135;1;;
4.273;-1.659514;1;;
4.274;-1.659079;1;;
4.275;-1.659003;1;;
4.276;-1.658991;1;;
4.295;-1.615152;1;;
4.296;-1.614727;1;;
4.297;-1.614618;1;;
4.317;-1.570471;1;;
4.318;-1.569926;1;;
4.319;-1.569926;1;;
4.319;-1.569926;1;;
4.32;-1.569926;1;;
4.339;-1.525617;1;;
4.34;-1.525162;1;;
4.341;-1.525057;1;;
4.3611512;;;-0.495745164499987;-0.239690192626344
4.361;-1.470729;1;;
4.362;-1.470696;1;;
4.363;-1.470667;1;;
4.364;-1.470179;1;;
4.365;-1.470074;1;;
4.384;-1.436178;1;;
4.385;-1.435832;1;;
4.386;-1.43576;1;;
4.386;-1.435748;1;;
4.407;-1.391601;1;;
4.408;-1.391601;1;;
4.408;-1.391601;1;;
4.43;-1.347198;1;;
4.43;-1.347069;1;;
4.431;-1.346798;1;;
4.432;-1.346716;1;;
4.451;-1.302546;1;;
4.452;-1.301968;1;;
4.453;-1.301968;1;;
4.473;-1.256734;1;;
4.474;-1.256734;1;;
4.475;-1.256734;1;;
4.475;-1.256734;1;;
4.476;-1.256734;1;;
4.503;-1.213351;1;;
4.504;-1.213044;1;;
4.505;-1.212945;1;;
4.506;-1.212945;1;;
4.518;-1.155994;1;;
4.519;-1.155069;1;;
4.52;-1.154852;1;;
4.54;-1.145537;1;;
4.541;-1.123412;1;;
4.542;-1.123412;1;;
4.542;-1.123412;1;;
4.563;-1.078807;1;;
4.563;-1.078807;1;;
4.584;-1.056396;1;;
4.585;-1.03824;1;;
4.586;-1.034585;1;;
4.606;-1.011291;1;;
4.607;-1.011055;1;;
4.608;-1.011017;1;;
4.627;-0.9652842;1;;
4.628;-0.9646842;1;;
4.629;-0.9646842;1;;
4.629;-0.9646842;1;;
4.648;-0.9206198;1;;
4.649;-0.9194816;1;;
4.65;-0.9194816;1;;
4.65;-0.9194816;1;;
4.6689668;;;0.277994846997766;-0.294379291928969
4.67;-0.8753021;1;;
4.671;-0.8753021;1;;
4.672;-0.8753021;1;;
4.672;-0.8753021;1;;
4.692;-0.8230667;1;;
4.693;-0.8224047;1;;
4.693;-0.8224047;1;;
4.694;-0.8224047;1;;
4.714;-0.7864901;1;;
4.714;-0.7864901;1;;
4.714;-0.7864901;1;;
4.734;-0.7422251;1;;
4.735;-0.7418004;1;;
4.736;-0.741681;1;;
4.737;-0.741681;1;;
4.756;-0.6974553;1;;
4.757;-0.6970044;1;;
4.758;-0.6969104;1;;
4.758;-0.6968945;1;;
4.778;-0.6527818;1;;
4.779;-0.6523389;1;;
4.78;-0.6522651;1;;
4.78;-0.6522635;1;;
4.8;-0.608008;1;;
4.8;-0.6078917;1;;
4.801;-0.6075264;1;;
4.822;-0.5851916;1;;
4.823;-0.584998;1;;
4.823;-0.584972;1;;
4.824;-0.5849296;1;;
4.825;-0.584923;1;;
4.844;-0.5180537;1;;
4.845;-0.5174143;1;;
4.846;-0.5172424;1;;
4.847;-0.5171964;1;;
4.868;-0.4733034;1;;
4.869;-0.4728723;1;;
4.87;-0.4727859;1;;
4.871;-0.4727859;1;;
4.89;-0.4290636;1;;
4.891;-0.4286304;1;;
4.892;-0.4285273;1;;
4.892;-0.4285096;1;;
4.912;-0.3840163;1;;
4.913;-0.383581;1;;
4.914;-0.3834548;1;;
4.915;-0.3834548;1;;
4.935;-0.3391851;1;;
4.935;-0.3388351;1;;
4.936;-0.3386283;1;;
4.937;-0.3386283;1;;
4.956;-0.294736;1;;
4.957;-0.2942861;1;;
4.958;-0.2941945;1;;
4.958;-0.2941792;1;;
4.965754;;;-0.478758000194485;-0.296667946932539
4.956;-0.294736;1;;
4.957;-0.2942861;1;;
4.958;-0.2941945;1;;
4.958;-0.2941792;1;;
4.98;-0.2720427;1;;
4.98;-0.2718551;1;;
4.982;-0.2523111;1;;
4.982;-0.2518089;1;;
5.001;-0.2058278;1;;
5.002;-0.2054023;1;;
5.003;-0.2052767;1;;
5.003;-0.2052614;1;;
5.023;-0.1599314;1;;
5.023;-0.1599314;1;;
5.024;-0.1599314;1;;
5.044;-0.1162178;1;;
5.045;-0.1162178;1;;
5.046;-0.1162178;1;;
5.046;-0.1162178;1;;
5.047;-0.1162178;1;;
5.066;-0.07168213;1;;
5.067;-0.07123335;1;;
5.067;-0.07115741;1;;
5.089;-0.02673985;1;;
5.09;-0.02624081;1;;
5.091;-0.02624081;1;;
5.091;-0.02624081;1;;
5.092;-0.02624081;1;;
5.111;0.01742505;1;;
5.111;0.01777809;1;;
5.112;0.01797014;1;;
5.133;0.04029014;1;;
5.134;0.04055107;1;;
5.135;0.04055107;1;;
5.135;0.04055107;1;;
5.155;0.09817065;1;;
5.157;0.1076358;1;;
5.157;0.1077053;1;;
5.158;0.1089098;1;;
5.18;0.1518564;1;;
5.181;0.1522038;1;;
5.182;0.1523096;1;;
5.182;0.1523554;1;;
5.204;0.1983219;1;;
5.205;0.1983219;1;;
5.206;0.1983219;1;;
5.206;0.1983219;1;;
5.207;0.1983219;1;;
5.227;0.2410871;1;;
5.228;0.2414779;1;;
5.229;0.2415812;1;;
5.229;0.2415977;1;;
5.23;0.2416181;1;;
5.249;0.2861773;1;;
5.25;0.2861773;1;;
5.2670526;;;-0.490014851292747;-0.296630792247363
5.273;0.3316824;1;;
5.273;0.3316824;1;;
5.274;0.3316824;1;;
5.294;0.353218;1;;
5.294;0.3666304;1;;
5.295;0.3735949;1;;
5.296;0.3755886;1;;
5.297;0.3755886;1;;
5.316;0.4191869;1;;
5.316;0.4195528;1;;
5.317;0.4197327;1;;
5.318;0.4197575;1;;
5.338;0.4635584;1;;
5.339;0.464482;1;;
5.34;0.4655494;1;;
5.341;0.4656922;1;;
5.36;0.5091338;1;;
5.36;0.5092303;1;;
5.361;0.5097211;1;;
5.381;0.5542048;1;;
5.382;0.5542048;1;;
5.382;0.5542048;1;;
5.383;0.5542048;1;;
5.384;0.5542048;1;;
5.403;0.5990459;1;;
5.404;0.5994837;1;;
5.405;0.599604;1;;
5.424;0.6430677;1;;
5.425;0.6435381;1;;
5.426;0.6436097;1;;
5.434;0.6436337;1;;
5.435;0.6436343;1;;
5.446;0.6655937;1;;
5.447;0.6660019;1;;
5.448;0.6660687;1;;
5.468;0.731874;1;;
5.47;0.7326846;1;;
5.47;0.7326846;1;;
5.471;0.7326846;1;;
5.49;0.7767161;1;;
5.491;0.7771983;1;;
5.492;0.7772659;1;;
5.493;0.7772847;1;;
5.511;0.8001188;1;;
5.512;0.8001188;1;;
5.513;0.817645;1;;
5.513;0.8206198;1;;
5.533;0.8446397;1;;
5.533;0.8449484;1;;
5.535;0.8449484;1;;
5.535;0.8460882;1;;
5.554;0.8890445;1;;
5.555;0.8896099;1;;
5.556;0.8896099;1;;
5.5683517;;;-0.489221244858146;-0.294999812336903
5.575;0.933318;1;;
5.576;0.9337263;1;;
5.576;0.9338912;1;;
5.577;0.9338912;1;;
5.577;0.9338912;1;;
5.596;0.9786609;1;;
5.597;0.9786609;1;;
5.598;0.9786609;1;;
5.618;1.032823;1;;
5.619;1.033336;1;;
5.619;1.033421;1;;
5.62;1.033488;1;;
5.639;1.067567;1;;
5.64;1.067938;1;;
5.641;1.067992;1;;
5.661;1.112999;1;;
5.662;1.113568;1;;
5.662;1.113568;1;;
5.663;1.113568;1;;
5.663;1.113568;1;;
5.682;1.156832;1;;
5.683;1.157269;1;;
5.684;1.157391;1;;
5.704;1.201789;1;;
5.704;1.201789;1;;
5.705;1.201789;1;;
5.706;1.201789;1;;
5.726;1.246744;1;;
5.727;1.246744;1;;
5.727;1.246744;1;;
5.728;1.246744;1;;
5.769;1.313741;1;;
5.77;1.327974;1;;
5.771;1.33812;1;;
5.772;1.344812;1;;
5.773;1.344812;1;;
5.774;1.344812;1;;
5.774;1.344812;1;;
