horizontalCube2Timestamp;horizontalCube2XPos;horizontalCube2YPos;horizontalCube2newCorr;horizontalCube2smoothCorr
0;;;0;0
0.369487;;;0;0
0.6748027;;;0;0
0.9761074;;;0;0
1.2779131;;;0;0
1.5797191;;;0;0
1.8815253;;;0;0
2.1833315;;;0;0
2.185;3;2.552971;;
2.206;3;2.517258;;
2.208;3;2.516532;;
2.209;3;2.516465;;
2.237;3;2.482393;;
2.239;3;2.481668;;
2.251;3;2.463204;;
2.252;3;2.462907;;
2.273;3;2.412752;;
2.274;3;2.410696;;
2.295;3;2.374636;;
2.295;3;2.374375;;
2.314;3;2.35667;;
2.316;3;2.356468;;
2.317;3;2.344105;;
2.318;3;2.340436;;
2.337;3;2.320613;;
2.339;3;2.308342;;
2.341;3;2.303476;;
2.36;3;2.284331;;
2.361;3;2.284153;;
2.362;3;2.284098;;
2.363;3;2.272425;;
2.382;3;2.24889;;
2.384;3;2.237899;;
2.408;3;2.213959;;
2.41;3;2.213077;;
2.43;3;2.159975;;
2.431;3;2.15909;;
2.431;3;2.158869;;
2.433;3;2.158672;;
2.433;3;2.158658;;
2.434;3;2.158644;;
2.453;3;2.123615;;
2.453;3;2.123615;;
2.454;3;2.123615;;
2.474;3;2.088652;;
2.475;3;2.088319;;
2.476;3;2.088244;;
2.477;3;2.088227;;
2.477;3;2.088224;;
2.4846362;;;-0.117081309419532;-0.0390271031398439
2.474;3;2.088652;;
2.475;3;2.088319;;
2.476;3;2.088244;;
2.477;3;2.088227;;
2.477;3;2.088224;;
2.498;3;2.052814;;
2.499;3;2.05248;;
2.5;3;2.052404;;
2.52;3;2.01372;;
2.523;3;2.013373;;
2.524;3;2.013319;;
2.545;3;1.982177;;
2.546;3;1.981528;;
2.547;3;1.981332;;
2.567;3;1.963654;;
2.578;3;1.946038;;
2.579;3;1.94552;;
2.581;3;1.945288;;
2.591;3;1.898248;;
2.592;3;1.896516;;
2.594;3;1.895954;;
2.594;3;1.895919;;
2.614;3;1.873742;;
2.615;3;1.873513;;
2.616;3;1.873479;;
2.617;3;1.87347;;
2.619;3;1.858113;;
2.636;3;1.838038;;
2.638;3;1.837783;;
2.639;3;1.837764;;
2.658;3;1.802698;;
2.659;3;1.801968;;
2.659;3;1.801842;;
2.66;3;1.801767;;
2.661;3;1.801755;;
2.68;3;1.767682;;
2.681;3;1.767175;;
2.682;3;1.76679;;
2.703;3;1.730412;;
2.703;3;1.730412;;
2.704;3;1.730412;;
2.724;3;1.712179;;
2.725;3;1.712179;;
2.726;3;1.698091;;
2.727;3;1.695338;;
2.728;3;1.694884;;
2.746;3;1.659251;;
2.747;3;1.658757;;
2.748;3;1.658757;;
2.748;3;1.658757;;
2.768;3;1.623029;;
2.769;3;1.623029;;
2.769;3;1.623029;;
2.77;3;1.623029;;
2.7864422;;;-0.402017350296866;-0.173032886572133
2.791;3;1.588273;;
2.792;3;1.587852;;
2.792;3;1.587852;;
2.793;3;1.587852;;
2.814;3;1.552152;;
2.814;3;1.552152;;
2.814;3;1.552152;;
2.815;3;1.552152;;
2.834;3;1.516156;;
2.835;3;1.516156;;
2.836;3;1.516156;;
2.858;3;1.479668;;
2.859;3;1.479196;;
2.86;3;1.478905;;
2.86;3;1.478855;;
2.88;3;1.462339;;
2.888;3;1.462137;;
2.889;3;1.446738;;
2.89;3;1.444648;;
2.891;3;1.444218;;
2.903;3;1.397784;;
2.904;3;1.397107;;
2.904;3;1.397099;;
2.905;3;1.396837;;
2.925;3;1.373367;;
2.926;3;1.373074;;
2.927;3;1.373074;;
2.927;3;1.373074;;
2.947;3;1.33665;;
2.948;3;1.336279;;
2.949;3;1.33622;;
2.95;3;1.336196;;
2.969;3;1.301824;;
2.97;3;1.301824;;
2.971;3;1.301824;;
2.971;3;1.301824;;
2.991;3;1.264955;;
2.992;3;1.264955;;
2.992;3;1.264955;;
2.993;3;1.264955;;
3.012;3;1.230834;;
3.013;3;1.230391;;
3.015;3;1.230391;;
3.015;3;1.230391;;
3.036;3;1.210992;;
3.036;3;1.210855;;
3.037;3;1.196694;;
3.038;3;1.194091;;
3.057;3;1.158924;;
3.058;3;1.158924;;
3.058;3;1.158924;;
3.059;3;1.158924;;
3.079;3;1.122939;;
