Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject
16.6890829;1;0;45;0;;
16.6890829;2;0;45;0;;
16.6890829;3;0;45;0;;
16.6890829;4;0;45;0;;
16.6890829;5;0;45;0;;
16.9771138;1;-0.05147744;45;3;;-0.986187249502536
16.9771138;2;-0.3080724;45;3;;0.00154406025760973
16.9771138;3;0.02963748;45;3;;1
16.9771138;4;0.3186852;45;3;;0.0012212465026219
16.9771138;5;-0.04223223;45;3;;-0.996863847900937
17.2790962;1;-0.113108;45;3;;-0.998714009234302
17.2790962;2;-0.3329312;45;3;;0.0012293724552972
17.2790962;3;0.09764859;45;3;;1
17.2790962;4;0.3487564;45;3;;0.00299883398771694
17.2790962;5;-0.01593242;45;3;;-0.184249019974674
17.5810638;1;0.1390271;45;3;;-0.999709140833595
17.5810638;2;-0.2468604;45;3;;0.000485767265082426
17.5810638;3;-0.1496097;45;3;;1
17.5810638;4;0.2552769;45;3;;0.00541323887331047
17.5810638;5;-0.01546581;45;3;;-0.00327372633602602
17.8826132;1;0.08081351;45;3;;-0.991935707620715
17.8826132;2;-0.1851221;45;3;;0.01112379598205
17.8826132;3;-0.09861446;45;3;;1
17.8826132;4;0.3065928;45;3;;0.985033865485478
17.8826132;5;-0.07281076;45;3;;-0.0162616798550046
18.1841007;1;-0.06457273;45;3;;-0.03053450916249
18.1841007;2;-0.03922827;45;3;;0.974370885703926
18.1841007;3;-0.1322369;45;3;;1
18.1841007;4;0.3245705;45;3;;0.0241917254051789
18.1841007;5;-0.04911674;45;3;;-0.980787636183322
18.485147;1;-0.2149408;45;3;;-0.0079493804777469
18.485147;2;-0.02370839;45;3;;0.801307365960349
18.485147;3;-0.1926484;45;3;;1
18.485147;4;0.437025;45;3;;0.00275287379909894
18.485147;5;-0.0582701;45;3;;-0.998403589793057
18.7871001;1;-0.4387989;45;3;;-0.0445027236362088
18.7871001;2;-0.02654632;45;3;;0.00284785211091593
18.7871001;3;0.0301978;45;3;;1
18.7871001;4;0.4433154;45;3;;0.000933573558814682
18.7871001;5;-0.05475361;45;3;;-0.999178227025344
19.0886407;1;-0.3878121;45;3;;-0.996442294165671
19.0886407;2;-0.1645599;45;3;;0.00123946557632909
19.0886407;3;-0.01814996;45;3;;1
19.0886407;4;0.4721247;45;3;;0.00148271105545317
19.0886407;5;-0.007357656;45;3;;-0.989076878286037
19.3900923;1;-0.432275;45;3;;-0.999013858488341
19.3900923;2;-0.1618733;45;3;;0.00137772843077416
19.3900923;3;0.2125727;45;3;;1
19.3900923;4;0.3060754;45;3;;0.00627106764358554
19.3900923;5;-0.0006813809;45;3;;-0.0221409513661462
19.680587;1;-0.2243242;45;3;;-0.997956616506212
19.680587;2;-0.3117004;45;3;;0.00350820058484203
19.680587;3;0.214292;45;3;;1
19.680587;4;0.1180862;45;3;;0.828398394366876
19.680587;5;0.2310454;45;3;;-0.00996718851195089
19.9822003;1;-0.1598914;45;3;;-0.963318794994672
19.9822003;2;-0.1571228;45;3;;0.044633180827757
19.9822003;3;0.1685202;45;3;;1
19.9822003;4;0.06118535;45;3;;0.954512858651864
19.9822003;5;0.0701832;45;3;;-0.053802025429197
20.2835848;1;-0.3212126;45;3;;-0.00870211729883746
20.2835848;2;-0.1106368;45;3;;0.986072985715333
20.2835848;3;0.120012;45;3;;1
20.2835848;4;0.1490699;45;3;;0.00473639223051592
20.2835848;5;0.1209722;45;3;;-0.996913203832915
20.585694;1;-0.1098915;45;3;;-0.0138003901715949
20.585694;2;-0.1080449;45;3;;0.0208679898472603
20.585694;3;-0.3056737;45;3;;1
20.585694;4;0.1454463;45;3;;0.00202778608034226
20.585694;5;0.3226496;45;3;;-0.998781616059844
20.8872525;1;0.069796;45;3;;-0.952517435121442
20.8872525;2;0.166314;45;3;;0.00165293886982987
20.8872525;3;-0.4955565;45;3;;1
20.8872525;4;0.07490418;45;3;;0.00102415143946966
20.8872525;5;0.2799641;45;3;;-0.998260352581135
21.1890393;1;0.01445227;45;3;;-0.99767221668381
21.1890393;2;0.2350398;45;3;;0.0012832831191249
21.1890393;3;-0.4541441;45;3;;1
21.1890393;4;-0.09265628;45;3;;0.00197994685023983
21.1890393;5;0.4247071;45;3;;-0.957497816464277
21.4901185;1;0.1918518;45;3;;-0.998256442087812
21.4901185;2;0.4720302;45;3;;0.00114929289091364
21.4901185;3;-0.4170309;45;3;;1
21.4901185;4;-0.4686742;45;3;;0.00200797024020016
21.4901185;5;0.3839797;45;3;;-0.904287456517366
21.7915713;1;0.2049701;45;3;;-0.998256442087812
21.7915713;2;0.6820952;45;3;2;0.00114929289091364
21.7915713;3;-0.2120117;45;3;2;1
21.7915713;4;-0.6843299;45;3;2;0.00200797024020016
21.7915713;5;0.1731608;45;3;2;-0.904287456517366
