Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject
43.7336882;1;0;45;0;;
43.7336882;2;0;45;0;;
43.7336882;3;0;45;0;;
43.7336882;4;0;45;0;;
43.7336882;5;0;45;0;;
44.0299822;1;-0.06339104;45;2;;0.0136595453568283
44.0299822;2;-0.3710059;45;2;;1
44.0299822;3;0.05615233;45;2;;0.00134223868046973
44.0299822;4;0.3735585;45;2;;-0.999191037504019
44.0299822;5;-0.0578918;45;2;;-0.00935154471843413
44.3237693;1;-0.03280666;45;2;;0.00240568287333814
44.3237693;2;0.008401388;45;2;;1
44.3237693;3;0.03644117;45;2;;0.00130002643768601
44.3237693;4;-0.008698596;45;2;;-0.998172475770585
44.3237693;5;-0.3179571;45;2;;-0.831606469081705
44.6140469;1;-0.02522793;45;2;;0.00138605346063053
44.6140469;2;0.2536548;45;2;;1
44.6140469;3;0.02946715;45;2;;0.00210250954438457
44.6140469;4;-0.2446524;45;2;;-0.959093206128807
44.6140469;5;-0.4859995;45;2;;-0.997420640576384
44.9038233;1;-0.02483786;45;2;;0.00150524817940934
44.9038233;2;0.5018216;45;2;;1
44.9038233;3;0.0299079;45;2;;0.0111164330793539
44.9038233;4;-0.2477316;45;2;;-0.0132396477193719
44.9038233;5;-0.7333378;45;2;;-0.999052382425112
45.1946022;1;0.006526701;45;2;;0.00467217999661201
45.1946022;2;0.9331529;45;2;2;1
45.1946022;3;0.2441985;45;2;2;0.965571105470458
45.1946022;4;-0.4345841;45;2;2;-0.0102079016576401
45.1946022;5;-0.951992;45;2;2;-0.997127882149774
