smallCube3Timestamp;smallCube3XPos;smallCube3YPos;smallCube3newCorr;smallCube3smoothCorr
0;;;0;0
0.38853;;;0;0
0.6963468;;;0;0
0.9978184;;;0;0
1.2991162;;;0;0
1.6009171;;;0;0
1.9177567;;;0;0
2.155;1.77572;1;;
2.156;1.77572;1;;
2.174;1.820265;1;;
2.196;1.864633;1;;
2.197;1.865008;1;;
2.221;1.909198;1;;
2.2305862;;;0.274577924815849;0.0915259749386164
2.232;1.928448;1;;
2.242;1.956405;1;;
2.245;1.962285;1;;
2.266;1.999251;1;;
2.267;1.9996;1;;
2.287;2.054245;1;;
2.288;2.054831;1;;
2.309;2.088285;1;;
2.31;2.088606;1;;
2.311;2.088669;1;;
2.331;2.133012;1;;
2.332;2.133413;1;;
2.352;2.177248;1;;
2.353;2.177696;1;;
2.374;2.222637;1;;
2.375;2.222637;1;;
2.394;2.266875;1;;
2.396;2.26745;1;;
2.417;2.28924;1;;
2.418;2.30864;1;;
2.44;2.367639;1;;
2.441;2.368155;1;;
2.463;2.405302;1;;
2.483;2.445565;1;;
2.485;2.446451;1;;
2.505;2.468493;1;;
2.506;2.490883;1;;
2.528;2.534521;1;;
2.53;2.535397;1;;
2.538904;;;0.0548278461642641;0.109801923660038
2.528;2.534521;1;;
2.53;2.535397;1;;
2.55;2.55825;1;;
2.551;2.576295;1;;
2.573;2.62325;1;;
2.575;2.624875;1;;
2.596;2.648688;1;;
2.598;2.648934;1;;
2.618;2.70338;1;;
2.62;2.714546;1;;
2.64;2.758572;1;;
2.642;2.759112;1;;
2.663;2.80378;1;;
2.664;2.80378;1;;
2.685;2.847537;1;;
2.687;2.848592;1;;
2.708;2.892807;1;;
2.729;2.937222;1;;
2.731;2.938155;1;;
2.752;2.992202;1;;
2.753;2.992744;1;;
2.774;2.999913;1;;
2.775;2.999979;1;;
2.776;2.999995;1;;
2.776;2.999998;1;;
2.798;2.956155;1;;
2.798;2.955683;1;;
2.8;2.95477;1;;
2.801;2.954665;1;;
2.821;2.909906;1;;
2.822;2.909465;1;;
2.823;2.909369;1;;
2.823;2.909352;1;;
2.8407041;;;-0.298232226323593;0.0103911815521736
2.843;2.866586;1;;
2.844;2.866049;1;;
2.845;2.866049;1;;
2.845;2.866049;1;;
2.865;2.820087;1;;
2.866;2.820087;1;;
2.866;2.820087;1;;
2.887;2.799443;1;;
2.887;2.799384;1;;
2.888;2.799191;1;;
2.889;2.799191;1;;
2.889;2.799191;1;;
2.908;2.799191;1;;
2.909;2.799191;1;;
2.909;2.799191;1;;
2.91;2.799191;1;;
2.93;2.776798;1;;
2.931;2.776798;1;;
2.932;2.776798;1;;
2.956;2.659206;1;;
2.956;2.65801;1;;
2.96;2.643079;1;;
2.961;2.643079;1;;
2.961;2.643079;1;;
2.995;2.598756;1;;
2.996;2.598756;1;;
2.997;2.598756;1;;
2.997;2.598756;1;;
3.017;2.553697;1;;
3.017;2.553697;1;;
3.019;2.553697;1;;
3.019;2.553697;1;;
3.038;2.48724;1;;
3.038;2.486664;1;;
3.039;2.486424;1;;
3.04;2.486375;1;;
3.059;2.442553;1;;
3.06;2.44216;1;;
3.06;2.442137;1;;
3.061;2.441976;1;;
3.08;2.39696;1;;
3.081;2.39696;1;;
3.081;2.39696;1;;
3.082;2.39696;1;;
3.102;2.342975;1;;
3.103;2.342975;1;;
3.103;2.342975;1;;
3.104;2.342975;1;;
3.124;2.307768;1;;
3.125;2.307445;1;;
3.125;2.307393;1;;
3.1425042;;;0.49579582518897;0.0841304816765473
3.038;2.48724;1;;
3.038;2.486664;1;;
3.039;2.486424;1;;
3.04;2.486375;1;;
3.059;2.442553;1;;
3.06;2.44216;1;;
3.06;2.442137;1;;
3.061;2.441976;1;;
3.08;2.39696;1;;
3.081;2.39696;1;;
3.081;2.39696;1;;
3.082;2.39696;1;;
3.102;2.342975;1;;
3.103;2.342975;1;;
3.103;2.342975;1;;
3.104;2.342975;1;;
3.124;2.307768;1;;
3.125;2.307445;1;;
3.125;2.307393;1;;
3.147;2.263367;1;;
3.148;2.262953;1;;
3.149;2.262871;1;;
3.15;2.262871;1;;
3.15;2.262871;1;;
3.169;2.218537;1;;
3.17;2.217947;1;;
3.171;2.217947;1;;
3.171;2.217947;1;;
3.19;2.173988;1;;
3.191;2.173419;1;;
3.192;2.173419;1;;
3.192;2.173419;1;;
3.212;2.129172;1;;
3.212;2.128818;1;;
3.213;2.128659;1;;
3.236;2.084304;1;;
3.237;2.083981;1;;
3.237;2.08382;1;;
3.238;2.08382;1;;
3.258;2.030112;1;;
3.259;2.030112;1;;
3.279;1.994701;1;;
3.28;1.994701;1;;
3.28;1.994701;1;;
3.281;1.994701;1;;
3.281;1.994701;1;;
3.301;1.950002;1;;
3.301;1.950002;1;;
3.302;1.950002;1;;
3.322;1.893291;1;;
3.323;1.892755;1;;
3.323;1.892666;1;;
3.4443051;;;0.478312193038838;0.225291930634739
3.457;1.636638;1;;
3.458;1.636301;1;;
3.48;1.592211;1;;
3.481;1.5918;1;;
3.482;1.591736;1;;
3.483;1.591718;1;;
3.483;1.591693;1;;
3.484;1.591706;1;;
3.502;1.547802;1;;
3.503;1.547198;1;;
3.504;1.547198;1;;
3.504;1.547198;1;;
3.524;1.50269;1;;
3.525;1.502264;1;;
3.525;1.502192;1;;
3.545;1.458206;1;;
3.546;1.457751;1;;
3.547;1.457685;1;;
3.547;1.457673;1;;
3.569;1.402387;1;;
3.57;1.401863;1;;
3.571;1.401789;1;;
3.571;1.401776;1;;
3.572;1.401768;1;;
3.592;1.368182;1;;
3.592;1.368182;1;;
3.593;1.368182;1;;
3.613;1.324724;1;;
3.614;1.32436;1;;
3.615;1.324239;1;;
3.615;1.324179;1;;
3.616;1.324179;1;;
3.635;1.279737;1;;
3.636;1.279323;1;;
3.657;1.234787;1;;
3.658;1.234401;1;;
3.658;1.234246;1;;
3.659;1.234246;1;;
3.66;1.234246;1;;
3.685;1.211829;1;;
3.686;1.195434;1;;
3.686;1.192772;1;;
3.687;1.189684;1;;
3.687;1.189684;1;;
3.701;1.146332;1;;
3.702;1.145295;1;;
3.723;1.122994;1;;
3.723;1.105809;1;;
3.724;1.094304;1;;
3.725;1.092463;1;;
3.726;1.09217;1;;
3.727;1.092127;1;;
3.7461257;;;-0.289073687356033;0.228344776957259
3.747;1.056147;1;;
3.748;1.056115;1;;
3.769;1.011996;1;;
3.769;1.011707;1;;
3.77;1.011042;1;;
3.771;1.010951;1;;
3.772;1.010932;1;;
3.79;0.9666291;1;;
3.791;0.9661149;1;;
3.792;0.966046;1;;
3.813;0.9220173;1;;
3.814;0.921594;1;;
3.815;0.9215127;1;;
3.816;0.9214994;1;;
3.836;0.8772243;1;;
3.837;0.8767738;1;;
3.838;0.8767018;1;;
3.838;0.8766726;1;;
3.839;0.8766726;1;;
3.84;0.8766726;1;;
3.859;0.8341446;1;;
3.86;0.8337281;1;;
3.881;0.7803959;1;;
3.881;0.77977;1;;
3.882;0.779285;1;;
3.883;0.779149;1;;
3.884;0.7791284;1;;
3.903;0.7444373;1;;
3.904;0.7439744;1;;
3.905;0.7439744;1;;
3.925;0.7003209;1;;
3.926;0.6999054;1;;
3.927;0.6998108;1;;
3.927;0.6997945;1;;
3.948;0.6552288;1;;
3.949;0.6548095;1;;
3.949;0.6547378;1;;
3.95;0.6546944;1;;
3.951;0.6546944;1;;
3.951;0.6546944;1;;
3.969;0.6104698;1;;
3.97;0.6099932;1;;
3.992;0.5656231;1;;
3.993;0.5652726;1;;
3.994;0.5651596;1;;
3.994;0.5651535;1;;
3.995;0.5651214;1;;
4.015;0.5210887;1;;
4.022;0.5205256;1;;
4.023;0.5205256;1;;
4.038;0.4634885;1;;
4.039;0.4627135;1;;
4.04;0.4625917;1;;
4.0469225;;;0.497222239214602;0.228820248299136
4.038;0.4634885;1;;
4.039;0.4627135;1;;
4.04;0.4625917;1;;
4.062;0.4313022;1;;
4.083;0.3868272;1;;
4.084;0.3863894;1;;
4.085;0.3863242;1;;
4.086;0.3863083;1;;
4.105;0.3426948;1;;
4.106;0.3421291;1;;
4.107;0.3421291;1;;
4.108;0.3421291;1;;
4.108;0.3421291;1;;
4.128;0.2977578;1;;
4.129;0.2971984;1;;
4.13;0.2971984;1;;
4.15;0.2528523;1;;
4.151;0.2524113;1;;
4.151;0.2523365;1;;
4.152;0.2522947;1;;
4.174;0.2083087;1;;
4.175;0.2079728;1;;
4.175;0.2079653;1;;
4.176;0.207808;1;;
4.176;0.207808;1;;
4.177;0.207808;1;;
4.196;0.1523471;1;;
4.196;0.1523471;1;;
4.217;0.11919;1;;
4.218;0.118909;1;;
4.219;0.1188285;1;;
4.219;0.1188175;1;;
4.22;0.1188024;1;;
4.239;0.07412761;1;;
4.24;0.07368886;1;;
4.24;0.07352784;1;;
4.261;0.02918421;1;;
4.262;0.02918421;1;;
4.284;-0.01546651;1;;
4.284;-0.01546651;1;;
4.285;-0.01546651;1;;
4.285;-0.01546651;1;;
4.305;-0.05962969;1;;
4.306;-0.06017344;1;;
4.307;-0.06017344;1;;
4.307;-0.06017344;1;;
4.328;-0.1044082;1;;
4.329;-0.104815;1;;
4.33;-0.1049022;1;;
4.331;-0.1049258;1;;
4.331;-0.1049258;1;;
4.3482216;;;0.299557912612352;0.169235488156974
4.328;-0.1044082;1;;
4.329;-0.104815;1;;
4.33;-0.1049022;1;;
4.331;-0.1049258;1;;
4.331;-0.1049258;1;;
4.357;-0.159101;1;;
4.358;-0.1596234;1;;
4.359;-0.1596234;1;;
4.372;-0.2024197;1;;
4.373;-0.2029804;1;;
4.373;-0.2030141;1;;
4.374;-0.2031985;1;;
4.395;-0.2383917;1;;
4.396;-0.2386863;1;;
4.397;-0.2387736;1;;
4.418;-0.2830266;1;;
4.418;-0.2832335;1;;
4.419;-0.2835048;1;;
4.42;-0.2835531;1;;
4.441;-0.3276375;1;;
4.442;-0.3280238;1;;
4.443;-0.3281238;1;;
4.443;-0.3281401;1;;
4.444;-0.3281538;1;;
4.463;-0.3723573;1;;
4.464;-0.3728381;1;;
4.465;-0.3729323;1;;
4.466;-0.3729323;1;;
4.466;-0.3729323;1;;
4.486;-0.4174901;1;;
4.487;-0.4174901;1;;
4.508;-0.4715139;1;;
4.508;-0.4719107;1;;
4.509;-0.4721068;1;;
4.51;-0.4721616;1;;
4.51;-0.4721616;1;;
4.511;-0.4721616;1;;
4.529;-0.5060991;1;;
4.53;-0.5064927;1;;
4.552;-0.5510582;1;;
4.553;-0.5514072;1;;
4.554;-0.5515777;1;;
4.554;-0.5515777;1;;
4.555;-0.5515777;1;;
4.575;-0.5958276;1;;
4.575;-0.5963945;1;;
4.576;-0.5963945;1;;
4.596;-0.6406022;1;;
4.597;-0.6406022;1;;
4.598;-0.6406022;1;;
4.598;-0.6406022;1;;
4.618;-0.6849772;1;;
4.619;-0.6855278;1;;
4.6389928;;;-0.39555601987875;0.0280376111480428
4.64;-0.7295033;1;;
4.641;-0.7295392;1;;
4.642;-0.7299107;1;;
4.661;-0.7832126;1;;
4.662;-0.7837932;1;;
4.663;-0.7838867;1;;
4.664;-0.7839004;1;;
4.684;-0.8191475;1;;
4.685;-0.8195924;1;;
4.693;-0.8195924;1;;
4.693;-0.8195924;1;;
4.705;-0.8414698;1;;
4.706;-0.8418452;1;;
4.707;-0.8612381;1;;
4.708;-0.8665036;1;;
4.727;-0.8879427;1;;
4.728;-0.8879427;1;;
4.729;-0.8879427;1;;
4.729;-0.8862216;1;;
4.749;-0.9315416;1;;
4.75;-0.932108;1;;
4.751;-0.9538684;1;;
4.751;-0.9538684;1;;
4.77;-0.9763044;1;;
