circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
0.1975249;;;0;0
0.4983246;;;0;0
0.7996262;;;0;0
1.1014277;;;0;0
1.4027282;;;0;0
1.7045303;;;0;0
2.0068343;;;0;0
2.072;-0.2155435;-1.484433;;
2.073;-0.2155435;-1.484433;;
2.091;-0.2412828;-1.480461;;
2.092;-0.2418829;-1.480368;;
2.113;-0.2687364;-1.475728;;
2.115;-0.2690141;-1.47568;;
2.135;-0.2931975;-1.471063;;
2.137;-0.2934946;-1.471007;;
2.157;-0.31954;-1.46557;;
2.158;-0.31954;-1.46557;;
2.159;-0.31954;-1.46557;;
2.159;-0.31954;-1.46557;;
2.179;-0.3450878;-1.459762;;
2.18;-0.3453455;-1.459704;;
2.181;-0.3453878;-1.459694;;
2.201;-0.3700637;-1.453632;;
2.202;-0.3703145;-1.45357;;
2.203;-0.3703715;-1.453556;;
2.204;-0.3703715;-1.453556;;
2.204;-0.3703715;-1.453556;;
2.205;-0.3703715;-1.453556;;
2.223;-0.3954509;-1.446931;;
2.224;-0.3957017;-1.446865;;
2.225;-0.3957708;-1.446846;;
2.245;-0.4204289;-1.439866;;
2.247;-0.4212532;-1.439633;;
2.268;-0.4459388;-1.432174;;
2.269;-0.4464429;-1.432022;;
2.29;-0.4715601;-1.423946;;
2.291;-0.4718623;-1.423849;;
2.3081348;;;0.143861150285184;0.0359652875712959
2.312;-0.4959657;-1.415628;;
2.313;-0.496462;-1.415459;;
2.333;-0.5207843;-1.40669;;
2.338;-0.5209609;-1.406626;;
2.38;-0.5699391;-1.387499;;
2.403;-0.5944459;-1.37718;;
2.423;-0.6181762;-1.366693;;
2.425;-0.618433;-1.36658;;
2.468;-0.6657941;-1.344136;;
2.49;-0.6892881;-1.332244;;
2.512;-0.7125469;-1.31995;;
2.555;-0.7587128;-1.293962;;
2.556;-0.758932;-1.293839;;
2.577;-0.7813879;-1.2804;;
2.598;-0.7929044;-1.273303;;
2.6099369;;;0.532983791622037;0.169211235476805
2.619;-0.8145043;-1.259593;;
2.62;-0.8147159;-1.259459;;
2.641;-0.8369166;-1.244814;;
2.662;-0.8585229;-1.230012;;
2.663;-0.8587417;-1.229862;;
2.684;-0.8806757;-1.214249;;
2.685;-0.880939;-1.214062;;
2.705;-0.9009368;-1.199293;;
2.706;-0.9011354;-1.199147;;
2.727;-0.9220933;-1.183108;;
2.729;-0.9220933;-1.183108;;
2.729;-0.9220933;-1.183108;;
2.816;-1.00335;-1.115014;;
2.838;-1.022019;-1.097935;;
2.839;-1.022375;-1.09761;;
2.861;-1.040812;-1.080133;;
2.863;-1.041371;-1.079603;;
2.883;-1.060356;-1.06096;;
2.884;-1.060595;-1.060726;;
2.904;-1.078762;-1.04224;;
2.906;-1.078985;-1.042013;;
2.9122404;;;0.49375008078513;0.292648755673088
2.904;-1.078762;-1.04224;;
2.906;-1.078985;-1.042013;;
2.928;-1.097045;-1.022978;;
2.95;-1.114743;-1.003663;;
2.972;-1.13226;-0.9838595;;
2.994;-1.149353;-0.9638319;;
2.995;-1.149637;-0.9634991;;
3.015;-1.165395;-0.9443761;;
3.016;-1.165562;-0.9441735;;
3.017;-1.165587;-0.9441433;;
3.036;-1.181797;-0.9237673;;
3.037;-1.182008;-0.923503;;
3.038;-1.182008;-0.923503;;
3.039;-1.182008;-0.923503;;
3.058;-1.197733;-0.9030054;;
3.059;-1.198018;-0.9026332;;
3.06;-1.198117;-0.9025049;;
3.061;-1.198139;-0.9024764;;
3.08;-1.213497;-0.8817118;;
3.081;-1.213658;-0.8814948;;
3.081;-1.213685;-0.8814579;;
3.082;-1.213701;-0.8814368;;
3.102;-1.228886;-0.8601289;;
3.102;-1.229013;-0.8599511;;
3.103;-1.229234;-0.85964;;
3.104;-1.229264;-0.8595984;;
3.124;-1.23644;-0.8492429;;
3.124;-1.237792;-0.8472558;;
3.125;-1.242928;-0.8397059;;
3.126;-1.244147;-0.8379125;;
3.146;-1.251493;-0.8269006;;
3.147;-1.257187;-0.8182037;;
3.148;-1.258467;-0.8162486;;
3.149;-1.258467;-0.8162486;;
3.168;-1.265843;-0.8047572;;
3.169;-1.269039;-0.7996848;;
3.17;-1.271984;-0.7950109;;
3.172;-1.272547;-0.794117;;
3.19;-1.279588;-0.7827212;;
3.194;-1.283264;-0.7766522;;
3.195;-1.284149;-0.7751915;;
3.2145443;;;-0.820193088342811;0.0876004835873849
3.19;-1.279588;-0.7827212;;
3.194;-1.283264;-0.7766522;;
3.195;-1.284149;-0.7751915;;
3.214;-1.29892;-0.7501726;;
3.215;-1.298959;-0.7501065;;
3.217;-1.299533;-0.7491341;;
3.24;-1.312415;-0.7263267;;
3.241;-1.312572;-0.7260485;;
3.243;-1.312671;-0.7258748;;
3.263;-1.325119;-0.7028805;;
3.264;-1.325342;-0.7024696;;
3.286;-1.337289;-0.6794428;;
3.287;-1.337485;-0.6790648;;
3.309;-1.348926;-0.6560357;;
3.33;-1.354593;-0.6442619;;
3.331;-1.354679;-0.6440836;;
3.351;-1.371098;-0.6083199;;
3.352;-1.371358;-0.6077535;;
3.353;-1.371476;-0.6074966;;
3.373;-1.381652;-0.5839764;;
3.374;-1.38176;-0.5837284;;
3.394;-1.391653;-0.5597252;;
3.395;-1.391756;-0.5594773;;
3.416;-1.401291;-0.5351408;;
3.417;-1.401379;-0.5349157;;
3.437;-1.410483;-0.5104194;;
3.438;-1.410578;-0.5101643;;
3.458;-1.414932;-0.4979622;;
3.459;-1.414974;-0.497844;;
3.479;-1.42346;-0.4730242;;
3.481;-1.427134;-0.4618131;;
3.5153432;;;-0.0162855827869103;0.0475638003193615
3.561;-1.453094;-0.3721424;;
3.562;-1.453155;-0.3719335;;
3.564;-1.453174;-0.3718679;;
3.565;-1.453175;-0.3718624;;
3.565;-1.453176;-0.3718605;;
3.566;-1.453176;-0.3718605;;
3.567;-1.453176;-0.3718605;;
3.568;-1.453176;-0.3718605;;
3.593;-1.459453;-0.3464045;;
3.607;-1.465424;-0.320208;;
3.608;-1.465424;-0.320208;;
3.608;-1.465424;-0.320208;;
3.628;-1.470634;-0.2953442;;
3.629;-1.470698;-0.2950387;;
3.63;-1.470698;-0.2950387;;
3.631;-1.470698;-0.2950387;;
3.631;-1.470698;-0.2950387;;
3.65;-1.475614;-0.2693596;;
3.651;-1.475665;-0.2690905;;
3.651;-1.475674;-0.269045;;
3.652;-1.475678;-0.2690251;;
3.672;-1.480168;-0.2430905;;
3.673;-1.480206;-0.2428725;;
3.673;-1.480225;-0.2427657;;
3.674;-1.480225;-0.2427657;;
3.694;-1.484201;-0.2171321;;
3.695;-1.484201;-0.2171321;;
3.696;-1.484201;-0.2171321;;
3.696;-1.484201;-0.2171321;;
3.716;-1.486049;-0.2041065;;
3.717;-1.48774;-0.1913876;;
3.717;-1.48774;-0.1913876;;
3.718;-1.48774;-0.1913876;;
3.737;-1.48936;-0.1783306;;
3.738;-1.490498;-0.1684666;;
3.739;-1.490757;-0.1662226;;
3.759;-1.492301;-0.1517731;;
3.76;-1.492317;-0.1516241;;
3.761;-1.493249;-0.142047;;
3.762;-1.493562;-0.1388268;;
3.763;-1.493562;-0.1388268;;
3.781;-1.494737;-0.1255359;;
3.781;-1.494746;-0.1254338;;
3.802;-1.496684;-0.09964385;;
3.803;-1.496702;-0.09940962;;
3.803;-1.496705;-0.0993693;;
3.804;-1.496706;-0.09934554;;
3.805;-1.496707;-0.09934184;;
3.8161428;;;0.939129986094496;0.149100348937476
3.824;-1.498219;-0.07301812;;
3.824;-1.498231;-0.07280069;;
3.825;-1.498238;-0.07268902;;
3.845;-1.499266;-0.04683671;;
3.846;-1.499276;-0.04658497;;
3.847;-1.499278;-0.04653332;;
3.847;-1.499278;-0.04652462;;
3.867;-1.499854;-0.02071304;;
3.868;-1.499861;-0.02039007;;
3.869;-1.499861;-0.02039007;;
3.869;-1.499861;-0.02039007;;
3.889;-1.499988;0.005336879;;
3.889;-1.499988;0.005421437;;
3.89;-1.499989;0.005666324;;
3.891;-1.499989;0.005666324;;
3.91;-1.499656;0.03195971;;
3.91;-1.499655;0.03208797;;
3.911;-1.499653;0.0322503;;
3.912;-1.499652;0.03229585;;
3.931;-1.498885;0.05775866;;
3.932;-1.498877;0.0580038;;
3.932;-1.498875;0.05809156;;
3.933;-1.498875;0.05809156;;
3.952;-1.497625;0.08431954;;
3.958;-1.497609;0.08464797;;
3.959;-1.497609;0.08465789;;
3.959;-1.497609;0.08465956;;
3.974;-1.495941;0.1102255;;
3.975;-1.495913;0.110658;;
3.995;-1.494907;0.1234881;;
3.996;-1.493994;0.1339738;;
3.997;-1.493731;0.136995;;
3.998;-1.493731;0.136995;;
3.998;-1.493731;0.136995;;
3.999;-1.493731;0.136995;;
4.018;-1.492415;0.1506596;;
4.019;-1.491086;0.1632859;;
4.02;-1.491086;0.1632859;;
4.02;-1.491086;0.1632859;;
4.04;-1.488048;0.1889596;;
4.041;-1.48801;0.1892813;;
4.041;-1.48801;0.1892813;;
4.042;-1.48801;0.1892813;;
4.062;-1.486323;0.2020858;;
4.063;-1.485497;0.2079556;;
4.064;-1.484364;0.2160171;;
4.084;-1.482375;0.229269;;
4.085;-1.480413;0.2416147;;
4.086;-1.480413;0.2416147;;
4.087;-1.480413;0.2416147;;
4.108;-1.476052;0.2669488;;
4.109;-1.476014;0.2671723;;
4.109;-1.476008;0.2672063;;
4.11;-1.476002;0.2672424;;
4.1184466;;;-0.410116779601829;-0.0768663661592635
4.108;-1.476052;0.2669488;;
4.109;-1.476014;0.2671723;;
4.109;-1.476008;0.2672063;;
4.11;-1.476002;0.2672424;;
4.13;-1.471089;0.2930698;;
4.13;-1.471059;0.293226;;
4.131;-1.471034;0.2933541;;
4.151;-1.468408;0.3062279;;
4.152;-1.468384;0.3063484;;
4.153;-1.466348;0.315901;;
4.153;-1.466001;0.31753;;
4.154;-1.465772;0.3186015;;
4.174;-1.459812;0.3448915;;
4.175;-1.459812;0.3448915;;
4.175;-1.459812;0.3448915;;
4.196;-1.453694;0.3698194;;
4.197;-1.453638;0.370048;;
4.198;-1.453626;0.3700976;;
4.198;-1.453624;0.3701061;;
4.219;-1.446916;0.3955086;;
4.219;-1.446863;0.3957063;;
4.22;-1.446841;0.3957909;;
4.221;-1.446835;0.3958128;;
4.222;-1.446835;0.3958128;;
4.241;-1.439795;0.4206933;;
4.242;-1.43972;0.4209567;;
4.243;-1.439708;0.4210003;;
4.263;-1.436018;0.4334157;;
4.264;-1.433293;0.4423029;;
4.264;-1.43212;0.4461309;;
4.265;-1.43212;0.4461309;;
4.266;-1.43212;0.4461309;;
4.285;-1.423754;0.4721073;;
4.286;-1.423503;0.4728885;;
4.308;-1.415731;0.4956749;;
4.309;-1.415617;0.4960082;;
4.31;-1.415578;0.4961233;;
4.311;-1.415557;0.4961838;;
4.311;-1.415557;0.4961838;;
4.334;-1.407743;0.5178638;;
4.338;-1.406749;0.5206229;;
4.339;-1.406666;0.520854;;
4.341;-1.403549;0.529161;;
4.342;-1.402768;0.5312424;;
4.353;-1.397411;0.5451884;;
4.354;-1.397246;0.5456187;;
4.355;-1.397205;0.545726;;
4.376;-1.387608;0.5696724;;
