timestamp;radius;velocity;walking
36.6249492;2.5;1.17;False
44.6862784;1.5;0.39;False
60.3918217;1.5;0.39;False
66.8478969;2.5;1.96;False
73.1144824;1.5;1.96;False
78.5764282;0.5;0.39;False
85.2110551;2.5;0.39;False
92.2707357;2.5;0.39;False
98.3242471;0.5;1.17;False
103.5636051;1.5;0.39;False
112.0294963;2.5;1.17;False
117.2683531;2.5;0.39;False
126.3273129;0.5;1.96;False
132.9618645;0.5;1.17;False
140.02104;1.5;1.17;False
145.2709258;0.5;1.17;False
151.3028796;2.5;1.17;False
156.9543274;2.5;1.96;False
164.617596;0.5;1.96;False
169.844922;1.5;1.96;False
176.0889372;2.5;1.96;False
183.5610572;1.5;1.96;False
189.2245463;0.5;0.39;False
195.2559993;0.5;1.96;False
200.7069168;1.5;1.17;False
206.9619721;1.5;1.17;False
212.6028921;0.5;0.39;False
