44.6742463;2;0;4;17;0;
60.3717681;0;18;10;0;0;
66.8293484;0;0;0;15;0;
73.0954312;0;0;0;15;0;
78.5563754;0;0;0;15;0;
85.1894983;0;2;16;0;0;
92.2501814;16;4;0;0;0;
98.3031913;15;0;0;0;0;
103.5465591;0;0;15;0;0;
112.0124508;0;0;0;16;4;
117.2483005;0;15;0;0;0;
126.3102675;0;0;0;16;3;
132.9448195;0;0;0;16;3;
140.0009867;0;15;0;0;0;
145.2498697;0;0;0;15;0;
151.2833281;0;0;0;15;0;
156.9337726;0;15;0;0;0;
164.5970415;16;4;0;0;0;
169.8233652;0;0;15;0;0;
176.0683824;17;5;0;0;0;
183.5400016;17;7;0;0;0;
189.2095064;0;15;0;0;0;
195.2389541;15;0;0;0;0;
200.689871;15;0;0;0;0;
206.9404145;0;0;1;16;1;
212.5813343;0;0;0;16;1;
222.2589313;16;1;0;0;0;
