circularCube2Timestamp;circularCube2XPos;circularCube2YPos;circularCube2newCorr;circularCube2smoothCorr
0;;;0;0
0.4140979;;;0;0
0.7153972;;;0;0
1.0166966;;;0;0
1.3174929;;;0;0
1.6187917;;;0;0
1.9205923;;;0;0
2.131;-0.09222703;-1.997872;;
2.132;-0.09222703;-1.997872;;
2.15;-0.1275567;-1.995928;;
2.151;-0.1275567;-1.995928;;
2.172;-0.1717962;-1.992608;;
2.173;-0.1717962;-1.992608;;
2.193;-0.1977818;-1.990197;;
2.193;-0.1977818;-1.990197;;
2.214;-0.2318637;-1.986511;;
2.214;-0.2319981;-1.986496;;
2.215;-0.2321979;-1.986475;;
2.2223924;;;0.0797567536273587;0.0265855845424529
2.236;-0.2664468;-1.982169;;
2.237;-0.2667431;-1.982131;;
2.258;-0.3017526;-1.977102;;
2.269;-0.3186017;-1.974458;;
2.269;-0.318804;-1.974427;;
2.28;-0.3360087;-1.971571;;
2.302;-0.3564043;-1.967986;;
2.303;-0.3566019;-1.967952;;
2.325;-0.4133655;-1.956806;;
2.325;-0.4137706;-1.956727;;
2.346;-0.4395073;-1.951109;;
2.347;-0.4397703;-1.951051;;
2.37;-0.4737049;-1.943088;;
2.414;-0.5414166;-1.925315;;
2.457;-0.5921118;-1.910337;;
2.48;-0.6499553;-1.891433;;
2.481;-0.6504897;-1.891258;;
2.501;-0.6505892;-1.891225;;
2.502;-0.6505901;-1.891225;;
2.522;-0.6505904;-1.891225;;
2.524;-0.6505904;-1.891225;;
2.5412379;;;0.409090840271423;0.16294919796626
2.545;-0.658805;-1.888379;;
2.547;-0.658887;-1.888351;;
2.568;-0.787791;-1.838248;;
2.61;-0.8216954;-1.823405;;
2.652;-0.8847964;-1.793629;;
2.724;-0.9779845;-1.744565;;
2.767;-1.038598;-1.709177;;
2.81;-1.098545;-1.671278;;
2.833;-1.128222;-1.651398;;
2.8475499;;;0.75501461601688;0.414620736638554
2.853;-1.156377;-1.631806;;
2.853;-1.156377;-1.631806;;
2.854;-1.156377;-1.631806;;
2.875;-1.184786;-1.611298;;
2.896;-1.212708;-1.590385;;
2.897;-1.212972;-1.590187;;
2.898;-1.213043;-1.590134;;
2.899;-1.213043;-1.590134;;
2.918;-1.240336;-1.568933;;
2.918;-1.240574;-1.568748;;
2.919;-1.240679;-1.568667;;
2.941;-1.26783;-1.546801;;
2.941;-1.267881;-1.54676;;
2.942;-1.268063;-1.546613;;
2.943;-1.26812;-1.546567;;
2.943;-1.268124;-1.546564;;
2.962;-1.29437;-1.524661;;
2.963;-1.29462;-1.524452;;
2.963;-1.294723;-1.524366;;
2.984;-1.320986;-1.50166;;
2.985;-1.321212;-1.501464;;
2.985;-1.321297;-1.501391;;
2.986;-1.321297;-1.501391;;
2.987;-1.321297;-1.501391;;
3.006;-1.347229;-1.47816;;
3.006;-1.347392;-1.478014;;
3.007;-1.347545;-1.477877;;
3.027;-1.373103;-1.454157;;
3.028;-1.373419;-1.453864;;
3.029;-1.373419;-1.453864;;
3.03;-1.373419;-1.453864;;
3.05;-1.399028;-1.429237;;
