circular (3)Cube2Timestamp;circular (3)Cube2XPos;circular (3)Cube2YPos;circular (3)Cube2newCorr;circular (3)Cube2smoothCorr
0;;;0;0
0.4085834;;;0;0
0.7133917;;;0;0
1.015192;;;0;0
1.3194987;;;0;0
1.6298216;;;0;0
1.9311202;;;0;0
2.199;-0.9879959;-1.738926;;
2.219;-0.9560257;-1.756706;;
2.2334218;;;0;0
2.239;-0.9261072;-1.77266;;
2.24;-0.9261072;-1.77266;;
2.241;-0.9261072;-1.77266;;
2.26;-0.8954494;-1.788339;;
2.261;-0.8951168;-1.788509;;
2.262;-0.8950667;-1.788534;;
2.263;-0.8950542;-1.788541;;
2.282;-0.8637409;-1.803867;;
2.283;-0.8633997;-1.804034;;
2.305;-0.8478795;-1.81138;;
2.305;-0.8380646;-1.81592;;
2.306;-0.8323363;-1.81857;;
2.307;-0.8315206;-1.818947;;
2.307;-0.8313802;-1.819012;;
2.308;-0.8312994;-1.81905;;
2.326;-0.7998584;-1.833088;;
2.327;-0.7994299;-1.833279;;
2.328;-0.7994299;-1.833279;;
2.348;-0.7679737;-1.846669;;
2.349;-0.7674199;-1.846905;;
2.351;-0.7671942;-1.847001;;
2.351;-0.7671942;-1.847001;;
2.371;-0.7352279;-1.859953;;
2.372;-0.7349481;-1.860066;;
2.372;-0.7349304;-1.860073;;
2.373;-0.7348534;-1.860105;;
2.393;-0.7026948;-1.872486;;
2.394;-0.7024052;-1.872598;;
2.395;-0.7023193;-1.872631;;
2.395;-0.7023091;-1.872635;;
2.416;-0.6702704;-1.884325;;
2.416;-0.6698267;-1.884487;;
2.418;-0.6688473;-1.884845;;
2.419;-0.668765;-1.884875;;
2.419;-0.6687527;-1.884879;;
2.439;-0.6359946;-1.896179;;
2.439;-0.6355777;-1.896323;;
2.44;-0.6355777;-1.896323;;
2.46;-0.6195382;-1.901622;;
2.461;-0.6192685;-1.901711;;
2.462;-0.6065381;-1.905795;;
2.463;-0.6034327;-1.906791;;
2.487;-0.5696453;-1.917157;;
2.489;-0.5693389;-1.917251;;
2.49;-0.5693069;-1.917261;;
2.491;-0.5692996;-1.917263;;
2.503;-0.5318651;-1.927975;;
2.504;-0.5312493;-1.928151;;
2.504;-0.5311435;-1.928181;;
2.505;-0.531086;-1.928198;;
2.525;-0.5018344;-1.936014;;
2.526;-0.5015288;-1.936096;;
2.527;-0.5014838;-1.936108;;
2.5347207;;;-0.700927990651877;-0.233642663550626
2.525;-0.5018344;-1.936014;;
2.526;-0.5015288;-1.936096;;
2.527;-0.5014838;-1.936108;;
2.55;-0.484839;-1.940342;;
2.551;-0.4847144;-1.940374;;
2.552;-0.4846735;-1.940384;;
2.573;-0.4266391;-1.953954;;
2.574;-0.4261467;-1.954069;;
2.574;-0.426097;-1.954081;;
2.575;-0.4259319;-1.954119;;
2.575;-0.4259319;-1.954119;;
2.595;-0.399288;-1.959735;;
2.595;-0.3989478;-1.959806;;
2.596;-0.3989478;-1.959806;;
2.597;-0.3989478;-1.959806;;
2.597;-0.3989478;-1.959806;;
2.617;-0.3816887;-1.963241;;
2.618;-0.3816887;-1.963241;;
2.618;-0.3741368;-1.964674;;
2.639;-0.3308542;-1.972438;;
2.64;-0.3304291;-1.972514;;
2.641;-0.3303653;-1.972526;;
2.642;-0.330344;-1.97253;;
2.642;-0.330344;-1.97253;;
2.662;-0.2951115;-1.978107;;
2.662;-0.2951115;-1.978107;;
2.663;-0.2951115;-1.978107;;
2.683;-0.260906;-1.982905;;
2.684;-0.2605714;-1.982952;;
2.685;-0.2604747;-1.982966;;
2.705;-0.225897;-1.987202;;
2.706;-0.225897;-1.987202;;
2.707;-0.225897;-1.987202;;
2.708;-0.225897;-1.987202;;
2.708;-0.225897;-1.987202;;
2.727;-0.1913151;-1.990825;;
2.728;-0.1909512;-1.990863;;
2.729;-0.1908585;-1.990872;;
2.73;-0.1908585;-1.990872;;
2.749;-0.1570174;-1.993819;;
2.75;-0.1564647;-1.993867;;
2.751;-0.1561822;-1.993892;;
2.772;-0.1388074;-1.995176;;
2.773;-0.1261087;-1.996003;;
2.774;-0.1223693;-1.996246;;
2.774;-0.1219093;-1.996276;;
2.775;-0.12102;-1.996334;;
2.795;-0.08922204;-1.998006;;
2.796;-0.0889352;-1.998021;;
2.797;-0.08882672;-1.998026;;
2.797;-0.08882672;-1.998026;;
2.817;-0.05386322;-1.999271;;
