timestamp;radius;size;depth
25.6062065;0.5;0.3;16
31.4762547;1.5;0.9;16
34.3791101;2.5;0.3;16
36.9830068;1.5;0.65;2
39.4377118;0.5;0.9;16
42.5118549;1.5;0.9;6
45.6620959;0.5;0.3;6
48.0856573;1.5;0.65;16
52.0848163;1.5;0.9;2
54.2174525;0.5;0.9;6
57.2339423;0.5;0.65;2
60.294549;2.5;0.65;2
62.7625863;1.5;0.3;2
65.2421539;2.5;0.65;16
68.1247897;0.5;0.65;16
70.7046231;1.5;0.3;16
74.0449712;2.5;0.3;6
84.7006948;2.5;0.9;16
88.1388194;2.5;0.9;2
91.7910127;1.5;0.65;6
94.7974758;2.5;0.65;6
98.0375582;2.5;0.3;2
100.9858675;0.5;0.65;6
104.1918814;0.5;0.9;2
107.6530491;2.5;0.9;6
110.6790643;0.5;0.3;2
114.3121876;1.5;0.3;6
