timestamp;radius;size;depth
2.5422495;1.5;0.9;2
7.0968424;2.5;0.3;16
13.3745115;0.5;0.9;6
16.2005138;0.5;0.3;6
21.7297043;1.5;0.9;16
24.3992925;2.5;0.9;16
27.6719811;1.5;0.3;6
32.60909;0.5;0.3;2
41.2103585;0.5;0.3;16
43.7676688;0.5;0.9;2
47.9793599;2.5;0.9;6
119.8020521;0.5;0.9;16
122.7498791;2.5;0.65;16
162.3908553;0.5;0.65;16
168.7016111;1.5;0.3;16
174.4769453;2.5;0.65;6
177.1435249;2.5;0.65;2
179.3584058;2.5;0.3;2
182.1272575;1.5;0.3;2
184.9116502;1.5;0.65;2
187.4323427;1.5;0.9;6
189.5003337;1.5;0.65;6
191.9578588;2.5;0.9;2
196.2357172;0.5;0.65;6
202.6101416;2.5;0.3;6
208.9133776;1.5;0.65;16
212.6778765;0.5;0.65;2
