timestamp;radius;velocity;walking
3.3823426;1.5;1.96;True
27.5490456;0.5;1.96;True
36.308703;2.5;0.39;True
49.4199978;2.5;0.39;True
65.9179375;1.5;0.39;True
71.4809864;1.5;1.17;True
74.6756128;2.5;1.96;True
76.3841011;1.5;1.17;True
91.8129872;0.5;1.17;True
97.8191273;0.5;0.39;True
121.3881951;0.5;1.17;True
127.2948972;0.5;0.39;True
151.5739491;2.5;1.17;True
186.2018542;2.5;1.96;True
191.9719639;1.5;1.96;True
194.540991;1.5;0.39;True
197.9031393;2.5;1.96;True
203.994264;2.5;0.39;True
205.11874;2.5;1.17;True
215.6646779;0.5;1.96;True
217.0377127;2.5;1.17;True
226.4427732;0.5;1.96;True
228.3868625;0.5;1.17;True
236.3056149;1.5;1.96;True
239.5121218;0.5;0.39;True
252.5024094;1.5;1.17;True
256.5235662;1.5;0.39;True
