Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject
5.3111291;0;0;28;1;;0
5.3111291;1;0;28;1;;0
5.3111291;2;0;28;1;;0
5.3111291;3;0;28;1;;0
5.3111291;4;0;28;1;;0
5.3111291;5;0;28;1;;0
5.3111291;6;0;28;1;;0
5.3111291;7;0;28;1;;0
5.3487287;0;0;28;1;;0
5.3487287;1;0;28;1;;0
5.3487287;2;0;28;1;;0
5.3487287;3;0;28;1;;0
5.3487287;4;0;28;1;;0
5.3487287;5;0;28;1;;0
5.3487287;6;0;28;1;;0
5.3487287;7;0;28;1;;0
5.4239289;0;0.2552601;28;1;;-0.999493684796496
5.4239289;1;-0.2536924;28;1;;1
5.4239289;2;-0.2532445;28;1;;0.999991858272021
5.4239289;3;-0.2532152;28;1;;0.999990927080934
5.4239289;4;0.2552682;28;1;;-0.993575149689737
5.4239289;5;0.2532732;28;1;;-0.979809639790049
5.4239289;6;0.2538433;28;1;;-0.961223215466889
5.4239289;7;0.2550655;28;1;;-0.940550150917548
5.5021369;0;0.2910798;28;1;;-0.99792442452825
5.5021369;1;-0.2974202;28;1;;1
5.5021369;2;-0.297843;28;1;;0.999941021124828
5.5021369;3;-0.2978438;28;1;;0.99993391372566
5.5021369;4;0.2910899;28;1;;-0.997924980707961
5.5021369;5;0.2978404;28;1;;-0.999947507988414
5.5021369;6;0.2970958;28;1;;-0.999990786972365
5.5021369;7;0.2920033;28;1;;-0.998459315649128
5.5803455;0;0.301035;28;1;;-0.997596886581729
5.5803455;1;-0.311744;28;1;;1
5.5803455;2;-0.3125067;28;1;;0.999911591414552
5.5803455;3;-0.3125088;28;1;;0.993400060981996
5.5803455;4;0.3010447;28;1;;-0.974753578639038
5.5803455;5;0.312501;28;1;;-0.948914166035086
5.5803455;6;0.3111567;28;1;;-0.942505632107395
5.5803455;7;0.3025238;28;1;;-0.940800926170821
5.6359934;0;0.1689307;28;1;;-0.992825929813456
5.6359934;1;-0.1816424;28;1;;0.995006703107732
5.6359934;2;-0.1833515;28;1;;0.994909928158536
5.6359934;3;-0.1834186;28;1;;0.994897525715871
5.6359934;4;0.1689388;28;1;;-0.99282599740727
5.6359934;5;0.1832833;28;1;;-0.994921159290045
5.6359934;6;0.1807837;28;1;;-0.994993532395156
5.6359934;7;0.1705706;28;1;;-0.993323193090073
5.7031722;0;0.03192343;28;1;;-0.939828789656692
5.7031722;1;-0.0443649;28;1;;0.944103856880025
5.7031722;2;-0.04637977;28;1;;0.944969031173639
5.7031722;3;-0.04647314;28;1;;0.945018652384973
5.7031722;4;0.03193006;28;1;;-0.939829278973874
5.7031722;5;0.04628676;28;1;;-0.944920510530629
5.7031722;6;0.04345571;28;1;;-0.94378571728746
5.7031722;7;0.03347456;28;1;;-0.940409128412648
5.7703505;0;-0.08174946;28;1;;-0.998976044588583
5.7703505;1;0.07145394;28;1;;1
5.7703505;2;0.06979189;28;1;;0.999881092456765
5.7703505;3;0.06971412;28;1;;0.99986343080284
5.7703505;4;-0.08174367;28;1;;-0.998976044588583
5.7703505;5;-0.06986918;28;1;;-0.999896721127366
5.7703505;6;-0.07220165;28;1;;-0.999988883049527
5.7703505;7;-0.08045786;28;1;;-0.99916053618318
5.8482423;0;-0.1676504;28;1;;-0.999516313367994
5.8482423;1;0.1596585;28;1;;1
5.8482423;2;0.1585675;28;1;;0.949168564431418
5.8482423;3;0.158522;28;1;;0.949278200840064
5.8482423;4;-0.1676452;28;1;;-0.943242511658167
5.8482423;5;-0.1586134;28;1;;-0.949063008035926
5.8482423;6;-0.1601908;28;1;;-0.947002033731879
5.8482423;7;-0.1666018;28;1;;-0.943615568441064
5.9264501;0;-0.2356197;28;1;;-0.999492163695573
5.9264501;1;0.2288958;28;1;;1
5.9264501;2;0.2279502;28;1;;0.999836195572519
5.9264501;3;0.2279058;28;1;;0.999807380478314
5.9264501;4;-0.2356151;28;1;;-0.999492163695573
5.9264501;5;-0.2279941;28;1;;-0.999860909601043
5.9264501;6;-0.2293344;28;1;;-0.999990424186729
5.9264501;7;-0.2347187;28;1;;-0.999565464010163
6.0046581;0;-0.2895568;28;1;;-0.999616643307646
6.0046581;1;0.2840529;28;1;;1
6.0046581;2;0.2835625;28;1;;0.999822896136714
6.0046581;3;0.2835504;28;1;;0.999789770283455
6.0046581;4;-0.2895526;28;1;;-0.999616643307646
6.0046581;5;-0.2826706;28;1;;-0.989760354753275
6.0046581;6;-0.284357;28;1;;-0.99999131366089
6.0046581;7;-0.2887777;28;1;;-0.999667916628323
6.0828662;0;-0.3309946;28;1;;-0.999672168712662
6.0828662;1;0.3260454;28;1;;0.987279074502065
6.0828662;2;0.3259348;28;1;;0.990102464242882
6.0828662;3;0.3259589;28;1;;0.990069332679353
6.0828662;4;-0.3309907;28;1;;-0.98968243664761
6.0828662;5;-0.3250852;28;1;;-0.990129087410213
6.0828662;6;-0.3262781;28;1;;-0.990150560343265
6.0828662;7;-0.3302783;28;1;;-0.989733158794061
6.1495437;0;-0.3517334;28;1;;-0.987267704553799
6.1495437;1;0.3480236;28;1;;0.983530304016506
6.1495437;2;0.3487301;28;1;;0.983172458061683
6.1495437;3;0.3488278;28;1;;0.983109819659195
