lineargazeTimestamp;lineargazeXPos;lineargazeYPos;lineargazenewCorr;lineargazesmoothCorr
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
9.694;0.4381414;0.3780128;;
9.792;0.4322466;0.3653525;;
9.928;0.4034649;0.3470661;;
11.562;0.4123818;0.3536063
11.562;0.4123818;0.3536063;;
11.631;0.3133662;0.2938531
11.632;0.2361892;0.2247705
11.665;0.4661647;0.3368816
11.7;0.3975092;0.2676215
11.562;0.4123818;0.3536063;;
11.631;0.3133662;0.2938531;;
11.632;0.2361892;0.2247705;;
11.665;0.4661647;0.3368816;;
11.7;0.3975092;0.2676215;;
11.733;0.3332775;0.1896663
11.734;0.3773851;0.2248517
11.562;0.4123818;0.3536063;;
11.631;0.3133662;0.2938531;;
11.632;0.2361892;0.2247705;;
11.665;0.4661647;0.3368816;;
11.7;0.3975092;0.2676215;;
11.733;0.3332775;0.1896663;;
11.734;0.3773851;0.2248517;;
11.802;0.3909869;0.2338858
11.803;0.4254696;0.2233183
11.835;0.4161313;0.2193158
11.871;0.4180277;0.2256617
11.872;0.3833936;0.2075374
11.631;0.3133662;0.2938531;;
11.632;0.2361892;0.2247705;;
11.665;0.4661647;0.3368816;;
11.7;0.3975092;0.2676215;;
11.733;0.3332775;0.1896663;;
11.734;0.3773851;0.2248517;;
11.802;0.3909869;0.2338858;;
11.803;0.4254696;0.2233183;;
11.835;0.4161313;0.2193158;;
11.871;0.4180277;0.2256617;;
11.872;0.3833936;0.2075374;;
11.905;0.3849446;0.2054461
11.906;0.362454;0.2109255
11.907;0.3097559;0.198157
11.908;0.2728378;0.1942891
11.908;0.2382677;0.2009065
11.939;0.2038387;0.1981446
11.94;0.1822879;0.2050103
11.665;0.4661647;0.3368816;;
11.7;0.3975092;0.2676215;;
11.733;0.3332775;0.1896663;;
11.734;0.3773851;0.2248517;;
11.802;0.3909869;0.2338858;;
11.803;0.4254696;0.2233183;;
11.835;0.4161313;0.2193158;;
11.871;0.4180277;0.2256617;;
11.872;0.3833936;0.2075374;;
11.905;0.3849446;0.2054461;;
11.906;0.362454;0.2109255;;
11.907;0.3097559;0.198157;;
11.908;0.2728378;0.1942891;;
11.908;0.2382677;0.2009065;;
11.939;0.2038387;0.1981446;;
11.94;0.1822879;0.2050103;;
11.973;0.180319;0.2146508
11.973;0.1816727;0.232981
11.974;0.1601008;0.244231
12.007;0.1659418;0.2702729
12.008;0.173578;0.2997382
11.733;0.3332775;0.1896663;;
11.734;0.3773851;0.2248517;;
11.802;0.3909869;0.2338858;;
11.803;0.4254696;0.2233183;;
11.835;0.4161313;0.2193158;;
11.871;0.4180277;0.2256617;;
11.872;0.3833936;0.2075374;;
11.905;0.3849446;0.2054461;;
11.906;0.362454;0.2109255;;
11.907;0.3097559;0.198157;;
11.908;0.2728378;0.1942891;;
11.908;0.2382677;0.2009065;;
11.939;0.2038387;0.1981446;;
11.94;0.1822879;0.2050103;;
11.973;0.180319;0.2146508;;
11.973;0.1816727;0.232981;;
11.974;0.1601008;0.244231;;
12.007;0.1659418;0.2702729;;
12.008;0.173578;0.2997382;;
12.074;0.1738207;0.3132591
12.076;0.2597283;0.3140945
12.076;0.2564413;0.3854646
12.109;0.2693964;0.4049287
12.109;0.2793005;0.4265761
12.11;0.2792758;0.4463252
12.111;0.2602428;0.5427748
12.111;0.1857027;0.5704904
11.835;0.4161313;0.2193158;;
11.871;0.4180277;0.2256617;;
11.872;0.3833936;0.2075374;;
11.905;0.3849446;0.2054461;;
11.906;0.362454;0.2109255;;
11.907;0.3097559;0.198157;;
11.908;0.2728378;0.1942891;;
11.908;0.2382677;0.2009065;;
11.939;0.2038387;0.1981446;;
11.94;0.1822879;0.2050103;;
11.973;0.180319;0.2146508;;
11.973;0.1816727;0.232981;;
11.974;0.1601008;0.244231;;
12.007;0.1659418;0.2702729;;
12.008;0.173578;0.2997382;;
12.074;0.1738207;0.3132591;;
12.076;0.2597283;0.3140945;;
12.076;0.2564413;0.3854646;;
12.109;0.2693964;0.4049287;;
12.109;0.2793005;0.4265761;;
12.11;0.2792758;0.4463252;;
12.111;0.2602428;0.5427748;;
12.111;0.1857027;0.5704904;;
12.141;0.1637482;0.6564663
12.142;0.164906;0.6625698
12.143;0.1422377;0.7439529
12.144;0.1425935;0.7436392
12.145;0.1301118;0.7771569
12.146;0.1307848;0.7753686
12.146;0.131241;0.7754123
12.176;0.1317526;0.7751623
12.177;0.1317712;0.7751074
12.178;0.1322108;0.7740864
12.178;0.1328571;0.7720819
12.179;0.1331857;0.7709377
12.211;0.1336351;0.7694364
12.212;0.1334336;0.7697737
12.213;0.1333103;0.7685405
12.214;0.1329852;0.7690403
11.939;0.2038387;0.1981446;;
11.94;0.1822879;0.2050103;;
11.973;0.180319;0.2146508;;
11.973;0.1816727;0.232981;;
11.974;0.1601008;0.244231;;
12.007;0.1659418;0.2702729;;
12.008;0.173578;0.2997382;;
12.074;0.1738207;0.3132591;;
12.076;0.2597283;0.3140945;;
12.076;0.2564413;0.3854646;;
12.109;0.2693964;0.4049287;;
12.109;0.2793005;0.4265761;;
12.11;0.2792758;0.4463252;;
12.111;0.2602428;0.5427748;;
12.111;0.1857027;0.5704904;;
12.141;0.1637482;0.6564663;;
12.142;0.164906;0.6625698;;
12.143;0.1422377;0.7439529;;
12.144;0.1425935;0.7436392;;
12.145;0.1301118;0.7771569;;
12.146;0.1307848;0.7753686;;
12.146;0.131241;0.7754123;;
12.176;0.1317526;0.7751623;;
12.177;0.1317712;0.7751074;;
12.178;0.1322108;0.7740864;;
12.178;0.1328571;0.7720819;;
12.179;0.1331857;0.7709377;;
12.211;0.1336351;0.7694364;;
12.212;0.1334336;0.7697737;;
12.213;0.1333103;0.7685405;;
12.214;0.1329852;0.7690403;;
12.215;0.1322545;0.7680869
12.216;0.1311015;0.7674952
12.217;0.130623;0.768328
12.244;0.1292758;0.7675754
12.244;0.1291817;0.7670873
12.245;0.1278388;0.7660553
12.246;0.1278719;0.7652066
12.246;0.1277029;0.7651188
12.277;0.1264102;0.7639025
12.278;0.1263937;0.763572
12.279;0.125655;0.7627211
12.279;0.12733;0.7637694
12.28;0.122249;0.7802511
12.281;0.1242691;0.7816018
12.282;0.1195503;0.7971328
12.007;0.1659418;0.2702729;;
12.008;0.173578;0.2997382;;
12.074;0.1738207;0.3132591;;
12.076;0.2597283;0.3140945;;
12.076;0.2564413;0.3854646;;
12.109;0.2693964;0.4049287;;
12.109;0.2793005;0.4265761;;
12.11;0.2792758;0.4463252;;
12.111;0.2602428;0.5427748;;
12.111;0.1857027;0.5704904;;
12.141;0.1637482;0.6564663;;
12.142;0.164906;0.6625698;;
12.143;0.1422377;0.7439529;;
12.144;0.1425935;0.7436392;;
12.145;0.1301118;0.7771569;;
12.146;0.1307848;0.7753686;;
12.146;0.131241;0.7754123;;
12.176;0.1317526;0.7751623;;
12.177;0.1317712;0.7751074;;
12.178;0.1322108;0.7740864;;
