timestamp;radius;size;depth
2.9377929;1.5;0.3;2
41.0908451;2.5;0.65;6
46.686909;0.5;0.65;2
50.8975677;0.5;0.9;6
57.7003382;0.5;0.65;16
60.9058414;2.5;0.9;16
63.9776993;1.5;0.65;16
67.5624915;1.5;0.65;6
70.0435728;1.5;0.9;2
73.1372996;1.5;0.3;16
75.8625496;0.5;0.65;6
78.9673009;2.5;0.3;16
81.1124688;2.5;0.3;6
85.1114808;0.5;0.3;2
89.3888274;1.5;0.9;6
94.1139116;2.5;0.9;6
96.4154972;0.5;0.9;16
99.4103338;0.5;0.3;16
102.6589681;1.5;0.65;2
106.1773018;1.5;0.9;16
108.5791741;0.5;0.9;2
110.7233696;0.5;0.3;6
114.18645;1.5;0.3;6
116.5271594;2.5;0.3;2
119.2806862;2.5;0.65;2
122.1051793;2.5;0.65;16
125.4684896;2.5;0.9;2
