circCubeCube1Timestamp;circCubeCube1XPos;circCubeCube1YPos;circCubeCube1newCorr;circCubeCube1smoothCorr
0;;;0;0
0.1363604;;;0;0
0.294279;;;0;0
0.4506922;;;0;0
0.6071059;;;0;0
0.7635197;;;0;0
0.9194319;;;0;0
1.0763484;;;0;0
1.2322599;;;0;0
1.3886734;;;0;0
1.5455884;;;0;0
1.7015009;;;0;0
1.8579149;;;0;0
2.0143289;;;0;0
2.1707421;;;0;0
2.258;-0.4338414;-1.435891;;
2.279;-0.4591677;-1.427993;;
2.281;-0.4591677;-1.427993;;
2.3;-0.4713897;-1.424005;;
2.301;-0.4715117;-1.423965;;
2.302;-0.4715399;-1.423956;;
2.322;-0.5198095;-1.407041;;
2.322;-0.5201811;-1.406911;;
2.323;-0.5203661;-1.406846;;
2.324;-0.520418;-1.406828;;
2.3276571;;;-0.00688028807754948;-0.00114671467959158
2.258;-0.4338414;-1.435891;;
2.279;-0.4591677;-1.427993;;
2.281;-0.4591677;-1.427993;;
2.3;-0.4713897;-1.424005;;
2.301;-0.4715117;-1.423965;;
2.302;-0.4715399;-1.423956;;
2.322;-0.5198095;-1.407041;;
2.322;-0.5201811;-1.406911;;
2.323;-0.5203661;-1.406846;;
2.324;-0.520418;-1.406828;;
2.343;-0.5335615;-1.401895;;
2.344;-0.5336991;-1.401843;;
2.344;-0.5337225;-1.401835;;
2.345;-0.5337335;-1.40183;;
2.365;-0.5575582;-1.392523;;
2.365;-0.557864;-1.392404;;
2.366;-0.557864;-1.392404;;
2.367;-0.557864;-1.392404;;
2.386;-0.581733;-1.382598;;
2.387;-0.5819502;-1.382509;;
2.388;-0.5820172;-1.382482;;
2.408;-0.6063306;-1.371989;;
2.408;-0.6064314;-1.371946;;
2.409;-0.6066407;-1.371855;;
2.41;-0.6066407;-1.371855;;
2.429;-0.6301808;-1.361199;;
2.43;-0.6304345;-1.361084;;
2.431;-0.6304792;-1.361064;;
2.452;-0.6539493;-1.349941;;
2.453;-0.6541612;-1.349841;;
2.453;-0.6541963;-1.349824;;
2.454;-0.6542238;-1.349811;;
2.455;-0.6542308;-1.349808;;
2.473;-0.6779775;-1.338035;;
2.474;-0.6782501;-1.337899;;
2.475;-0.6782902;-1.33788;;
2.4835693;;;-0.0538646186465491;-0.0101241511206831
2.343;-0.5335615;-1.401895;;
2.344;-0.5336991;-1.401843;;
2.344;-0.5337225;-1.401835;;
2.345;-0.5337335;-1.40183;;
2.365;-0.5575582;-1.392523;;
2.365;-0.557864;-1.392404;;
2.366;-0.557864;-1.392404;;
2.367;-0.557864;-1.392404;;
2.386;-0.581733;-1.382598;;
2.387;-0.5819502;-1.382509;;
2.388;-0.5820172;-1.382482;;
2.408;-0.6063306;-1.371989;;
2.408;-0.6064314;-1.371946;;
2.409;-0.6066407;-1.371855;;
2.41;-0.6066407;-1.371855;;
2.429;-0.6301808;-1.361199;;
2.43;-0.6304345;-1.361084;;
2.431;-0.6304792;-1.361064;;
2.452;-0.6539493;-1.349941;;
2.453;-0.6541612;-1.349841;;
2.453;-0.6541963;-1.349824;;
2.454;-0.6542238;-1.349811;;
2.455;-0.6542308;-1.349808;;
2.473;-0.6779775;-1.338035;;
2.474;-0.6782501;-1.337899;;
2.475;-0.6782902;-1.33788;;
2.495;-0.7010835;-1.326075;;
2.496;-0.7013004;-1.325962;;
2.497;-0.7013642;-1.325929;;
2.498;-0.7013642;-1.325929;;
2.519;-0.7238649;-1.313778;;
2.519;-0.724033;-1.313687;;
2.52;-0.7241194;-1.31364;;
2.521;-0.7241347;-1.313632;;
2.522;-0.7241347;-1.313632;;
2.541;-0.7479324;-1.300226;;
2.542;-0.7481759;-1.300089;;
2.542;-0.748217;-1.300066;;
2.563;-0.7693571;-1.287665;;
2.564;-0.7695325;-1.287563;;
2.565;-0.7695888;-1.28753;;
