horizontalCube2Timestamp;horizontalCube2XPos;horizontalCube2YPos;horizontalCube2newCorr;horizontalCube2smoothCorr
0;;;0;0
0.3724877;;;0;0
0.6772962;;;0;0
0.9785955;;;0;0
1.2803954;;;0;0
1.581694;;;0;0
1.8834938;;;0;0
2.1852952;;;0;0
2.195;-3;0.8285286;;
2.198;-3;0.801316;;
2.199;-3;0.801316;;
2.22;-3;0.7480172;;
2.221;-3;0.7480172;;
2.242;-3;0.6900981;;
2.242;-3;0.6900981;;
2.265;-3;0.6276538;;
2.266;-3;0.6276538;;
2.266;-3;0.6276538;;
2.286;-3;0.588975;;
2.287;-3;0.5879796;;
2.289;-3;0.5871552;;
2.289;-3;0.5870914;;
2.309;-3;0.5342144;;
2.31;-3;0.5336961;;
2.311;-3;0.5335478;;
2.312;-3;0.5335478;;
2.332;-3;0.4799129;;
2.355;-3;0.4261107;;
2.357;-3;0.4261107;;
2.376;-3;0.3723195;;
2.377;-3;0.3723195;;
2.378;-3;0.3723195;;
2.399;-3;0.3198033;;
2.399;-3;0.3191654;;
2.4;-3;0.3191654;;
2.421;-3;0.2563276;;
2.421;-3;0.2554375;;
2.423;-3;0.2533156;;
2.424;-3;0.2533156;;
2.4875961;;;-0.413343977257315;-0.137781325752438
2.5;-3;0.0769987;;
2.501;-3;0.07654535;;
2.503;-3;0.07643159;;
2.504;-3;0.07641981;;
2.504;-3;0.07641778;;
2.506;-3;0.07641649;;
2.506;-3;0.07641649;;
2.507;-3;0.07641649;;
2.507;-3;0.07641649;;
2.509;-3;0.07641649;;
2.509;-3;0.07641649;;
2.51;-3;0.05343963;;
2.511;-3;0.04934001;;
2.524;-3;0.02174969;;
2.525;-3;0.02174969;;
2.525;-3;0.02174969;;
2.546;-3;-0.03060818;;
2.547;-3;-0.03110839;;
2.548;-3;-0.03119187;;
2.549;-3;-0.03121963;;
2.568;-3;-0.05755153;;
2.57;-3;-0.05785787;;
2.57;-3;-0.05786795;;
2.595;-3;-0.1385184;;
2.596;-3;-0.1391771;;
2.597;-3;-0.1392816;;
2.598;-3;-0.1393079;;
2.611;-3;-0.1944555;;
2.612;-3;-0.1958437;;
2.633;-3;-0.2453976;;
2.633;-3;-0.2459785;;
2.635;-3;-0.2465049;;
2.635;-3;-0.2465418;;
2.655;-3;-0.2723204;;
2.656;-3;-0.2956581;;
2.657;-3;-0.2990974;;
2.658;-3;-0.3001831;;
2.678;-3;-0.353626;;
2.68;-3;-0.353626;;
2.7;-3;-0.4061567;;
2.701;-3;-0.4070694;;
2.702;-3;-0.4073447;;
2.723;-3;-0.4339811;;
2.725;-3;-0.4344946;;
2.747;-3;-0.5127907;;
2.748;-3;-0.5145924;;
2.749;-3;-0.5145924;;
2.75;-3;-0.5145924;;
2.77;-3;-0.568272;;
2.77;-3;-0.568272;;
2.772;-3;-0.568272;;
2.7898975;;;0.249398023282727;-0.0546486513248629
2.793;-3;-0.621765;;
2.814;-3;-0.6747447;;
2.815;-3;-0.6753859;;
2.836;-3;-0.728884;;
2.836;-3;-0.728884;;
2.857;-3;-0.7820279;;
2.859;-3;-0.7825772;;
2.859;-3;-0.7826201;;
2.88;-3;-0.8094876;;
2.901;-3;-0.8874641;;
2.924;-3;-0.9425885;;
2.95;-3;-0.9893745;;
2.965;-3;-1.040784;;
2.992;-3;-1.105232;;
2.992;-3;-1.105232;;
3.035;-3;-1.1842;;
3.058;-3;-1.263783;;
3.08;-3;-1.318354;;
3.0911966;;;-0.43991257681428;-0.201286176929623
3.08;-3;-1.318354;;
3.102;-3;-1.371874;;
3.125;-3;-1.425132;;
3.126;-3;-1.425976;;
3.147;-3;-1.478087;;
3.17;-3;-1.532241;;
3.214;-3;-1.638212;;
3.216;-3;-1.639419;;
3.217;-3;-1.639419;;
3.217;-3;-1.639419;;
3.218;-3;-1.639419;;
3.238;-3;-1.693745;;
3.238;-3;-1.693745;;
3.239;-3;-1.693745;;
3.259;-3;-1.746984;;
3.26;-3;-1.746984;;
3.26;-3;-1.746984;;
3.261;-3;-1.746984;;
3.281;-3;-1.773117;;
3.282;-3;-1.773377;;
3.283;-3;-1.773445;;
3.284;-3;-1.80586;;
3.303;-3;-1.856986;;
3.311;-3;-1.85824;;
3.313;-3;-1.858296;;
3.326;-3;-1.91073;;
3.327;-3;-1.911545;;
3.328;-3;-1.911677;;
3.329;-3;-1.911717;;
3.33;-3;-1.911729;;
3.351;-3;-1.9338;;
3.352;-3;-1.942641;;
3.355;-3;-1.958198;;
3.355;-3;-1.958919;;
3.375;-3;-2.01432;;
3.375;-3;-2.014632;;
3.376;-3;-2.014922;;
3.3929967;;;0.444683456239239;0.0847229675692285
3.397;-3;-2.068883;;
3.398;-3;-2.069414;;
3.399;-3;-2.069493;;
3.4;-3;-2.069519;;
3.419;-3;-2.123158;;
3.42;-3;-2.123158;;
3.42;-3;-2.123158;;
3.421;-3;-2.123158;;
3.44;-3;-2.176427;;
3.441;-3;-2.177009;;
3.442;-3;-2.177092;;
3.443;-3;-2.177116;;
3.462;-3;-2.230318;;
3.463;-3;-2.230318;;
3.464;-3;-2.230318;;
3.485;-3;-2.282214;;
3.485;-3;-2.282949;;
3.507;-3;-2.310042;;
3.508;-3;-2.310291;;
3.529;-3;-2.388911;;
3.53;-3;-2.39026;;
3.531;-3;-2.390756;;
3.532;-3;-2.390756;;
3.552;-3;-2.444672;;
3.553;-3;-2.444672;;
3.553;-3;-2.444672;;
3.573;-3;-2.495289;;
3.575;-3;-2.497768;;
3.576;-3;-2.497768;;
3.596;-3;-2.552105;;
3.597;-3;-2.552105;;
3.597;-3;-2.552105;;
3.598;-3;-2.552105;;
3.599;-3;-2.552105;;
3.617;-3;-2.604671;;
3.618;-3;-2.60524;;
3.619;-3;-2.60537;;
3.619;-3;-2.605393;;
3.639;-3;-2.657393;;
3.64;-3;-2.658438;;
3.641;-3;-2.659178;;
3.662;-3;-2.685019;;
3.663;-3;-2.685328;;
3.664;-3;-2.685328;;
3.671;-3;-2.685328;;
3.672;-3;-2.685328;;
3.685;-3;-2.685328;;
3.686;-3;-2.685328;;
3.687;-3;-2.685328;;
3.687;-3;-2.685328;;
3.7053249;;;-0.441983750277547;-0.145737623617529
3.707;-3;-2.712264;;
3.708;-3;-2.712505;;
3.708;-3;-2.712531;;
3.709;-3;-2.712586;;
3.73;-3;-2.888056;;
3.732;-3;-2.889861;;
3.82;-3;-2.973255;;
3.821;-3;-2.973457;;
3.822;-3;-2.973485;;
3.843;-3;-2.890942;;
3.844;-3;-2.890246;;
3.865;-3;-2.839649;;
3.867;-3;-2.839144;;
3.867;-3;-2.839059;;
3.888;-3;-2.785295;;
3.888;-3;-2.785295;;
3.889;-3;-2.785295;;
3.91;-3;-2.731889;;
3.91;-3;-2.731682;;
3.911;-3;-2.731321;;
3.912;-3;-2.731263;;
3.932;-3;-2.679089;;
3.932;-3;-2.678813;;
3.933;-3;-2.678424;;
3.933;-3;-2.678424;;
3.953;-3;-2.625641;;
3.954;-3;-2.625142;;
3.955;-3;-2.625014;;
3.955;-3;-2.624993;;
3.975;-3;-2.598469;;
3.975;-3;-2.598288;;
3.976;-3;-2.598158;;
3.998;-3;-2.519055;;
3.999;-3;-2.518167;;
4;-3;-2.518167;;
4.006624;;;-0.364168211593502;-0.12048950187727
3.998;-3;-2.519055;;
3.999;-3;-2.518167;;
4;-3;-2.518167;;
4.027;-3;-2.464549;;
4.028;-3;-2.464549;;
4.041;-3;-2.407938;;
4.042;-3;-2.407068;;
4.042;-3;-2.406921;;
4.043;-3;-2.406858;;
4.044;-3;-2.406846;;
4.045;-3;-2.406843;;
4.064;-3;-2.357619;;
4.064;-3;-2.357556;;
4.065;-3;-2.357071;;
4.086;-3;-2.300275;;
4.087;-3;-2.299726;;
4.088;-3;-2.299638;;
4.089;-3;-2.299611;;
4.11;-3;-2.250123;;
4.111;-3;-2.24969;;
4.111;-3;-2.249627;;
4.112;-3;-2.249542;;
4.133;-3;-2.223115;;
4.133;-3;-2.22297;;
4.134;-3;-2.222825;;
4.155;-3;-2.144122;;
4.156;-3;-2.143347;;
4.157;-3;-2.143232;;
4.158;-3;-2.143203;;
4.178;-3;-2.089449;;
4.179;-3;-2.08894;;
4.18;-3;-2.088822;;
4.18;-3;-2.088802;;
4.2;-3;-2.035971;;
4.201;-3;-2.035464;;
4.202;-3;-2.035321;;
4.222;-3;-1.981466;;
4.223;-3;-1.981466;;
4.245;-3;-1.928616;;
4.246;-3;-1.928213;;
4.247;-3;-1.928079;;
4.247;-3;-1.928076;;
4.248;-3;-1.928034;;
