timestamp;radius;size;depth
2.1015762;1.5;0.9;16
7.7415487;0.5;0.65;16
9.6412663;1.5;0.9;2
12.1318747;2.5;0.9;6
15.0020158;1.5;0.65;6
16.9572043;1.5;0.3;16
19.0571316;0.5;0.65;6
21.7046563;0.5;0.9;16
24.195265;2.5;0.65;2
26.2281585;2.5;0.9;2
27.8364341;0.5;0.3;2
30.0483122;0.5;0.65;2
32.3717715;2.5;0.3;6
34.1479842;1.5;0.3;6
36.3372935;1.5;0.9;6
37.7555565;2.5;0.65;16
40.1794958;2.5;0.9;16
42.0003342;2.5;0.3;16
44.133494;0.5;0.9;6
46.3343365;1.5;0.65;16
48.0428693;0.5;0.3;16
50.3103889;2.5;0.65;6
51.7962654;1.5;0.3;2
54.0188179;0.5;0.9;2
57.4257563;1.5;0.65;2
58.9001683;2.5;0.3;2
61.245957;0.5;0.3;6
