timestamp;radius;size;depth
2.7894357;0.5;0.3;16
7.5997588;1.5;0.9;16
14.3020861;2.5;0.65;6
28.0411776;1.5;0.9;6
37.8482681;2.5;0.9;16
49.0641034;1.5;0.65;16
55.3739385;1.5;0.3;16
71.0797245;0.5;0.3;2
90.1705624;2.5;0.9;2
96.379592;2.5;0.65;16
101.584477;0.5;0.9;2
107.9624387;2.5;0.9;6
112.3756832;1.5;0.9;2
117.0686731;1.5;0.3;2
123.8798024;0.5;0.65;2
127.0968579;2.5;0.3;2
132.101167;1.5;0.65;6
137.1831815;1.5;0.3;6
140.3791903;0.5;0.3;6
145.3599428;0.5;0.65;16
150.398351;0.5;0.9;6
153.5366973;0.5;0.65;6
157.2891767;0.5;0.9;16
161.8914169;2.5;0.65;2
164.7074066;2.5;0.3;6
167.287175;1.5;0.65;2
170.7609216;2.5;0.3;16
