Timestamp;Name;smoothCorrel;speed;task;selected;correlationToIntendedObject;objectSize
8.8640733;0.0050135;0;;0;30;;(11.9, 3.9);23.49318
8.8680842;0.0090244;0;;0;30;;(11.9, 3.9);23.49318
8.8680842;0.0090244;0;;0;30;;(11.9, 3.9);23.49318
8.8680842;0.0090244;0;;0;30;;(11.9, 3.9);23.49318
8.8680842;0.0090244;0;;0;30;;(11.9, 3.9);23.49318
8.8680842;0.0090244;0;;0;45;;(4.2, 3.9);8.469223
8.8685852;0.0095254;0;;0;45;;(4.2, 3.9);8.469223
8.8685852;0.0095254;0;;0;45;;(4.2, 3.9);8.469223
8.8685852;0.0095254;0;;0;45;;(4.2, 3.9);8.469223
8.8685852;0.0095254;0;;0;45;;(4.2, 3.9);8.469223
8.9588257;0.0997659;6;;0.2948489;30;;(7.5, 4.1);23.49317
8.9588257;0.0997659;6;;0.151172;30;;(9.5, 3.4);23.49317
8.9588257;0.0997659;6;;-0.3041289;30;;(15.7, 3.4);23.49317
8.9593272;0.1002674;6;;-0.2947992;30;;(19.9, 4.0);23.49317
8.9593272;0.1002674;6;;-0.1511718;30;;(16.2, 5.9);23.49317
8.9593272;0.1002674;6;;-0.1608973;45;;(3.8, 4.0);8.469227
8.9593272;0.1002674;6;;-0.1507549;45;;(4.1, 3.4);8.469227
8.9593272;0.1002674;6;;0.3049772;45;;(4.8, 3.4);8.469227
8.9593272;0.1002674;6;;0.1608516;45;;(5.2, 4.1);8.469227
8.9598282;0.1007684;6;;0.1507547;45;;(4.7, 6.1);8.469227
9.0245002;0.1654404;6;;0.1760334;30;;(7.5, 4.2);23.49317
9.0245002;0.1654404;6;;0.2135316;30;;(9.3, 3.4);23.49317
9.0250022;0.1659424;6;;-0.1805925;30;;(15.4, 3.4);23.49317
9.0250022;0.1659424;6;;-0.176003;30;;(19.9, 4.0);23.49317
9.0250022;0.1659424;6;;-0.2135313;30;;(16.5, 5.8);23.49317
9.0250022;0.1659424;6;;-0.2182708;45;;(3.8, 3.9);8.469227
9.0250022;0.1659424;6;;-0.2153307;45;;(4.1, 3.4);8.469227
