largeCube3Timestamp;largeCube3XPos;largeCube3YPos;largeCube3newCorr;largeCube3smoothCorr
0;;;0;0
0.1819812;;;0;0
0.4837791;;;0;0
0.7850765;;;0;0
1.0863732;;;0;0
1.3881711;;;0;0
1.6899703;;;0;0
1.991267;;;0;0
2.209;0.3863031;2.5;;
2.2930649;;;0;0
2.295;0.2072659;2.5;;
2.316;0.1630679;2.5;;
2.34;0.1183564;2.5;;
2.34;0.1183564;2.5;;
2.341;0.1183564;2.5;;
2.361;0.07407467;2.5;;
2.384;0.0289364;2.5;;
2.385;0.02853072;2.5;;
2.407;-0.01510163;2.5;;
2.431;-0.05999357;2.5;;
2.454;-0.1046253;2.5;;
2.455;-0.1049933;2.5;;
2.497;-0.1940961;2.5;;
2.519;-0.238674;2.5;;
2.519;-0.2389916;2.5;;
2.54;-0.2832903;2.5;;
2.585;-0.3725586;2.5;;
2.5948634;;;-0.333514305937612;-0.111171435312537
2.585;-0.3725586;2.5;;
2.629;-0.4617788;2.5;;
2.674;-0.5508908;2.5;;
2.695;-0.5955313;2.5;;
2.696;-0.5965482;2.5;;
2.7;-0.5970119;2.5;;
2.721;-0.6398081;2.5;;
2.722;-0.6408199;2.5;;
2.743;-0.684534;2.5;;
2.743;-0.6845449;2.5;;
2.765;-0.7292681;2.5;;
2.766;-0.7301828;2.5;;
2.787;-0.7740771;2.5;;
2.788;-0.7753863;2.5;;
2.789;-0.7755946;2.5;;
2.808;-0.8196127;2.5;;
2.809;-0.820087;2.5;;
2.83;-0.8641525;2.5;;
2.831;-0.8645849;2.5;;
2.851;-0.9080165;2.5;;
2.852;-0.9088426;2.5;;
2.853;-0.9092454;2.5;;
2.873;-0.9527144;2.5;;
2.875;-0.9538572;2.5;;
2.8961616;;;-0.321179399369064;-0.218231235102225
2.897;-0.9978073;2.5;;
2.897;-0.9980578;2.5;;
2.898;-0.9987082;2.5;;
2.899;-0.998806;2.5;;
2.919;-1.042908;2.5;;
2.92;-1.043235;2.5;;
2.923;-1.043431;2.5;;
2.925;-1.043455;2.5;;
2.943;-1.087137;2.5;;
2.944;-1.088102;2.5;;
2.945;-1.088261;2.5;;
2.946;-1.088311;2.5;;
2.965;-1.129962;2.5;;
2.967;-1.132696;2.5;;
2.968;-1.132696;2.5;;
2.986;-1.17695;2.5;;
2.988;-1.17748;2.5;;
2.989;-1.177538;2.5;;
2.989;-1.177533;2.5;;
3.009;-1.22168;2.5;;
3.01;-1.222096;2.5;;
3.01;-1.222163;2.5;;
3.011;-1.222221;2.5;;
3.045;-1.287178;2.5;;
3.046;-1.287652;2.5;;
3.047;-1.287652;2.5;;
3.073;-1.333776;2.5;;
3.073;-1.333776;2.5;;
3.074;-1.333776;2.5;;
3.075;-1.333776;2.5;;
3.075;-1.333776;2.5;;
3.076;-1.333776;2.5;;
3.077;-1.333776;2.5;;
3.095;-1.379891;2.5;;
3.096;-1.380425;2.5;;
3.097;-1.380499;2.5;;
3.098;-1.396536;2.5;;
3.117;-1.423232;2.5;;
3.118;-1.423506;2.5;;
3.125;-1.423573;2.5;;
3.126;-1.441051;2.5;;
3.139;-1.479329;2.5;;
3.14;-1.479856;2.5;;
3.14;-1.480094;2.5;;
3.141;-1.480094;2.5;;
3.16;-1.513159;2.5;;
3.161;-1.513159;2.5;;
3.161;-1.513159;2.5;;
3.162;-1.513159;2.5;;
3.181;-1.556954;2.5;;
3.182;-1.557426;2.5;;
3.183;-1.5575;2.5;;
3.184;-1.557528;2.5;;
3.1979592;;;0.458760963025779;-0.0653109140936324
3.204;-1.602035;2.5;;
3.204;-1.602035;2.5;;
3.226;-1.646074;2.5;;
3.227;-1.646581;2.5;;
3.228;-1.646581;2.5;;
3.247;-1.691201;2.5;;
3.269;-1.735931;2.5;;
3.27;-1.736322;2.5;;
3.315;-1.824948;2.5;;
3.316;-1.825349;2.5;;
3.337;-1.868901;2.5;;
3.338;-1.869539;2.5;;
3.339;-1.869852;2.5;;
3.34;-1.869903;2.5;;
3.34;-1.869925;2.5;;
3.36;-1.914491;2.5;;
3.361;-1.914491;2.5;;
3.361;-1.914491;2.5;;
3.381;-1.95894;2.5;;
3.382;-1.959396;2.5;;
3.403;-2.003426;2.5;;
3.404;-2.003815;2.5;;
3.405;-2.003945;2.5;;
3.406;-2.003945;2.5;;
3.425;-2.048852;2.5;;
3.425;-2.048852;2.5;;
3.446;-2.094378;2.5;;
3.447;-2.09483;2.5;;
3.448;-2.094894;2.5;;
3.49;-2.182504;2.5;;
3.49;-2.182848;2.5;;
3.491;-2.183027;2.5;;
3.492;-2.183027;2.5;;
3.4992556;;;0.329453150596803;0.155678238084506
3.446;-2.094378;2.5;;
3.447;-2.09483;2.5;;
3.448;-2.094894;2.5;;
3.49;-2.182504;2.5;;
3.49;-2.182848;2.5;;
3.491;-2.183027;2.5;;
3.492;-2.183027;2.5;;
3.512;-2.227597;2.5;;
3.513;-2.227597;2.5;;
3.513;-2.227597;2.5;;
3.533;-2.271827;2.5;;
3.534;-2.272276;2.5;;
3.535;-2.272349;2.5;;
3.538;-2.272365;2.5;;
3.552;-2.309133;2.5;;
3.556;-2.316378;2.5;;
3.577;-2.33893;2.5;;
3.578;-2.357726;2.5;;
3.579;-2.360597;2.5;;
3.598;-2.384181;2.5;;
3.599;-2.384438;2.5;;
3.6;-2.384476;2.5;;
3.601;-2.400851;2.5;;
3.602;-2.406144;2.5;;
3.62;-2.428949;2.5;;
3.621;-2.429212;2.5;;
3.622;-2.42925;2.5;;
3.642;-2.472834;2.5;;
3.643;-2.473262;2.5;;
3.643;-2.473336;2.5;;
3.644;-2.473376;2.5;;
3.645;-2.490957;2.5;;
3.663;-2.517657;2.5;;
3.664;-2.518019;2.5;;
3.665;-2.518019;2.5;;
3.685;-2.562472;2.5;;
3.686;-2.563029;2.5;;
3.686;-2.563029;2.5;;
3.687;-2.563029;2.5;;
3.707;-2.606802;2.5;;
3.708;-2.607189;2.5;;
3.708;-2.607222;2.5;;
3.729;-2.651484;2.5;;
3.729;-2.652021;2.5;;
3.73;-2.652021;2.5;;
3.731;-2.652021;2.5;;
3.8010543;;;-0.356819844903945;0.143798089572879
3.803;-2.807728;2.5;;
3.803;-2.807731;2.5;;
3.806;-2.808227;2.5;;
3.807;-2.80826;2.5;;
3.807;-2.808266;2.5;;
3.808;-2.808271;2.5;;
3.809;-2.808271;2.5;;
3.809;-2.808271;2.5;;
3.81;-2.808271;2.5;;
3.81;-2.808271;2.5;;
3.811;-2.808271;2.5;;
3.812;-2.808271;2.5;;
3.813;-2.825911;2.5;;
3.813;-2.828951;2.5;;
3.826;-2.852748;2.5;;
3.827;-2.853095;2.5;;
3.828;-2.853173;2.5;;
3.828;-2.853186;2.5;;
3.848;-2.897436;2.5;;
3.848;-2.897788;2.5;;
3.849;-2.897962;2.5;;
3.85;-2.897986;2.5;;
3.87;-2.942173;2.5;;
3.871;-2.942173;2.5;;
3.891;-2.986529;2.5;;
3.892;-2.986909;2.5;;
3.893;-2.987029;2.5;;
3.913;-2.999836;2.5;;
3.914;-2.999952;2.5;;
3.914;-2.999966;2.5;;
3.915;-2.99999;2.5;;
3.935;-2.951748;2.5;;
3.936;-2.950984;2.5;;
