timestamp;radius;size;depth
4.6668813;2.5;0.65;6
77.9022013;1.5;0.9;6
90.7153516;1.5;0.65;2
101.371123;1.5;0.9;16
106.4761664;1.5;0.65;6
108.5311176;1.5;0.65;16
117.5901526;2.5;0.9;2
122.3482163;1.5;0.3;2
125.7211737;2.5;0.9;6
129.1277118;0.5;0.65;16
132.6355269;0.5;0.9;2
176.0754539;2.5;0.65;2
184.8664149;0.5;0.3;2
201.4424929;0.5;0.9;6
214.2209864;2.5;0.3;2
217.6501004;2.5;0.3;16
219.9171159;0.5;0.65;2
238.7496081;0.5;0.65;6
245.350892;2.5;0.9;16
249.5625745;0.5;0.3;6
255.9851133;0.5;0.3;16
277.5097574;2.5;0.65;16
283.7638674;0.5;0.9;16
289.0258283;2.5;0.3;6
293.962927;1.5;0.9;2
297.2802395;1.5;0.3;6
299.0674822;1.5;0.3;16
