large (1)Cube1Timestamp;large (1)Cube1XPos;large (1)Cube1YPos;large (1)Cube1newCorr;large (1)Cube1smoothCorr
0;;;0;0
0.1910079;;;0;0
0.4923087;;;0;0
0.7936094;;;0;0
1.0954128;;;0;0
1.396712;;;0;0
1.6985145;;;0;0
1.9998151;;;0;0
2.125;-1.611642;0;;
2.185;-1.744977;0;;
2.206;-1.799646;0;;
2.228;-1.852455;0;;
2.25;-1.907816;0;;
2.251;-1.908347;0;;
2.272;-1.960049;0;;
2.273;-1.960049;0;;
2.293;-2.012815;0;;
2.295;-2.013464;0;;
2.3021263;;;-0.425590367877441;-0.10639759196936
2.272;-1.960049;0;;
2.273;-1.960049;0;;
2.293;-2.012815;0;;
2.295;-2.013464;0;;
2.315;-2.065832;0;;
2.36;-2.173856;0;;
2.382;-2.227728;0;;
2.432;-2.333888;0;;
2.471;-2.440941;0;;
2.493;-2.494684;0;;
2.494;-2.495882;0;;
2.561;-2.656498;0;;
2.561;-2.656621;0;;
2.6034271;;;0.487721634213549;0.015532816584027
2.605;-2.763235;0;;
2.606;-2.763684;0;;
2.627;-2.816422;0;;
2.629;-2.817523;0;;
2.65;-2.869373;0;;
2.651;-2.870176;0;;
2.652;-2.870415;0;;
2.673;-2.924477;0;;
2.674;-2.924981;0;;
2.674;-2.925068;0;;
2.695;-2.9779;0;;
2.696;-2.978426;0;;
2.718;-2.999757;0;;
2.719;-2.999951;0;;
2.72;-3;0;;
2.74;-2.946768;0;;
2.741;-2.946768;0;;
2.763;-2.895927;0;;
2.765;-2.893375;0;;
2.785;-2.839496;0;;
2.786;-2.838945;0;;
2.787;-2.838848;0;;
2.788;-2.838832;0;;
2.808;-2.786571;0;;
2.829;-2.732074;0;;
2.83;-2.731524;0;;
2.831;-2.731442;0;;
2.832;-2.731416;0;;
2.865;-2.643518;0;;
2.874;-2.624897;0;;
2.875;-2.624486;0;;
2.875;-2.624416;0;;
2.895;-2.571478;0;;
2.896;-2.570925;0;;
2.897;-2.570849;0;;
2.897;-2.570836;0;;
2.9047278;;;-0.454159367991304;-0.098007025413799
2.895;-2.571478;0;;
2.896;-2.570925;0;;
2.897;-2.570849;0;;
2.897;-2.570836;0;;
2.918;-2.520117;0;;
