Timestamp;SelectionTime;Name;smoothCorrel;intendedObject;correlationToIntendedObject;correct?;threshold;w;corrWindow;corrFrequency
8.5212266;0.904805;2;0.7868243;1;0.00137924038221365;False;0.6;300;900;0.3;
10.5924424;1.2146143;2;0.6619154;2;1;True;0.6;300;900;0.3;
12.1745153;1.2221123;2;0.6510606;2;1;True;0.6;300;900;0.3;
13.9486203;1.2091221;3;0.8375193;3;1;True;0.6;300;900;0.3;
15.2329141;0.9073505;5;0.6564419;4;0.93844589936795;False;0.6;300;900;0.3;
17.0875958;1.2201877;1;0.6601374;1;1;True;0.6;300;900;0.3;
18.4173903;0.9194051;4;0.6176838;4;1;True;0.6;300;900;0.3;
20.1126105;1.2079212;4;0.8123787;4;1;True;0.6;300;900;0.3;
21.6905998;1.2096415;2;0.6224771;2;1;True;0.6;300;900;0.3;
23.2973395;1.2087023;1;0.6847379;1;1;True;0.6;300;900;0.3;
24.6116744;0.9253244;4;0.7482485;4;1;True;0.6;300;900;0.3;
26.6121744;1.5071871;4;0.6427305;3;0.0241174126345358;False;0.6;300;900;0.3;
28.310438;1.2174478;2;0.6646608;2;1;True;0.6;300;900;0.3;
30.1639269;1.2159093;3;0.84721;3;1;True;0.6;300;900;0.3;
31.9875701;1.209162;2;0.6718794;2;1;True;0.6;300;900;0.3;
33.9325259;1.2211803;4;0.9105301;4;1;True;0.6;300;900;0.3;
35.3042287;0.9054665;5;0.6121534;4;0.948481749241611;False;0.6;300;900;0.3;
37.4163265;0.9182253;4;0.6207224;4;1;True;0.6;300;900;0.3;
39.1703182;1.2086985;2;0.6405932;2;1;True;0.6;300;900;0.3;
41.1103413;1.4964035;4;0.7679394;4;1;True;0.6;300;900;0.3;
42.454404;0.9179266;1;0.7342623;1;1;True;0.6;300;900;0.3;
44.519939;1.5148405;1;0.7205911;1;1;True;0.6;300;900;0.3;
45.953193;0.9208859;5;0.8633274;4;0.940928444214398;False;0.6;300;900;0.3;
47.3198014;0.9139057;3;0.6680673;3;1;True;0.6;300;900;0.3;
49.5441502;1.8198249;4;0.816124;4;1;True;0.6;300;900;0.3;
51.2359646;1.2002697;4;0.6953474;4;1;True;0.6;300;900;0.3;
52.898509;1.2098977;3;0.6000134;4;0.981438243985057;False;0.6;300;900;0.3;
