yCubeCube3Timestamp;yCubeCube3XPos;yCubeCube3YPos;yCubeCube3newCorr;yCubeCube3smoothCorr
0;;;0;0
0.4436761;;;0;0
0.9013894;;;0;0
1.3606073;;;0;0
1.8173181;;;0;0
2.21;-2;1.569447;;
2.21;-2;1.569447;;
2.211;-2;1.569447;;
2.229;-2;1.547186;;
2.251;-2;1.503375;;
2.253;-2;1.48412;;
2.255;-2;1.480713;;
2.256;-2;1.480345;;
2.276035;;;-0.290305199550939;-0.14515259977547
2.278;-2;1.435553;;
2.279;-2;1.435424;;
2.28;-2;1.435424;;
2.28;-2;1.435424;;
2.299;-2;1.391492;;
2.3;-2;1.391053;;
2.3;-2;1.390977;;
2.301;-2;1.390931;;
2.321;-2;1.346295;;
2.322;-2;1.345818;;
2.323;-2;1.345751;;
2.324;-2;1.345737;;
2.324;-2;1.345734;;
2.344;-2;1.301919;;
2.344;-2;1.301561;;
2.345;-2;1.301397;;
2.366;-2;1.25707;;
2.367;-2;1.256645;;
2.368;-2;1.256562;;
2.369;-2;1.256541;;
2.369;-2;1.256541;;
2.389;-2;1.212412;;
2.39;-2;1.211964;;
2.391;-2;1.21188;;
2.412;-2;1.167757;;
2.413;-2;1.167371;;
2.414;-2;1.167263;;
2.414;-2;1.167247;;
2.435;-2;1.123053;;
2.436;-2;1.122518;;
2.437;-2;1.122518;;
2.437;-2;1.122518;;
2.438;-2;1.122518;;
2.457;-2;1.078315;;
2.458;-2;1.07787;;
2.459;-2;1.07776;;
2.479;-2;1.034063;;
2.48;-2;1.03351;;
2.481;-2;1.03351;;
2.481;-2;1.03351;;
2.482;-2;1.03351;;
2.501;-2;0.9883195;;
2.502;-2;0.9876587;;
2.503;-2;0.9872507;;
2.523;-2;0.944562;;
2.524;-2;0.9441938;;
2.525;-2;0.9440848;;
2.526;-2;0.9440459;;
2.546;-2;0.899529;;
2.547;-2;0.8990829;;
2.548;-2;0.8990085;;
2.548;-2;0.8989715;;
2.549;-2;0.8989715;;
2.568;-2;0.8557174;;
2.569;-2;0.8553138;;
2.569;-2;0.8551332;;
2.59;-2;0.8098857;;
2.591;-2;0.8098857;;
2.592;-2;0.8098857;;
2.592;-2;0.8098857;;
2.593;-2;0.8098857;;
2.612;-2;0.7664883;;
2.612;-2;0.7659597;;
2.614;-2;0.7654193;;
2.634;-2;0.7209554;;
2.635;-2;0.7203906;;
2.635;-2;0.7203906;;
2.636;-2;0.7203906;;
2.657;-2;0.6757409;;
2.657;-2;0.6757409;;
2.658;-2;0.6757409;;
2.659;-2;0.6757409;;
2.679;-2;0.6317857;;
2.679;-2;0.6314607;;
2.68;-2;0.6312829;;
2.681;-2;0.6312425;;
2.701;-2;0.5868314;;
2.702;-2;0.5864035;;
2.702;-2;0.5863304;;
2.724;-2;0.5434273;;
2.725;-2;0.5425983;;
2.726;-2;0.5419589;;
2.727;-2;0.5419589;;
2.727;-2;0.5419589;;
2.7337483;;;0.493258930521034;0.101476865485047
2.702;-2;0.5864035;;
2.702;-2;0.5863304;;
2.724;-2;0.5434273;;
2.725;-2;0.5425983;;
2.726;-2;0.5419589;;
2.727;-2;0.5419589;;
2.727;-2;0.5419589;;
2.746;-2;0.5195771;;
2.747;-2;0.5193712;;
2.747;-2;0.5193598;;
2.748;-2;0.5192741;;
2.768;-2;0.4452933;;
2.769;-2;0.4452933;;
2.77;-2;0.4452933;;
2.771;-2;0.4452933;;
2.791;-2;0.4077574;;
2.792;-2;0.4077574;;
2.792;-2;0.4077574;;
2.793;-2;0.4077574;;
2.813;-2;0.3637927;;
2.814;-2;0.3632478;;
2.815;-2;0.3632478;;
2.836;-2;0.3104056;;
2.836;-2;0.3104056;;
2.837;-2;0.3104056;;
2.838;-2;0.3104056;;
2.839;-2;0.3104056;;
2.858;-2;0.2736832;;
2.858;-2;0.2736832;;
2.859;-2;0.2736832;;
2.88;-2;0.23034;;
2.881;-2;0.2297504;;
2.882;-2;0.2293891;;
2.882;-2;0.2293271;;
2.883;-2;0.2292935;;
2.902;-2;0.1849435;;
2.903;-2;0.1844795;;
2.903;-2;0.1844007;;
2.905;-2;0.1843567;;
2.926;-2;0.1400432;;
2.927;-2;0.1400432;;
2.927;-2;0.1400432;;
2.928;-2;0.1400432;;
2.928;-2;0.1400432;;
2.948;-2;0.09615229;;
2.948;-2;0.09572199;;
2.95;-2;0.09513557;;
2.969;-2;0.05073382;;
2.97;-2;0.05025759;;
2.971;-2;0.05017084;;
2.972;-2;0.05015857;;
2.991;-2;0.02853999;;
2.992;-2;0.0279675;;
2.993;-2;0.0279675;;
2.993;-2;0.0279675;;
3.016;-2;-0.03836577;;
3.017;-2;-0.03896183;;
3.018;-2;-0.03906145;;
3.019;-2;-0.03907642;;
3.039;-2;-0.08342689;;
3.04;-2;-0.08385552;;
3.04;-2;-0.08392902;;
3.041;-2;-0.08397865;;
