Timestamp;SelectionTime;IntendedPIN;EnteredPIN;correct;counterThreshold
40.4399333;28.9298443;6297;6297;True;30
72.5764612;25.0984809;7178;7178;True;30
106.3531866;28.4928585;5584;5484;False;30
144.845904;26.3039387;8185;8185;True;30
177.7291198;26.9062878;2605;2605;True;30
212.8026392;30.0905015;1143;1143;True;30
240.794975;23.5116614;6031;6031;True;30
276.1704959;31.1179387;9140;9140;True;30
307.2675545;26.7269045;9652;9652;True;30
343.9160358;32.1348606;2951;2951;True;30
