linearCube6Timestamp;linearCube6XPos;linearCube6YPos;linearCube6newCorr;linearCube6smoothCorr
0;;;0;0
0.406067;;;0;0
0.7083604;;;0;0
1.0096529;;;0;0
1.3114442;;;0;0
1.6127354;;;0;0
1.9145278;;;0;0
2.2158194;;;0;0
2.232;1.457736;-1.4;;
2.254;1.497358;-1.4;;
2.287;1.558402;-1.4;;
2.288;1.558754;-1.4;;
2.33;1.638468;-1.4;;
2.331;1.638468;-1.4;;
2.331;1.638468;-1.4;;
2.351;1.67815;-1.4;;
2.353;1.678637;-1.4;;
2.353;1.678637;-1.4;;
2.353;1.678637;-1.4;;
2.373;1.71872;-1.4;;
2.375;1.719211;-1.4;;
2.376;1.719211;-1.4;;
2.376;1.719211;-1.4;;
2.396;1.758757;-1.4;;
2.397;1.759068;-1.4;;
2.398;1.759189;-1.4;;
2.399;1.759264;-1.4;;
2.419;1.79947;-1.4;;
2.42;1.79947;-1.4;;
2.421;1.79947;-1.4;;
2.44;1.838788;-1.4;;
2.44;1.839256;-1.4;;
2.442;1.839755;-1.4;;
2.443;1.839809;-1.4;;
2.443;1.83983;-1.4;;
2.464;1.889932;-1.4;;
2.465;1.889932;-1.4;;
2.465;1.889932;-1.4;;
2.485;1.919462;-1.4;;
2.486;1.919745;-1.4;;
2.486;1.919793;-1.4;;
2.487;1.919826;-1.4;;
2.488;1.919834;-1.4;;
2.506;1.939735;-1.4;;
2.507;1.957012;-1.4;;
2.508;1.959745;-1.4;;
2.509;1.960177;-1.4;;
2.5176116;;;0.382767844097554;0.127589281365851
2.506;1.939735;-1.4;;
2.507;1.957012;-1.4;;
2.508;1.959745;-1.4;;
2.509;1.960177;-1.4;;
2.531;1.980476;-1.4;;
2.532;1.980654;-1.4;;
2.532;1.980685;-1.4;;
2.551;2.041184;-1.4;;
2.552;2.042105;-1.4;;
2.553;2.042627;-1.4;;
2.553;2.042715;-1.4;;
2.554;2.042764;-1.4;;
2.573;2.060726;-1.4;;
2.574;2.077065;-1.4;;
2.575;2.080318;-1.4;;
2.596;2.12077;-1.4;;
2.597;2.121104;-1.4;;
2.598;2.121207;-1.4;;
2.598;2.121217;-1.4;;
2.599;2.121251;-1.4;;
2.618;2.170173;-1.4;;
2.619;2.170173;-1.4;;
2.62;2.170173;-1.4;;
2.639;2.181187;-1.4;;
2.641;2.198891;-1.4;;
2.642;2.200825;-1.4;;
2.642;2.201128;-1.4;;
2.661;2.221536;-1.4;;
2.663;2.221769;-1.4;;
2.663;2.231737;-1.4;;
2.664;2.239388;-1.4;;
2.683;2.261889;-1.4;;
2.684;2.262134;-1.4;;
2.685;2.278954;-1.4;;
2.686;2.28142;-1.4;;
2.704;2.301953;-1.4;;
2.705;2.30217;-1.4;;
2.706;2.302233;-1.4;;
2.707;2.302233;-1.4;;
2.725;2.342335;-1.4;;
2.726;2.342798;-1.4;;
2.727;2.34288;-1.4;;
2.747;2.382435;-1.4;;
