circularCube1Timestamp;circularCube1XPos;circularCube1YPos;circularCube1newCorr;circularCube1smoothCorr
0;;;0;0
0.4095805;;;0;0
0.7199;;;0;0
1.0201919;;;0;0
1.3224899;;;0;0
1.6232832;;;0;0
1.9245782;;;0;0
2.216;-0.2463835;-1.984766;;
2.2263752;;;0;0
2.35;-0.4360378;-1.951889;;
2.351;-0.4360378;-1.951889;;
2.352;-0.4537351;-1.947851;;
2.353;-0.4537351;-1.947851;;
2.354;-0.4537351;-1.947851;;
2.355;-0.4537351;-1.947851;;
2.356;-0.4537351;-1.947851;;
2.357;-0.4537351;-1.947851;;
2.358;-0.4537351;-1.947851;;
2.359;-0.4537351;-1.947851;;
2.359;-0.4537351;-1.947851;;
2.36;-0.4537351;-1.947851;;
2.361;-0.4638343;-1.945452;;
2.362;-0.4693631;-1.944139;;
2.364;-0.4706445;-1.943834;;
2.365;-0.4707476;-1.94381;;
2.366;-0.4707684;-1.943805;;
2.367;-0.4707736;-1.943804;;
2.367;-0.4707736;-1.943804;;
2.386;-0.5044655;-1.935329;;
2.387;-0.5047699;-1.935253;;
2.388;-0.5048657;-1.935228;;
2.389;-0.5048957;-1.935221;;
2.408;-0.5378695;-1.926313;;
2.409;-0.5381839;-1.926228;;
2.409;-0.5383139;-1.926193;;
2.41;-0.5383139;-1.926193;;
2.429;-0.5727289;-1.916237;;
2.43;-0.5730554;-1.916143;;
2.431;-0.5731452;-1.916117;;
2.452;-0.6054697;-1.906146;;
2.453;-0.6057866;-1.906048;;
2.454;-0.6058348;-1.906033;;
2.476;-0.6384568;-1.895352;;
2.476;-0.6386565;-1.895287;;
2.477;-0.6388036;-1.895239;;
2.478;-0.6388253;-1.895231;;
2.479;-0.6388322;-1.895229;;
2.479;-0.6388322;-1.895229;;
2.498;-0.6720144;-1.883714;;
2.498;-0.6722693;-1.883626;;
2.499;-0.672456;-1.883561;;
2.519;-0.7050049;-1.871622;;
2.52;-0.7050049;-1.871622;;
2.521;-0.7050049;-1.871622;;
2.521;-0.7050049;-1.871622;;
