circular (2)Cube7Timestamp;circular (2)Cube7XPos;circular (2)Cube7YPos;circular (2)Cube7newCorr;circular (2)Cube7smoothCorr
0;;;0;0
0.4176099;;;0;0
0.7184092;;;0;0
1.0202125;;;0;0
1.3200082;;;0;0
1.6233148;;;0;0
1.9246156;;;0;0
2.2264173;;;0;0
2.256;1.992991;-0.1672869;;
2.258;1.992991;-0.1672869;;
2.26;1.992991;-0.1672869;;
2.261;1.994159;-0.1526006;;
2.262;1.994353;-0.150164;;
2.263;1.994385;-0.1497607;;
2.265;1.99439;-0.1497006;;
2.266;1.994391;-0.1496857;;
2.276;1.995587;-0.1327386;;
2.277;1.995637;-0.132029;;
2.278;1.995645;-0.1319144;;
2.299;1.997619;-0.09749587;;
2.32;1.999023;-0.06239613;;
2.322;1.999037;-0.06203294;;
2.323;1.999039;-0.0619957;;
2.342;1.999809;-0.02738339;;
2.364;1.999982;0.00769848;;
2.366;1.999983;0.008041571;;
2.387;1.99955;0.04192858;;
2.389;1.999537;0.0429696;;
2.409;1.998494;0.07742212;;
2.411;1.998471;0.07818079;;
2.432;1.996808;0.1128877;;
2.433;1.996788;0.1132992;;
2.454;1.994537;0.1476284;;
2.455;1.994492;0.148308;;
2.476;1.991578;0.183307;;
2.477;1.991549;0.1836594;;
2.498;1.98815;0.2172988;;
2.5;1.988045;0.2183422;;
2.522;1.984007;0.2523704;;
2.523;1.983934;0.2529842;;
2.5281432;;;0.291736519456731;0.0972455064855768
2.522;1.984007;0.2523704;;
2.523;1.983934;0.2529842;;
2.543;1.979344;0.2866229;;
2.545;1.979176;0.2878609;;
2.566;1.973925;0.3218533;;
2.568;1.973799;0.3226752;;
2.568;1.973799;0.3226752;;
2.588;1.96783;0.3572505;;
2.59;1.967766;0.3576235;;
2.59;1.967764;0.3576347;;
2.611;1.961413;0.3909368;;
2.612;1.961319;0.3914318;;
2.613;1.961274;0.3916659;;
2.614;1.961267;0.3917032;;
2.633;1.953857;0.4271146;;
2.634;1.953786;0.427452;;
2.635;1.953767;0.4275437;;
2.635;1.953764;0.4275577;;
2.655;1.946574;0.4591426;;
2.656;1.946442;0.4597219;;
2.657;1.946329;0.4602166;;
2.658;1.946312;0.4602914;;
2.676;1.938023;0.4940127;;
2.678;1.937918;0.4944408;;
2.679;1.937909;0.4944764;;
2.679;1.937908;0.4944825;;
2.698;1.929009;0.5281175;;
2.699;1.928912;0.5284851;;
2.7;1.928894;0.5285534;;
2.701;1.928894;0.5285534;;
2.72;1.919549;0.5615299;;
2.721;1.919452;0.5618724;;
2.722;1.919431;0.5619467;;
2.723;1.919426;0.5619628;;
2.742;1.90936;0.595254;;
2.743;1.909255;0.5956032;;
2.744;1.909227;0.5956938;;
2.745;1.909227;0.5956938;;
2.765;1.89911;0.6271462;;
2.767;1.898719;0.6283631;;
2.769;1.898477;0.6291152;;
2.77;1.898477;0.6291152;;
2.787;1.8876;0.6609944;;
2.787;1.887552;0.6611351;;
2.789;1.887241;0.6620489;;
2.79;1.88718;0.6622275;;
2.808;1.875465;0.6946917;;
2.809;1.875261;0.6952578;;
2.81;1.875146;0.6955769;;
2.811;1.875146;0.6955769;;
2.8299458;;;0.782011040986182;0.357915853480971
2.831;1.863008;0.7274315;;
2.832;1.862986;0.7274883;;
2.835;1.862803;0.7279697;;
2.836;1.862633;0.7284151;;
2.853;1.85002;0.7598615;;
2.854;1.849828;0.7603424;;
2.855;1.849637;0.7608169;;
2.856;1.849637;0.7608169;;
2.875;1.835736;0.7937607;;
2.876;1.835598;0.7940875;;
2.877;1.835566;0.7941642;;
2.878;1.835558;0.7941821;;
2.897;1.822286;0.8241629;;
2.898;1.822046;0.8247069;;
2.899;1.821938;0.8249488;;
2.9;1.821938;0.8249488;;
2.918;1.814923;0.8402634;;
2.919;1.80984;0.8511162;;
2.92;1.808362;0.8542725;;
2.985;1.767981;0.9349935;;
3.026;1.73402;0.996567;;
3.048;1.716452;1.026537;;
3.049;1.716299;1.026798;;
3.049;1.716273;1.026843;;
3.069;1.698053;1.056693;;
3.07;1.697864;1.057003;;
3.071;1.697834;1.057052;;
3.072;1.69783;1.057059;;
3.091;1.688712;1.071564;;
3.092;1.681191;1.083302;;
3.092;1.6799;1.085316;;
3.093;1.679257;1.08632;;
3.113;1.65604;1.121369;;
3.114;1.655477;1.122218;;
3.115;1.655229;1.122593;;
3.116;1.655195;1.122644;;
3.1202166;;;-0.936757395929436;0.0342475411283691
3.113;1.65604;1.121369;;
3.114;1.655477;1.122218;;
3.115;1.655229;1.122593;;
3.116;1.655195;1.122644;;
3.134;1.64011;1.144566;;
3.135;1.639969;1.14477;;
3.136;1.639922;1.144837;;
3.136;1.639922;1.144839;;
3.156;1.619554;1.173463;;
3.158;1.619185;1.173981;;
3.18;1.599159;1.20111;;
3.181;1.598873;1.201497;;
3.182;1.59874;1.201678;;
3.183;1.598719;1.201706;;
3.201;1.577732;1.229124;;
3.202;1.57752;1.2294;;
3.203;1.577464;1.229474;;
3.222;1.555762;1.256817;;
3.223;1.555527;1.257113;;
3.224;1.555491;1.257158;;
3.225;1.555482;1.25717;;
3.244;1.54454;1.270588;;
3.245;1.54442;1.270734;;
3.246;1.544403;1.270756;;
3.266;1.505366;1.31675;;
3.267;1.504885;1.317316;;
3.268;1.504885;1.317316;;
3.287;1.498792;1.324243;;
3.288;1.490452;1.333598;;
3.289;1.487401;1.337021;;
3.29;1.486942;1.337536;;
3.309;1.475465;1.350184;;
3.311;1.466035;1.360398;;
3.311;1.464238;1.362344;;
3.332;1.451241;1.376188;;
3.333;1.443864;1.383901;;
3.333;1.442158;1.385685;;
3.334;1.439136;1.388844;;
3.353;1.426719;1.401596;;
3.354;1.426719;1.401596;;
3.355;1.426719;1.401596;;
3.356;1.414387;1.41404;;
3.385;1.388787;1.439191;;
3.389;1.382829;1.444893;;
3.392;1.38048;1.44714;;
3.397;1.377271;1.450211;;
3.4280354;;;0.916521622472903;0.263377946746595
3.428;1.332334;1.491595;;
3.43;1.332312;1.491615;;
3.432;1.332288;1.491638;;
3.433;1.331968;1.491932;;
3.442;1.331968;1.491932;;
3.442;1.331968;1.491932;;
3.443;1.331968;1.491932;;
3.444;1.331968;1.491932;;
3.464;1.304812;1.515739;;
3.465;1.304812;1.515739;;
3.466;1.304812;1.515739;;
3.484;1.272196;1.543209;;
3.485;1.271818;1.543527;;
3.486;1.271766;1.54357;;
3.486;1.271758;1.543578;;
3.507;1.244827;1.565368;;
3.508;1.244438;1.565683;;
3.508;1.244264;1.565823;;
3.509;1.244194;1.56588;;
3.529;1.217543;1.586682;;
3.53;1.217056;1.587062;;
3.532;1.216895;1.587188;;
3.532;1.216889;1.587192;;
3.551;1.188551;1.608518;;
3.552;1.188247;1.608746;;
3.553;1.188199;1.608783;;
3.553;1.188193;1.608788;;
3.573;1.159863;1.629326;;
3.574;1.1596;1.629517;;
3.574;1.159501;1.629588;;
3.575;1.159501;1.629588;;
3.594;1.132096;1.64874;;
3.595;1.13183;1.648926;;
3.595;1.131739;1.64899;;
3.596;1.131739;1.64899;;
3.616;1.102582;1.668617;;
3.616;1.102533;1.66865;;
3.617;1.101947;1.669044;;
3.618;1.101861;1.669102;;
3.637;1.073608;1.68741;;
3.638;1.073299;1.68761;;
3.64;1.073241;1.687647;;
3.64;1.073241;1.687647;;
3.659;1.043162;1.706399;;
3.659;1.042916;1.706552;;
3.66;1.042786;1.706633;;
3.661;1.042766;1.706645;;
3.68;1.01275;1.724622;;
3.681;1.01242;1.72482;;
3.682;1.012363;1.724854;;
3.683;1.012363;1.724854;;
3.702;0.9832568;1.741602;;
3.703;0.9827991;1.741865;;
3.704;0.9825585;1.742003;;
3.705;0.982511;1.742031;;
3.7178055;;;-0.304589152456085;0.114296528768391
3.702;0.9832568;1.741602;;
3.703;0.9827991;1.741865;;
3.704;0.9825585;1.742003;;
3.705;0.982511;1.742031;;
3.724;0.9673269;1.750507;;
3.725;0.9671652;1.750597;;
3.726;0.9671389;1.750612;;
3.726;0.9671363;1.750613;;
3.747;0.9292952;1.770985;;
3.747;0.9291352;1.771071;;
3.748;0.9288893;1.771204;;
3.749;0.9288504;1.771224;;
3.769;0.8906339;1.790726;;
3.77;0.8899338;1.791084;;
3.779;0.8891953;1.791461;;
3.791;0.8573356;1.806917;;
3.792;0.8566557;1.807247;;
3.793;0.8566557;1.807247;;
3.793;0.8566557;1.807247;;
3.814;0.8261254;1.821405;;
3.815;0.8261254;1.821405;;
3.815;0.8261254;1.821405;;
3.816;0.8261254;1.821405;;
3.835;0.8102738;1.828511;;
3.836;0.7971249;1.834266;;
3.836;0.794864;1.835256;;
3.837;0.7933336;1.835925;;
3.838;0.7933336;1.835925;;
3.857;0.7783658;1.842318;;
3.858;0.768872;1.846279;;
3.859;0.7611716;1.849491;;
3.882;0.7283113;1.862676;;
3.883;0.7283113;1.862676;;
3.884;0.7283113;1.862676;;
3.901;0.7057183;1.871348;;
3.903;0.705206;1.871545;;
3.904;0.6958409;1.875048;;
3.905;0.6958409;1.875048;;
3.925;0.6621605;1.887205;;
3.926;0.6621605;1.887205;;
3.927;0.6621605;1.887205;;
3.928;0.6621605;1.887205;;
3.948;0.6303591;1.89806;;
3.949;0.6300647;1.898161;;
3.949;0.63002;1.898176;;
3.95;0.6299658;1.898195;;
3.951;0.6299574;1.898197;;
3.97;0.5970983;1.908785;;
3.971;0.5967798;1.908887;;
3.972;0.5966982;1.908913;;
3.973;0.5966773;1.90892;;
3.994;0.5634347;1.918987;;
3.995;0.5630135;1.919115;;
3.996;0.5627499;1.919195;;
4.0145951;;;-0.843854788759882;-0.292169928668125
3.994;0.5634347;1.918987;;
3.995;0.5630135;1.919115;;
3.996;0.5627499;1.919195;;
4.017;0.5288979;1.928792;;
4.018;0.5284671;1.928914;;
4.019;0.5280737;1.929025;;
4.041;0.5123709;1.933254;;
4.042;0.5120854;1.933331;;
4.063;0.4951248;1.937743;;
4.063;0.4949922;1.937777;;
4.064;0.4609114;1.946112;;
4.065;0.4563118;1.947237;;
4.085;0.4223922;1.954883;;
4.085;0.4223433;1.954894;;
4.086;0.4220323;1.954965;;
4.087;0.4219809;1.954976;;
4.106;0.3975895;1.96008;;
4.107;0.3916704;1.961269;;
4.108;0.3898998;1.961625;;
4.108;0.3896969;1.961666;;
4.128;0.3574956;1.967786;;
4.128;0.3573443;1.967815;;
4.129;0.3571313;1.967856;;
4.13;0.3570977;1.967862;;
4.149;0.3246857;1.973465;;
4.15;0.3243358;1.973526;;
4.157;0.324268;1.973537;;
4.158;0.3242644;1.973538;;
4.171;0.2899112;1.978871;;
4.172;0.2894225;1.978946;;
4.173;0.2893015;1.978965;;
4.173;0.2892811;1.978968;;
4.193;0.2554324;1.983614;;
4.194;0.2548562;1.983693;;
4.195;0.2545865;1.98373;;
4.215;0.2303006;1.986696;;
4.216;0.2199111;1.987873;;
4.217;0.2199111;1.987873;;
4.238;0.1847053;1.991449;;
4.239;0.184355;1.991485;;
4.24;0.184307;1.99149;;
4.24;0.1842988;1.99149;;
4.241;0.1842949;1.991491;;
4.262;0.1499996;1.994364;;
4.263;0.1497201;1.994387;;
4.263;0.1497179;1.994387;;
4.264;0.1495808;1.994399;;
4.284;0.1142827;1.996732;;
4.285;0.1142827;1.996732;;
4.285;0.1142827;1.996732;;
4.286;0.1142827;1.996732;;
4.3043644;;;0.110472622332599;-0.0303624241026162
4.284;0.1142827;1.996732;;
4.285;0.1142827;1.996732;;
4.285;0.1142827;1.996732;;
4.286;0.1142827;1.996732;;
4.306;0.0802623;1.998385;;
