circular (1)Cube2Timestamp;circular (1)Cube2XPos;circular (1)Cube2YPos;circular (1)Cube2newCorr;circular (1)Cube2smoothCorr
0;;;0;0
0.4176099;;;0;0
0.7184092;;;0;0
1.0202125;;;0;0
1.3200082;;;0;0
1.6233148;;;0;0
1.9246156;;;0;0
2.2264173;;;0;0
2.256;-0.4598295;-1.946422;;
2.258;-0.4598295;-1.946422;;
2.26;-0.4598295;-1.946422;;
2.261;-0.4453376;-1.949777;;
2.262;-0.4429332;-1.950334;;
2.263;-0.4425353;-1.950426;;
2.265;-0.442476;-1.95044;;
2.266;-0.4424613;-1.950443;;
2.276;-0.4259869;-1.954104;;
2.277;-0.4252971;-1.954257;;
2.278;-0.4251857;-1.954282;;
2.299;-0.3915101;-1.961302;;
2.32;-0.3470861;-1.969646;;
2.322;-0.3466265;-1.969733;;
2.323;-0.3465793;-1.969742;;
2.342;-0.3225033;-1.973825;;
2.364;-0.2876593;-1.979201;;
2.366;-0.2873185;-1.979254;;
2.387;-0.2539709;-1.983799;;
2.389;-0.2529214;-1.983942;;
2.409;-0.2185435;-1.988016;;
2.411;-0.2177865;-1.988106;;
2.432;-0.1832265;-1.991586;;
2.433;-0.1828167;-1.991627;;
2.454;-0.1485728;-1.994467;;
2.455;-0.1478949;-1.994523;;
2.476;-0.1051084;-1.997231;;
2.477;-0.1046775;-1.997258;;
2.498;-0.07853396;-1.998451;;
2.5;-0.0777231;-1.998488;;
2.522;-0.04345131;-1.999521;;
2.523;-0.04283319;-1.99954;;
2.5281432;;;-0.0429414000977345;-0.0143138000325782
2.522;-0.04345131;-1.999521;;
2.523;-0.04283319;-1.99954;;
2.543;-0.008746199;-1.99997;;
2.545;-0.007491657;-1.999986;;
2.566;0.02663924;-1.999816;;
2.568;0.02746449;-1.999811;;
2.568;0.02746449;-1.999811;;
2.588;0.06224024;-1.999027;;
2.59;0.06261536;-1.999019;;
2.59;0.0626267;-1.999019;;
2.611;0.09686333;-1.997646;;
2.612;0.09737224;-1.997626;;
2.613;0.0976129;-1.997616;;
2.614;0.0976513;-1.997615;;
2.633;0.138463;-1.995196;;
2.634;0.1388519;-1.995173;;
2.635;0.1389575;-1.995166;;
2.635;0.1389737;-1.995165;;
2.655;0.1667012;-1.993033;;
2.656;0.1672097;-1.992994;;
2.657;0.167644;-1.992961;;
2.658;0.1677096;-1.992956;;
2.676;0.2021428;-1.989754;;
2.678;0.20258;-1.989713;;
2.679;0.2026163;-1.98971;;
2.679;0.2026225;-1.989709;;
2.698;0.2368068;-1.985927;;
2.699;0.2371804;-1.985886;;
2.7;0.2372499;-1.985878;;
2.701;0.2372499;-1.985878;;
2.72;0.2719726;-1.981417;;
2.721;0.2723332;-1.981371;;
2.722;0.2724114;-1.981361;;
2.723;0.2724284;-1.981359;;
2.742;0.3067604;-1.97633;;
2.743;0.3071205;-1.976278;;
2.744;0.307214;-1.976264;;
2.745;0.307214;-1.976264;;
2.765;0.3396943;-1.970924;;
2.767;0.3409509;-1.970717;;
2.769;0.3417276;-1.970589;;
2.77;0.3417276;-1.970589;;
2.787;0.3841471;-1.96274;;
2.787;0.3843344;-1.962705;;
2.789;0.3855503;-1.96248;;
2.79;0.3857878;-1.962436;;
2.808;0.4100091;-1.957518;;
2.809;0.4104315;-1.957432;;
2.81;0.4106696;-1.957384;;
2.811;0.4106696;-1.957384;;
2.8299458;;;-0.0380275772942093;-0.0269896591306479
2.831;0.4435595;-1.950183;;
2.832;0.4436182;-1.95017;;
2.835;0.4441152;-1.950061;;
2.836;0.4445751;-1.94996;;
2.853;0.4880421;-1.939524;;
2.854;0.4887069;-1.939365;;
2.855;0.4893628;-1.939207;;
2.856;0.4893628;-1.939207;;
2.875;0.5128579;-1.933124;;
2.876;0.5130911;-1.933064;;
2.877;0.5131457;-1.93305;;
2.878;0.5131586;-1.933046;;
2.897;0.5458081;-1.924075;;
2.898;0.5464005;-1.923912;;
2.899;0.5466641;-1.923839;;
2.9;0.5466641;-1.923839;;
2.918;0.5628979;-1.919149;;
2.919;0.5743893;-1.915724;;
2.92;0.5777314;-1.914727;;
2.985;0.6637543;-1.886637;;
3.026;0.7329964;-1.860829;;
3.047;0.7618726;-1.849199;;
3.049;0.762171;-1.849079;;
3.049;0.7621931;-1.84907;;
3.069;0.7940149;-1.835627;;
3.07;0.7943451;-1.835487;;
3.071;0.7943974;-1.835465;;
3.072;0.7944049;-1.835462;;
3.091;0.8103468;-1.828479;;
3.091;0.8202763;-1.824026;;
3.092;0.8256767;-1.821604;;
3.093;0.826436;-1.821263;;
3.113;0.8572082;-1.806973;;
3.114;0.8579535;-1.806627;;
3.115;0.8582829;-1.806474;;
3.116;0.8583279;-1.806453;;
3.1202166;;;-0.0090314706744043;-0.022500112016587
3.113;0.8572082;-1.806973;;
3.114;0.8579535;-1.806627;;
3.115;0.8582829;-1.806474;;
3.116;0.8583279;-1.806453;;
3.134;0.8894789;-1.791315;;
3.135;0.8897689;-1.791174;;
3.136;0.8898653;-1.791128;;
3.136;0.8898671;-1.791127;;
3.156;0.9204657;-1.775588;;
3.158;0.9210197;-1.775307;;
3.18;0.9518597;-1.758959;;
3.181;0.9522995;-1.758726;;
3.182;0.9525049;-1.758617;;
3.183;0.9525375;-1.758599;;
3.201;0.9824697;-1.74205;;
3.202;0.9827716;-1.741883;;
3.203;0.9828527;-1.741838;;
3.222;1.013126;-1.724401;;
3.223;1.013454;-1.724212;;
3.224;1.013503;-1.724184;;
3.225;1.013516;-1.724177;;
3.244;1.028085;-1.715528;;
3.245;1.028243;-1.715434;;
3.246;1.028267;-1.71542;;
3.266;1.073128;-1.687709;;
3.267;1.07368;-1.687368;;
3.268;1.07368;-1.687368;;
3.287;1.088182;-1.67805;;
3.288;1.098624;-1.671214;;
3.289;1.102445;-1.668713;;
3.29;1.103019;-1.668337;;
3.309;1.117304;-1.658802;;
3.311;1.129006;-1.650844;;
3.311;1.131237;-1.649327;;
3.332;1.146429;-1.638809;;
3.333;1.155401;-1.632473;;
3.333;1.157477;-1.631007;;
3.334;1.161152;-1.628412;;
3.353;1.175372;-1.618178;;
3.354;1.175372;-1.618178;;
3.355;1.175372;-1.618178;;
3.356;1.189462;-1.607849;;
3.385;1.217469;-1.586748;;
3.389;1.22471;-1.581139;;
3.392;1.227564;-1.578928;;
3.397;1.231465;-1.575906;;
3.4280354;;;-0.0172456789251891;-0.0268115317478843
3.428;1.272069;-1.543314;;
3.43;1.272089;-1.543298;;
3.432;1.272111;-1.54328;;
3.433;1.2724;-1.543048;;
3.442;1.2724;-1.543048;;
3.442;1.2724;-1.543048;;
3.443;1.2724;-1.543048;;
3.444;1.2724;-1.543048;;
3.464;1.3128;-1.508826;;
3.465;1.3128;-1.508826;;
3.466;1.3128;-1.508826;;
3.484;1.338685;-1.485903;;
3.485;1.338985;-1.485637;;
3.486;1.339026;-1.485601;;
3.486;1.339033;-1.485595;;
3.507;1.364448;-1.462277;;
3.508;1.364815;-1.46194;;
3.508;1.36498;-1.461789;;
3.509;1.365046;-1.461728;;
3.529;1.389627;-1.43837;;
3.53;1.390077;-1.437942;;
3.532;1.390226;-1.437801;;
3.532;1.39023;-1.437796;;
3.551;1.414905;-1.413516;;
3.552;1.415169;-1.413256;;
3.553;1.415212;-1.413215;;
3.553;1.415217;-1.413209;;
3.573;1.445256;-1.382466;;
3.574;1.445534;-1.382181;;
3.574;1.445639;-1.382074;;
3.575;1.445639;-1.382074;;
3.594;1.463728;-1.362898;;
3.595;1.463903;-1.362712;;
3.595;1.463964;-1.362648;;
3.596;1.463964;-1.362648;;
3.616;1.487018;-1.337441;;
3.616;1.487056;-1.337399;;
3.617;1.487519;-1.336893;;
3.618;1.487587;-1.336818;;
3.637;1.510439;-1.310938;;
3.638;1.510689;-1.310655;;
3.64;1.510735;-1.310602;;
3.64;1.510735;-1.310602;;
3.659;1.533924;-1.283379;;
3.659;1.534113;-1.283157;;
3.66;1.534213;-1.283039;;
3.661;1.534228;-1.283021;;
3.68;1.555571;-1.257054;;
3.681;1.555806;-1.256768;;
3.682;1.555846;-1.256719;;
3.683;1.555846;-1.256719;;
3.702;1.577217;-1.229779;;
3.703;1.577553;-1.229355;;
3.704;1.57773;-1.229132;;
3.705;1.577765;-1.229088;;
3.7178055;;;-0.207249321393278;-0.0678885120717702
3.702;1.577217;-1.229779;;
3.703;1.577553;-1.229355;;
3.704;1.57773;-1.229132;;
3.705;1.577765;-1.229088;;
3.724;1.588375;-1.215344;;
3.725;1.588488;-1.215197;;
3.726;1.588506;-1.215174;;
3.726;1.588508;-1.215171;;
3.746;1.620806;-1.17173;;
3.747;1.621135;-1.171287;;
3.748;1.621195;-1.171206;;
3.749;1.621205;-1.171194;;
3.769;1.639429;-1.145529;;
3.77;1.639762;-1.145059;;
3.779;1.640115;-1.144563;;
3.791;1.662123;-1.112347;;
3.792;1.662592;-1.11166;;
3.793;1.662592;-1.11166;;
3.793;1.662592;-1.11166;;
3.814;1.67937;-1.086147;;
3.815;1.67937;-1.086147;;
3.815;1.67937;-1.086147;;
3.816;1.67937;-1.086147;;
3.835;1.689088;-1.07097;;
3.836;1.696174;-1.05969;;
3.836;1.697392;-1.05775;;
3.837;1.698217;-1.056437;;
3.838;1.698217;-1.056437;;
3.857;1.707287;-1.04171;;
3.858;1.712388;-1.033268;;
3.859;1.716526;-1.02642;;
3.882;1.738261;-0.9891651;;
3.883;1.738261;-0.9891651;;
3.884;1.738261;-0.9891651;;
3.901;1.742973;-0.9808376;;
3.903;1.74308;-0.9806488;;
3.904;1.751921;-0.9647648;;
3.905;1.751921;-0.9647648;;
3.925;1.768036;-0.9349064;;
3.926;1.768036;-0.9349064;;
3.927;1.768036;-0.9349064;;
3.928;1.768036;-0.9349064;;
3.948;1.783992;-0.9040778;;
3.949;1.78414;-0.9037923;;
3.949;1.784162;-0.903749;;
3.95;1.784189;-0.9036965;;
3.951;1.784194;-0.9036884;;
3.97;1.799667;-0.8724573;;
3.971;1.799817;-0.8721545;;
3.972;1.799856;-0.872077;;
3.973;1.799866;-0.8720571;;
3.994;1.814517;-0.8411305;;
3.995;1.814702;-0.8407386;;
3.996;1.814819;-0.8404933;;
4.0145951;;;0.000763280211443951;-0.0581907976953569
3.994;1.814517;-0.8411305;;
3.995;1.814702;-0.8407386;;
3.996;1.814819;-0.8404933;;
4.017;1.829105;-0.8089153;;
4.018;1.829287;-0.8085134;;
4.019;1.829453;-0.8081465;;
4.041;1.836356;-0.792333;;
4.042;1.836481;-0.7920455;;
4.063;1.852162;-0.7546377;;
4.063;1.852284;-0.7543454;;
4.064;1.85507;-0.7474646;;
4.065;1.855447;-0.746536;;
4.085;1.873635;-0.6996149;;
4.085;1.873661;-0.6995472;;
4.086;1.873828;-0.6991169;;
4.087;1.873855;-0.6990459;;
4.106;1.876709;-0.6913489;;
4.107;1.879972;-0.6823987;;
4.108;1.880948;-0.6797215;;
4.108;1.881059;-0.6794147;;
4.128;1.892752;-0.6461211;;
4.128;1.892807;-0.6459646;;
4.129;1.892885;-0.6457443;;
4.13;1.892897;-0.6457096;;
4.149;1.903745;-0.6129773;;
4.15;1.903862;-0.6126239;;
4.157;1.903884;-0.6125554;;
4.158;1.903885;-0.6125517;;
4.171;1.914686;-0.5778871;;
4.172;1.914839;-0.577394;;
4.173;1.914877;-0.5772719;;
4.173;1.914884;-0.5772513;;
4.193;1.925934;-0.5392038;;
4.194;1.926122;-0.538556;;
4.195;1.92621;-0.5382529;;
4.215;1.928997;-0.5281754;;
4.216;1.933629;-0.5109578;;
