linearCube2Timestamp;linearCube2XPos;linearCube2YPos;linearCube2newCorr;linearCube2smoothCorr
0;;;0;0
0.3760018;;;0;0
0.6828198;;;0;0
0.9841221;;;0;0
1.2854374;;;0;0
1.5867388;;;0;0
1.8885442;;;0;0
2.105;2.132023;0;;
2.124;2.154661;0;;
2.146;2.17671;0;;
2.147;2.17671;0;;
2.169;2.198983;0;;
2.169;2.198983;0;;
2.1903482;;;0.382461460892888;0.127487153630963
2.19;2.221216;0;;
2.191;2.221216;0;;
2.259;2.287967;0;;
2.331;2.355119;0;;
2.352;2.377166;0;;
2.353;2.377698;0;;
2.373;2.399812;0;;
2.375;2.400051;0;;
2.396;2.422214;0;;
2.417;2.444416;0;;
2.44;2.466549;0;;
2.462;2.489355;0;;
2.483;2.511643;0;;
2.484;2.511643;0;;
2.484;2.511643;0;;
2.4916505;;;-0.174103736545619;0.069452574782423
2.483;2.511643;0;;
2.484;2.511643;0;;
2.484;2.511643;0;;
2.505;2.533087;0;;
2.506;2.533505;0;;
2.507;2.53379;0;;
2.508;2.533829;0;;
2.527;2.556424;0;;
2.527;2.556622;0;;
2.528;2.556708;0;;
2.529;2.556719;0;;
2.53;2.556722;0;;
2.55;2.578851;0;;
2.55;2.578851;0;;
2.551;2.578851;0;;
2.571;2.600925;0;;
2.572;2.60115;0;;
2.573;2.601191;0;;
2.574;2.601198;0;;
2.574;2.6012;0;;
2.593;2.623445;0;;
2.594;2.623445;0;;
2.595;2.623445;0;;
2.615;2.64521;0;;
2.616;2.645571;0;;
2.618;2.6457;0;;
2.618;2.645714;0;;
2.637;2.667011;0;;
2.638;2.667404;0;;
2.639;2.668015;0;;
2.64;2.668105;0;;
2.658;2.679418;0;;
2.659;2.679548;0;;
2.66;2.688815;0;;
2.661;2.690143;0;;
2.68;2.701662;0;;
2.681;2.701779;0;;
2.682;2.711236;0;;
2.683;2.712556;0;;
2.706;2.734976;0;;
2.706;2.735128;0;;
2.707;2.735471;0;;
2.708;2.735471;0;;
2.726;2.757152;0;;
2.727;2.757513;0;;
2.728;2.757701;0;;
2.729;2.757737;0;;
2.749;2.768464;0;;
2.749;2.773144;0;;
2.751;2.779158;0;;
2.751;2.779411;0;;
2.771;2.791241;0;;
2.773;2.80102;0;;
2.773;2.802508;0;;
2.7939563;;;0.166181058110383;0.124846260819217
2.795;2.824534;0;;
2.796;2.82474;0;;
2.797;2.824775;0;;
2.817;2.846379;0;;
2.819;2.847081;0;;
2.839;2.869318;0;;
2.84;2.869549;0;;
2.841;2.869593;0;;
2.863;2.89174;0;;
2.864;2.891955;0;;
2.865;2.891988;0;;
2.886;2.91412;0;;
2.887;2.914378;0;;
2.908;2.936396;0;;
2.909;2.936658;0;;
2.91;2.936658;0;;
2.93;2.958808;0;;
2.931;2.959;0;;
2.952;2.981171;0;;
2.953;2.981364;0;;
2.974;3.003453;0;;
2.975;3.003649;0;;
2.975;3.00368;0;;
2.996;2.988989;0;;
2.997;2.988841;0;;
3.019;2.966431;0;;
3.02;2.966431;0;;
3.02;2.966431;0;;
3.04;2.94468;0;;
3.041;2.944222;0;;
3.062;2.933175;0;;
3.063;2.924248;0;;
3.064;2.922342;0;;
3.084;2.910828;0;;
3.085;2.901039;0;;
3.0957601;;;-0.380205568523069;-0.129376082319435
3.107;2.877404;0;;
3.109;2.877165;0;;
3.132;2.854597;0;;
3.154;2.832923;0;;
3.155;2.832678;0;;
3.174;2.810263;0;;
3.175;2.810021;0;;
3.199;2.787904;0;;
3.242;2.743454;0;;
3.265;2.721084;0;;
3.286;2.698638;0;;
3.295;2.698378;0;;
3.308;2.676347;0;;
3.309;2.676004;0;;
3.331;2.654235;0;;
3.332;2.654054;0;;
3.353;2.653984;0;;
3.374;2.642942;0;;
3.375;2.642842;0;;
3.375;2.642825;0;;
3.395;2.593217;0;;
3.3970626;;;0.487819646502211;0.0912650453631747
3.416;2.575857;0;;
3.417;2.575695;0;;
3.438;2.553845;0;;
3.439;2.553622;0;;
3.461;2.531369;0;;
3.462;2.531121;0;;
3.482;2.509106;0;;
3.482;2.509068;0;;
3.483;2.508823;0;;
3.503;2.486656;0;;
3.524;2.464056;0;;
3.525;2.464056;0;;
3.526;2.464056;0;;
3.546;2.441714;0;;
3.547;2.441714;0;;
3.589;2.397254;0;;
3.589;2.397103;0;;
3.611;2.374872;0;;
3.612;2.374674;0;;
3.633;2.35228;0;;
3.655;2.330023;0;;
3.677;2.307516;0;;
3.677;2.307516;0;;
3.698;2.296289;0;;
3.6988669;;;-0.447528915591875;-0.113304945870911
3.698;2.296289;0;;
3.72;2.274196;0;;
3.722;2.264421;0;;
3.743;2.251889;0;;
3.744;2.243644;0;;
3.771;2.229785;0;;
3.772;2.223711;0;;
3.773;2.219563;0;;
3.773;2.218852;0;;
