timestamp;radius;size;depth
2.7106997;0.5;0.3;16
8.383751;2.5;0.3;2
10.7645672;2.5;0.9;16
13.2737249;0.5;0.3;2
15.1050838;1.5;0.3;16
16.75847;0.5;0.65;2
19.0711055;0.5;0.3;6
21.0263638;0.5;0.65;16
23.102382;1.5;0.3;2
24.9908919;2.5;0.3;6
27.1240601;2.5;0.65;2
29.2577388;1.5;0.65;6
31.0665381;2.5;0.9;2
33.1731267;2.5;0.65;6
34.8560917;1.5;0.9;2
36.898009;0.5;0.9;2
39.578627;1.5;0.65;2
41.4350523;0.5;0.9;6
44.2038981;2.5;0.9;6
46.1711176;2.5;0.3;16
47.9122371;1.5;0.3;6
49.7766865;2.5;0.65;16
51.6311266;0.5;0.9;16
53.4634906;1.5;0.9;6
55.976173;1.5;0.65;16
57.7188077;0.5;0.65;6
59.182709;1.5;0.9;16
