gazeTimestamp;gazeXPos
636220894595334683;0
636220894595518577;0
636220894599144292;0
636220894599214788;0
636220894599254902;0
636220894599375207;0
636220894599515597;0
636220894599740187;0
636220894599960794;0
636220894600181682;0
636220894600377238;0
636220894600482509;0
636220894600598650;0
636220894600708994;0
636220894600819579;0
636220894600929532;0
636220894601044741;0
636220894601155032;0
636220894601265333;0
636220894601375623;0
636220894601485914;0
636220894601603823;0
636220894601714145;0
636220894601824481;0
636220894601939854;0
636220894602049059;0
636220894602159393;0
636220894602274701;0
636220894602389189;0
636220894602484677;0
636220894602613884;0
636220894602723467;0
636220894602833776;0
636220894602949097;0
636220894603058869;0
636220894603169226;0
636220894603274394;0
636220894603838867;0
636220894603949186;0
636220894604109928;0
636220894604195199;0
636220894604280416;0
636220894604395190;0
636220894604505481;0
636220894604624172;0
636220894604729463;0
636220894604839789;0
636220894604954870;0
636220894605065176;0
636220894605175774;0
636220894605284567;0
636220894605399311;0
636220894605519627;0
636220894605643571;0
636220894605734158;0
636220894605849768;0
636220894605959883;0
636220894606073418;0
636220894606178737;0
636220894606284352;0
636220894606408981;0
636220894606534348;0
636220894606634677;0
636220894606745004;0
636220894606849661;0
636220894606965010;0
636220894607074205;0
636220894607199319;0
636220894607334504;0
636220894607409704;0
636220894607520007;0
636220894607635594;0
636220894607744533;0
636220894607860033;0
636220894607969090;0
636220894608084432;0
636220894608185034;0
636220894608304543;0
636220894608414834;0
636220894608529465;0
636220894608639664;0
636220894608749822;0
636220894608869573;0
636220894608974853;0
636220894609083642;0
636220894609204111;0
636220894609308584;0
636220894609421259;0
636220894609528915;0
636220894609644265;0
636220894609759351;0
636220894609864672;0
636220894609979733;0
636220894610084004;0
636220894610203707;0
636220894610313477;0
636220894610423760;0
636220894610538452;0
636220894610648769;0
636220894610763612;0
636220894610873854;0
636220894610983647;0
636220894611088881;0
636220894611213725;0
636220894611318476;0
636220894611428767;0
636220894611544065;0
636220894611653817;0
636220894611769148;0
636220894611879470;0
636220894611988736;0
636220894612099067;0
636220894612214217;0
636220894612408660;0
636220894612443754;0
636220894612549034;0
636220894612663589;0
636220894612768831;0
636220894612884170;0
636220894612983662;0
636220894613108645;0
636220894613218726;0
636220894613333480;0
636220894613443781;0
636220894613554067;0
636220894613669176;0
636220894613778636;0
636220894613883879;0
636220894613998423;0
636220894614108760;0
636220894614224043;0
636220894614334063;0
636220894614444346;0
636220894614559657;0
636220894614673698;0
636220894614784042;0
636220894614884154;0
636220894615003497;0
636220894615118376;0
636220894615228514;0
636220894615338835;0
636220894615449121;0
636220894615564434;0
636220894615673649;0
636220894615788730;0
636220894615898461;0
636220894616018361;0
636220894616123665;0
636220894616233457;0
636220894616348579;0
636220894616458865;0
636220894616569155;0
636220894616678672;0
636220894616798500;0
636220894616903831;0
636220894617014091;0
636220894617128472;0
636220894617238444;0
636220894617353770;0
636220894617464068;0
636220894617574357;0
636220894617684070;0
636220894617798742;0
636220894617908841;0
636220894618018455;0
636220894618133413;0
636220894618248586;0
636220894618358729;0
636220894618469027;0
636220894618579320;0
636220894618688653;0
636220894618804038;0
636220894618913389;0
636220894619023539;0
636220894619138868;0
636220894619249181;0
636220894619358913;0
636220894619479229;0
636220894619584509;0
636220894619698448;0
636220894619808522;0
636220894619918572;0
636220894620033459;0
636220894620143543;0
636220894620253872;0
636220894620364193;0
636220894620479504;0
636220894620584782;0
636220894620703568;0
636220894620813887;0
636220894620924208;0
636220894621038913;0
636220894621149225;0
636220894621258744;0
636220894621374083;0
636220894621484373;0
636220894621584631;0
636220894621704153;0
636220894621819154;0
636220894621929323;0
636220894622043604;0
636220894622153915;0
636220894622264247;0
636220894622379581;0
636220894622488714;0
636220894622604053;0
636220894622714160;0
636220894622824172;0
636220894622933689;0
636220894623048540;0
636220894623158700;0
636220894623268720;0
636220894623383987;0
636220894623493737;0
636220894623604071;0
636220894623719400;0
636220894623829299;0
636220894623943660;0
636220894624053968;0
636220894624169310;0
636220894624279621;0
636220894624384899;0
636220894624498958;0
636220894624614231;0
636220894624723725;0
636220894624834031;0
636220894624949377;0
636220894625058718;0
636220894625169036;0
636220894625284358;0
636220894625389322;0
636220894625504653;0
636220894625619371;0
636220894625733512;0
636220894625839224;0
636220894625953695;0
636220894626063710;0
636220894626174049;0
636220894626284386;0
636220894626398813;0
636220894626509121;0
636220894626624269;0
636220894626734283;0
636220894626844283;0
636220894626959328;0
636220894627069328;0
636220894627178918;0
636220894627283828;0
636220894627403626;0
636220894627513914;0
636220894627629194;0
636220894627739306;0
636220894627853713;0
636220894627964036;0
636220894628074210;0
636220894628184526;0
636220894628289592;0
636220894628409221;0
636220894628519516;0
636220894628634281;0
636220894628744267;0
636220894628854402;0
636220894628968760;0
636220894629078811;0
636220894629189137;0
636220894629304512;0
636220894629414258;0
636220894629524557;0
636220894629639753;0
636220894629749847;0
636220894629859197;0
636220894629974077;0
636220894630084025;0
636220894630198927;0
636220894630309259;0
636220894630418711;0
636220894630534022;0
636220894630643728;0
636220894630754042;0
636220894630864363;0
636220894630978877;0
636220894631088848;0
636220894631199172;0
636220894631314238;0
636220894631424316;0
636220894631534610;0
636220894631649913;0
636220894631763763;0
636220894631873956;0
636220894631983925;0
636220894632099039;0
636220894632209302;0
636220894632318987;0
636220894632433662;0
636220894632538922;0
636220894632654228;0
636220894632763893;0
636220894632878900;0
636220894632989216;0
636220894633104609;0
636220894633214347;0
636220894633323744;0
636220894633439080;0
636220894633549374;0
636220894633669692;0
636220894633773861;0
636220894633884203;0
636220894633983863;0
636220894634108729;0
