CubeTimestamp;CubeXPos
636220871284885484;0
636220871285081005;0.2
636220871288610249;0.4
636220871288685187;0.6
636220871288764361;0.8
636220871288879704;1
636220871289024887;1.2
636220871289249068;1.4
636220871289469687;1.6
636220871289690281;1.8
636220871289884895;2
636220871290023648;2.2
636220871290103877;2.4
636220871290219245;2.6
636220871290329754;2.8
636220871290440043;3
636220871290550338;3.200001
636220871290660632;3.400001
636220871290779266;3.600001
636220871290889585;3.800001
636220871290999926;4
636220871291113853;4.2
636220871291224441;4.4
636220871291334955;4.6
636220871291445247;4.8
636220871291560559;5
636220871291670841;5.199999
636220871291785139;5
636220871291895431;4.8
636220871292003709;4.6
636220871292114039;4.400001
636220871292233613;4.200001
636220871292343718;4.000001
636220871292454051;3.800001
636220871292569348;3.600001
636220871292674630;3.400001
636220871292784582;3.200001
636220871292914392;3.000001
636220871293354699;2.800001
636220871293455134;2.600001
636220871293630594;2.400001
636220871293823657;2.200001
636220871294049315;2
636220871294274985;1.8
636220871294464239;1.6
636220871294574536;1.4
636220871294689858;1.2
636220871294793896;1
636220871294914251;0.8000003
636220871295019712;0.6000003
636220871295163963;0.4000003
636220871295244212;0.2000003
636220871295359450;2.682209E-07
636220871295469532;-0.1999997
636220871295579819;-0.3999997
636220871295690134;-0.5999997
636220871295804864;-0.7999997
636220871295918594;-0.9999997
636220871296033955;-1.2
636220871296139257;-1.4
636220871296249590;-1.6
636220871296364432;-1.8
636220871296474282;-2
636220871296584571;-2.2
636220871296699978;-2.4
636220871296835342;-2.6
636220871296919578;-2.8
636220871297029008;-3
636220871297139331;-3.2
636220871297254646;-3.4
636220871297369973;-3.6
636220871297475260;-3.8
636220871297595569;-4
636220871297700846;-4.2
636220871297811138;-4.4
636220871297926457;-4.599999
636220871298041685;-4.799999
636220871298149765;-4.999999
636220871298260074;-5.199999
636220871298374334;-5
636220871298484661;-4.8
636220871298599976;-4.6
636220871298704336;-4.400001
636220871298814663;-4.200001
636220871298929978;-4.000001
636220871299040285;-3.800001
636220871299149098;-3.600001
636220871299264420;-3.400001
636220871299374732;-3.200001
636220871299490085;-3.000001
636220871299590336;-2.800001
636220871299708985;-2.600001
636220871299824095;-2.400001
636220871299934070;-2.200001
636220871300043867;-2
636220871300159209;-1.8
636220871300269164;-1.6
636220871300383927;-1.4
636220871300494247;-1.2
636220871300604153;-1
636220871300714046;-0.8000003
636220871300828717;-0.6000003
636220871300938490;-0.4000003
636220871301048810;-0.2000003
636220871301163578;-2.682209E-07
636220871301273890;0.1999997
636220871301388663;0.3999997
636220871301498988;0.5999997
636220871301609285;0.7999997
636220871301718542;0.9999997
636220871301888844;1.2
636220871301943604;1.4
636220871302058528;1.6
636220871302173580;1.8
636220871302278672;2
636220871302394020;2.2
636220871302504368;2.4
636220871302614665;2.6
636220871302729155;2.8
636220871302838517;3
636220871302948834;3.2
636220871303064156;3.4
636220871303173794;3.6
636220871303283542;3.8
636220871303388841;4
636220871303513731;4.2
636220871303619001;4.4
636220871303733457;4.599999
636220871303848794;4.799999
636220871303959114;4.999999
636220871304068893;5.199999
636220871304183870;5
636220871304289208;4.8
636220871304403726;4.6
636220871304519050;4.400001
636220871304624322;4.200001
636220871304738799;4.000001
636220871304849106;3.800001
636220871304964208;3.600001
636220871305069521;3.400001
636220871305183668;3.200001
636220871305293927;3.000001
636220871305408436;2.800001
636220871305518728;2.600001
636220871305629017;2.400001
636220871305744345;2.200001
636220871305854154;2
636220871305969509;1.8
636220871306079533;1.6
636220871306188826;1.4
636220871306303428;1.2
636220871306413768;1
636220871306524055;0.8000003
636220871306634349;0.6000003
636220871306749153;0.4000003
636220871306858451;0.2000003
636220871306974271;2.682209E-07
636220871307084507;-0.1999997
636220871307193705;-0.3999997
636220871307304030;-0.5999997
636220871307419074;-0.7999997
636220871307529358;-0.9999997
636220871307639653;-1.2
636220871307753562;-1.4
636220871307863872;-1.6
636220871307974210;-1.8
636220871308089527;-2
636220871308189331;-2.2
636220871308313853;-2.4
636220871308424171;-2.6
636220871308534470;-2.8
636220871308644757;-3
636220871308758620;-3.2
636220871308873948;-3.4
636220871308983895;-3.6
636220871309093681;-3.8
636220871309209041;-4
636220871309313470;-4.2
636220871309428795;-4.4
636220871309544091;-4.599999
636220871309649373;-4.799999
636220871309763725;-4.999999
636220871309874042;-5.199999
636220871309989191;-5
636220871310093857;-4.8
636220871310209215;-4.6
636220871310324481;-4.400001
636220871310434060;-4.200001
636220871310549364;-4.000001
636220871310659654;-3.800001
636220871310768768;-3.600001
636220871310883835;-3.400001
636220871310993692;-3.200001
636220871311103386;-3.000001
636220871311213724;-2.800001
636220871311329059;-2.600001
636220871311439095;-2.400001
636220871311549385;-2.200001
636220871311664686;-2
636220871311778678;-1.8
636220871311883763;-1.6
636220871311993720;-1.4
636220871312114124;-1.2
636220871312224083;-1
636220871312334076;-0.8000003
636220871312444412;-0.6000003
636220871312553664;-0.4000003
636220871312668973;-0.2000003
636220871312779280;-2.682209E-07
636220871312889444;0.1999997
636220871313003377;0.3999997
636220871313113707;0.5999997
636220871313224017;0.7999997
636220871313338573;0.9999997
636220871313448767;1.2
636220871313563627;1.4
636220871313673922;1.6
636220871313783932;1.8
636220871313889209;2
636220871314008755;2.2
636220871314118643;2.4
636220871314228748;2.6
636220871314343874;2.8
636220871314453869;3
636220871314569181;3.2
636220871314679476;3.4
636220871314788602;3.6
636220871314903728;3.8
636220871315014076;4
636220871315128770;4.2
636220871315238507;4.4
636220871315353842;4.599999
636220871315459014;4.799999
636220871315574339;4.999999
636220871315684628;5.199999
636220871315788942;5
636220871315903861;4.8
636220871316018840;4.6
636220871316129173;4.400001
636220871316243407;4.200001
636220871316353433;4.000001
636220871316463743;3.800001
636220871316579086;3.600001
636220871316689452;3.400001
636220871316803422;3.200001
636220871316913758;3.000001
636220871317024075;2.800001
636220871317139096;2.600001
636220871317249191;2.400001
636220871317358566;2.200001
636220871317473653;2
636220871317583975;1.8
636220871317689257;1.6
636220871317808785;1.4
636220871317918458;1.2
636220871318028375;1
636220871318143567;0.8000003
636220871318253879;0.6000003
636220871318363706;0.4000003
636220871318478900;0.2000003
636220871318589264;2.682209E-07
636220871318703753;-0.1999997
636220871318808450;-0.3999997
636220871318923782;-0.5999997
636220871319033527;-0.7999997
636220871319148865;-0.9999997
636220871319258955;-1.2
636220871319369147;-1.4
636220871319478803;-1.6
636220871319593931;-1.8
636220871319704236;-2
636220871319818390;-2.2
636220871319928690;-2.4
636220871320038583;-2.6
636220871320153660;-2.8
636220871320263898;-3
636220871320373544;-3.2
636220871320488585;-3.4
636220871320598892;-3.6
636220871320709192;-3.8
636220871320824095;-4
636220871320934216;-4.2
636220871321043429;-4.4
636220871321153742;-4.599999
636220871321269061;-4.799999
636220871321379307;-4.999999
636220871321489308;-5.199999
636220871321603685;-5
636220871321713982;-4.8
636220871321829107;-4.6
