CubeTimestamp;CubeXPos
636220870121017616;0
636220870121411570;0.2
636220870126627007;0.4
636220870126682150;0.6
636220870126762389;0.8
636220870126872022;1
636220870127022448;1.2
636220870127243127;1.4
636220870127468773;1.6
636220870127677379;1.8
636220870127882422;2
636220870127993036;2.2
636220870128098316;2.4
636220870128211906;2.6
636220870128322216;2.8
636220870128437546;3
636220870128552396;3.200001
636220870128657709;3.400001
636220870128767879;3.600001
636220870128883211;3.800001
636220870129088801;4
636220870129123887;4.2
636220870129217179;4.4
636220870129332561;4.6
636220870129442362;4.8
636220870129552751;5
636220870129668089;5.199999
636220870129777311;5
636220870129877619;4.8
636220870130002752;4.6
636220870130112196;4.400001
636220870130227209;4.200001
636220870130332519;4.000001
636220870130447086;3.800001
636220870130557406;3.600001
636220870130672759;3.400001
636220870130778026;3.200001
636220870130898226;3.000001
636220870131008510;2.800001
636220870131122589;2.600001
636220870131232339;2.400001
636220870131342442;2.200001
636220870131452758;2
636220870131567084;1.8
636220870131677396;1.6
636220870131777691;1.4
636220870131902091;1.2
636220870132012383;1
636220870132122673;0.8000003
636220870132232983;0.6000003
636220870132343341;0.4000003
636220870132457716;0.2000003
636220870132573090;2.682209E-07
636220870132683385;-0.1999997
636220870132797397;-0.3999997
636220870132907707;-0.5999997
636220870133018001;-0.7999997
636220870133128296;-0.9999997
636220870133238603;-1.2
636220870133352707;-1.4
636220870133462440;-1.6
636220870133577760;-1.8
636220870133677455;-2
636220870133797647;-2.2
636220870133917992;-2.4
636220870134023269;-2.6
636220870134133564;-2.8
636220870134247423;-3
636220870134357751;-3.2
636220870134467419;-3.4
636220870134582752;-3.6
636220870134692896;-3.8
636220870134803221;-4
636220870134918529;-4.2
636220870135028823;-4.4
636220870135139409;-4.599999
636220870135252417;-4.799999
636220870135362768;-4.999999
636220870135473083;-5.199999
636220870135578378;-5
636220870135696825;-4.8
636220870135808119;-4.6
636220870135922409;-4.400001
636220870136032707;-4.200001
636220870136142996;-4.000001
636220870136267636;-3.800001
636220870136367936;-3.600001
636220870136478251;-3.400001
636220870136592683;-3.200001
636220870136703013;-3.000001
636220870136812740;-2.800001
636220870136928078;-2.600001
636220870137038363;-2.400001
636220870137148665;-2.200001
636220870137262064;-2
636220870137372384;-1.8
636220870137482147;-1.6
636220870137597066;-1.4
636220870137712440;-1.2
636220870137822523;-1
636220870137932526;-0.8000003
636220870138047834;-0.6000003
636220870138158118;-0.4000003
636220870138267480;-0.2000003
636220870138377818;-2.682209E-07
636220870138482681;0.1999997
636220870138603040;0.3999997
636220870138712790;0.5999997
636220870138827548;0.7999997
636220870138937868;0.9999997
636220870139048165;1.2
636220870139158455;1.4
636220870139273039;1.6
636220870139383360;1.8
636220870139498976;2
636220870139607802;2.2
636220870139717544;2.4
636220870139832566;2.6
636220870139942638;2.8
636220870140052922;3
636220870140163214;3.2
636220870140277158;3.4
636220870140382475;3.6
636220870140502586;3.8
636220870140612840;4
636220870140722616;4.2
636220870140837578;4.4
636220870140947937;4.599999
636220870141058229;4.799999
636220870141173533;4.999999
636220870141283705;5.199999
636220870141398867;5
636220870141507333;4.8
636220870141617691;4.6
636220870141728006;4.400001
636220870141842580;4.200001
636220870141952939;4.000001
636220870142063228;3.800001
636220870142178533;3.600001
636220870142288874;3.400001
636220870142404081;3.200001
636220870142514374;3.000001
636220870142622147;2.800001
636220870142737474;2.600001
636220870142843030;2.400001
636220870142958028;2.200001
636220870143073358;2
636220870143178640;1.8
636220870143293631;1.6
636220870143407939;1.4
636220870143517889;1.2
636220870143627680;1
636220870143738041;0.8000003
636220870143852769;0.6000003
636220870143963012;0.4000003
636220870144073335;0.2000003
636220870144178814;2.682209E-07
636220870144297895;-0.1999997
636220870144412880;-0.3999997
636220870144518223;-0.5999997
636220870144632744;-0.7999997
636220870144748061;-0.9999997
636220870144858420;-1.2
636220870144971333;-1.4
636220870145081633;-1.6
636220870145192876;-1.8
636220870145303226;-2
636220870145417634;-2.2
636220870145527995;-2.4
636220870145638053;-2.6
636220870145752450;-2.8
636220870145862781;-3
636220870145973088;-3.2
636220870146083421;-3.4
636220870146198739;-3.6
636220870146312684;-3.8
636220870146417982;-4
636220870146532752;-4.2
636220870146642733;-4.4
636220870146752775;-4.599999
636220870146867625;-4.799999
636220870146982968;-4.999999
636220870147093308;-5.199999
636220870147203611;-5
636220870147313928;-4.8
636220870147427715;-4.6
636220870147537783;-4.400001
636220870147647763;-4.200001
636220870147763101;-4.000001
636220870147873414;-3.800001
636220870147982561;-3.600001
636220870148097889;-3.400001
636220870148207688;-3.200001
636220870148318016;-3.000001
636220870148433341;-2.800001
636220870148543848;-2.600001
636220870148657732;-2.400001
636220870148768436;-2.200001
636220870148877816;-2
636220870148978197;-1.8
636220870149103218;-1.6
636220870149214149;-1.4
636220870149328026;-1.2
636220870149437812;-1
636220870149547851;-0.8000003
636220870149657530;-0.6000003
636220870149772980;-0.4000003
636220870149877779;-0.2000003
636220870149992686;-2.682209E-07
636220870150108006;0.1999997
636220870150217790;0.3999997
636220870150332844;0.5999997
636220870150443813;0.7999997
636220870150552899;0.9999997
636220870150668498;1.2
636220870150784848;1.4
636220870150880107;1.6
636220870151002943;1.8
636220870151113235;2
636220870151222833;2.2
636220870151332897;2.4
636220870151448498;2.6
636220870151559046;2.8
636220870151672843;3
636220870151778151;3.2
636220870151895459;3.4
636220870152008674;3.6
636220870152118971;3.8
636220870152228767;4
636220870152338165;4.2
636220870152448810;4.4
636220870152568292;4.599999
636220870152674302;4.799999
