0;0.2
0.02;0.4
0.3533334;0.6
0.3784231;0.8
0.3836839;1
0.388429;1.2
0.3958722;1.4
0.4184513;1.6
0.4408724;1.8
0.4519055;2
0.4629147;2.2
0.47425;2.4
0.4854092;2.6
0.4965991;2.8
0.5077645;3
0.5233278;3.200001
0.5300395;3.400001
0.5413326;3.600001
0.5523874;3.800001
0.5644881;4
0.5750065;4.2
0.5861446;4.4
0.5979707;4.6
0.6084917;4.8
0.6192853;5
0.6305965;5.199999
0.6521442;5
0.6579241;4.8
0.673929;4.6
0.6791654;4.400001
0.6861433;4.200001
0.6972037;4.000001
0.7085428;3.800001
0.7203114;3.600001
0.7309106;3.400001
0.7419783;3.200001
0.7533399;3.000001
0.7654095;2.800001
0.7756216;2.600001
0.7958366;2.400001
0.8093522;2.200001
0.8189019;2
0.8316929;1.8
0.8423813;1.6
0.8539253;1.4
0.8649716;1.2
0.8761132;1
0.8873641;0.8000003
0.8985487;0.6000003
0.9097286;0.4000003
0.9207497;0.2000003
0.9319656;2.682209E-07
0.9501761;-0.1999997
0.9568949;-0.3999997
0.9663579;-0.5999997
0.9808066;-0.7999997
0.9876598;-0.9999997
0.998919;-1.2
1.010233;-1.4
1.021338;-1.6
1.032442;-1.8
1.046029;-2
1.055126;-2.2
1.066099;-2.4
1.077158;-2.6
1.088098;-2.8
1.099414;-3
1.110577;-3.2
1.121885;-3.4
1.13976;-3.6
1.14645;-3.8
1.155503;-4
1.166692;-4.2
1.178457;-4.4
1.188858;-4.599999
1.200112;-4.799999
1.211188;-4.999999
1.224208;-5.199999
1.23364;-5
1.244651;-4.8
1.25588;-4.6
1.267115;-4.400001
1.278415;-4.200001
1.295491;-4.000001
1.302344;-3.800001
1.315097;-3.600001
1.322746;-3.400001
1.333995;-3.200001
1.345228;-3.000001
1.356332;-2.800001
1.368068;-2.600001
1.380972;-2.400001
1.714305;-2.200001
1.727708;-2
1.73478;-1.8
1.74426;-1.6
1.766859;-1.4
1.789314;-1.2
1.802805;-1
1.811236;-0.8000003
1.822508;-0.6000003
1.833436;-0.4000003
1.844553;-0.2000003
1.855908;-2.682209E-07
1.866874;0.1999997
1.882425;0.3999997
1.896346;0.5999997
1.903089;0.7999997
1.911396;0.9999997
1.922592;1.2
1.934658;1.4
1.944783;1.6
1.956143;1.8
1.967246;2
1.978453;2.2
1.991568;2.4
2.00083;2.6
2.011856;2.8
2.023328;3
2.039339;3.2
2.046006;3.4
2.056504;3.6
2.067803;3.8
2.081069;4
2.089982;4.2
2.101203;4.4
2.112711;4.599999
2.123901;4.799999
2.135735;4.999999
2.145983;5.199999
2.157191;5
2.170689;4.8
2.17941;4.6
2.195252;4.400001
2.20237;4.200001
2.213173;4.000001
2.224039;3.800001
2.235349;3.600001
2.246609;3.400001
2.259844;3.200001
2.269225;3.000001
2.280067;2.800001
2.291533;2.600001
2.30261;2.400001
2.313605;2.200001
2.324799;2
2.336988;1.8
2.358431;1.6
2.365125;1.4
2.371686;1.2
2.380453;1
2.391703;0.8000003
2.403602;0.6000003
2.414418;0.4000003
2.42519;0.2000003
2.436377;2.682209E-07
2.449765;-0.1999997
2.45877;-0.3999997
2.470005;-0.5999997
2.480964;-0.7999997
2.492332;-0.9999997
2.508636;-1.2
2.515959;-1.4
2.52597;-1.6
2.5395;-1.8
2.547971;-2
2.559371;-2.2
2.570429;-2.4
2.581693;-2.6
2.592895;-2.8
2.604004;-3
2.615067;-3.2
2.628679;-3.4
2.637438;-3.6
2.64853;-3.8
