timestamp;radius;velocity;walking
55.3049179;2.5;0.39;False
61.5610895;1.5;0.39;False
66.8073461;0.5;1.17;False
72.2583803;2.5;0.39;False
80.323388;0.5;0.39;False
85.7628805;0.5;1.96;False
91.2139031;2.5;1.96;False
96.4643926;0.5;0.39;False
102.9200918;1.5;1.96;False
108.3711182;0.5;1.17;False
113.621092;0.5;1.96;False
118.6588373;2.5;1.17;False
124.713469;0.5;1.17;False
129.9408619;1.5;0.39;False
136.1958237;2.5;0.39;False
142.6631993;0.5;0.39;False
147.7121208;2.5;1.96;False
154.358284;0.5;1.96;False
159.809305;2.5;1.17;False
165.6508301;1.5;0.39;False
172.5095725;1.5;1.96;False
177.5471063;1.5;1.17;False
182.5849948;1.5;1.17;False
187.8344548;1.5;1.96;False
193.07388;2.5;1.17;False
199.1274761;2.5;1.96;False
204.589511;1.5;1.17;False
