timestamp;selectionTime;selectedObject;selectedObjectSizeDegX;selectedObjectSizeDegY;intendedObject;intendedObjectSizeDegX;intendedObjectSizeDegY;correct?;trajectoryResemblanceX;trajectoryResemblanceY;distanceToIntendedObjDeg;trajectoryDiameterDeg;trajectoryCenterDeg;currentPosDeg;degPerSec;trajectoryExceedsFOV;counterThreshold;correlationThreshold;correlationAverageWindow;correlationFrequency;correlationWindow
13.8155649;10.4787338;0;6.672517;7.072536;0;6.672517;7.072536;True;1;1;0;17.47243;(10.0, -8.5);(10.5, -17.6);85;False;20;0.6;900;0.08;300
20.1459355;3.3333453;12;9.882842;7.694118;12;9.882842;7.694118;True;1;1;0;19.78472;(3.9, -8.7);(5.7, 1.8);74;False;20;0.6;900;0.08;300
27.4011619;4.2552622;13;10.33357;8.074518;13;10.33357;8.074518;True;1;1;0;9.390777;(-11.4, -3.9);(-15.9, -5.4);88;False;20;0.6;900;0.08;300
37.0747988;6.6802057;15;10.2475;9.485941;15;10.2475;9.485941;True;1;1;0;24.61285;(7.2, 12.9);(7.8, -0.4);79;False;20;0.6;900;0.08;300
44.0477618;3.9795399;14;4.739299;4.149728;14;4.739299;4.149728;True;1;1;0;16.16395;(2.5, 2.8);(-5.0, 6.0);54;False;20;0.6;900;0.08;300
52.8841623;5.8349565;11;8.82784;9.7449;11;8.82784;9.7449;True;1;1;0;16.91407;(10.0, 9.0);(13.4, 17.1);61;False;20;0.6;900;0.08;300
62.2820356;6.4084609;10;7.02671;8.135653;10;7.02671;8.135653;True;1;1;0;16.91407;(10.0, 9.0);(18.1, 7.5);61;False;20;0.6;900;0.08;300
71.2024538;5.9354886;18;4.269561;3.97363;18;4.269561;3.97363;True;1;1;0;17.4044;(-3.1, -0.5);(-1.0, 8.5);26;False;20;0.6;900;0.08;300
77.0795376;2.8876627;6;10.56159;12.18042;8;8.917007;8.795952;False;0.9961127;-0.9986154;21.57116;23.43794;(7.5, 7.4);(14.2, 17.4);38;False;20;0.6;900;0.08;300
84.974441;4.9069948;2;6.616976;7.471714;8;8.428671;10.06998;False;0.9997064;0.8914183;13.79591;17.47243;(10.0, -8.5);(11.2, -17.5);85;False;20;0.6;900;0.08;300
90.5356667;2.5602832;8;8.960469;9.415959;8;8.960469;9.415959;True;1;1;0;21.1528;(2.6, -2.5);(-7.8, -4.9);56;False;20;0.6;900;0.08;300
