timestamp;selectedObject;intendedObject;1;2;3;4;5;6;7;8;9;10
21.4230579;2;2;20;1;2;8;0;0;1;0;3;0
36.3923757;12;12;0;0;0;12;0;20;1;7;13;0
57.7146058;4;4;20;13;0;19;6;9;6;14;0;8
65.5880455;14;14;3;0;11;0;20;0;0;0;0;5
77.6646736;18;18;0;16;7;0;3;6;0;20;0;0
83.8536519;10;10;0;0;20;0;0;4;0;0;0;0
94.4415572;19;19;0;0;0;0;10;2;20;0;2;0
116.3786259;5;5;20;2;0;2;7;14;11;0;15;2
122.2496647;17;20;0;0;0;2;20;0;0;1;0;0
127.7081118;20;20;0;0;0;0;20;0;4;3;0;0
137.0994684;15;15;8;0;20;6;0;1;0;0;0;0
146.2512167;9;9;20;0;0;0;0;0;4;16;0;3
155.2324973;29;29;0;9;1;14;0;0;0;20;0;0
