timestamp;selectedObject;intendedObject;1;2;3;4;5;6;7;8;9;10
50.0628554;0;0;15;6;0;13;0;0;0;0;6;0
58.7093014;6;9;3;0;15;0;11;0;2;0;0;0
72.99999;13;9;0;6;0;14;0;10;4;15;0;10
80.6708393;9;9;0;2;0;15;11;0;0;5;5;0
88.8625708;8;8;0;0;15;12;0;0;0;3;0;2
107.9801292;16;19;4;0;0;0;0;4;15;0;8;0
112.6038953;19;19;0;0;7;0;0;0;0;17;0;0
119.4219829;14;11;0;0;2;0;0;17;0;0;0;0
125.0484296;11;11;0;9;0;19;0;0;0;0;0;0
164.6127009;4;4;0;19;0;0;1;1;0;0;0;4
176.98956;17;17;0;0;0;19;0;0;0;3;4;0
185.3617699;21;10;1;0;0;0;19;0;0;0;0;0
193.5098971;10;10;4;20;0;0;5;0;0;0;3;0
222.7826492;28;-1;0;6;0;0;3;2;0;20;0;19
