circular (3)Cube1Timestamp;circular (3)Cube1XPos;circular (3)Cube1YPos;circular (3)Cube1newCorr;circular (3)Cube1smoothCorr
0;;;0;0
0.3664713;;;0;0
0.6692747;;;0;0
0.9705741;;;0;0
1.2718724;;;0;0
1.5736725;;;0;0
1.8754726;;;0;0
2.1777743;;;0;0
2.26;-1.984214;0.25079;;
2.261;-1.985834;0.2374946;;
2.279;-1.990113;0.1985006;;
2.28;-1.990236;0.197386;;
2.281;-1.990236;0.197386;;
2.281;-1.990236;0.197386;;
2.302;-1.993329;0.1632129;;
2.302;-1.993329;0.1632129;;
2.323;-1.995885;0.1281778;;
2.325;-1.995911;0.1278152;;
2.326;-1.995914;0.1277749;;
2.345;-1.996908;0.1111301;;
2.37;-1.999058;0.06031434;;
2.373;-1.999156;0.0579991;;
2.395;-1.999861;0.02332425;;
2.396;-1.999869;0.02293106;;
2.417;-1.99999;0.005994648;;
2.418;-1.999974;-0.00500339;;
2.438;-1.999423;-0.0477756;;
2.439;-1.999417;-0.04830616;;
2.46;-1.998319;-0.08190343;;
2.461;-1.998309;-0.08220968;;
2.462;-1.998306;-0.0822846;;
2.4785718;;;-0.351678885402913;-0.117226295134304
2.483;-1.996592;-0.1166511;;
2.484;-1.996578;-0.1169339;;
2.504;-1.994241;-0.1516123;;
2.505;-1.994217;-0.1519736;;
2.527;-1.991191;-0.1874718;;
2.548;-1.987542;-0.2228853;;
2.57;-1.985594;-0.2396161;;
2.613;-1.97324;-0.326005;;
2.637;-1.967169;-0.3608752;;
2.681;-1.953307;-0.4296073;;
2.703;-1.945487;-0.4637535;;
2.704;-1.945412;-0.4640779;;
2.725;-1.941208;-0.4813589;;
2.726;-1.941179;-0.4814813;;
2.727;-1.941162;-0.4815485;;
2.747;-1.92801;-0.5317367;;
2.748;-1.927877;-0.5322424;;
2.77;-1.918254;-0.5659396;;
2.7803719;;;-0.383882998181408;-0.245187294528107
2.77;-1.918254;-0.5659396;;
2.791;-1.913097;-0.5831383;;
2.792;-1.908974;-0.5964688;;
2.814;-1.902668;-0.6163195;;
2.815;-1.898164;-0.6300226;;
2.816;-1.897476;-0.6321167;;
2.836;-1.891482;-0.6498398;;
2.837;-1.887204;-0.6621202;;
2.838;-1.885814;-0.6661114;;
2.859;-1.874048;-0.6985212;;
2.86;-1.873941;-0.698814;;
2.861;-1.873909;-0.6989022;;
2.881;-1.867548;-0.7157248;;
2.883;-1.867469;-0.7159315;;
2.903;-1.851613;-0.7559959;;
